yrke4,alder_gr,age_label,eloundou_beta,mean_wage,ln_wage,n_obs,z_lnwage,exp_x_zwage
3254,1,21–30,0.285714,42181.638204238014,10.649740291691044,7014.0,-0.14863660110892726,-0.042467557849236046
3256,1,21–30,0.343961,33347.3085457734,10.414732344811926,16045.0,-1.1900388198766458,-0.409326942523591
3257,1,21–30,0.357678,48015.122415261285,10.77927129059004,6054.0,0.4253604549225406,0.15214207679578448
3258,1,21–30,0.18109,55659.92361219969,10.927015662678649,822.0,1.0800673231233078,0.1955893915443998
3259,1,21–30,0.312237,42483.2884114584,10.656866063735633,585.0,-0.11705981863746248,-0.03655040659190537
3311,1,21–30,0.571403,61549.93685440199,11.027604105688466,22272.0,1.5258098144897636,0.8718523054288944
3312,1,21–30,0.607955,47286.14297908894,10.76397257128582,72393.0,0.3575664911894103,0.21738433615105796
3313,1,21–30,0.802326,47366.26501160612,10.765665545682454,43162.0,0.3650686515052026,0.2929040708875632
3315,1,21–30,0.517083,47268.69565174726,10.763603529832366,4351.0,0.35593113973195045,0.1840459415260161
3321,1,21–30,0.561408,48761.880783867375,10.794704155120952,38193.0,0.49374886296518294,0.2771945616595574
3322,1,21–30,0.572343,47279.585569563904,10.763833886592408,136380.0,0.3569519309188094,0.20429893899786414
3323,1,21–30,0.489376,47545.6293971483,10.769445147811012,21610.0,0.38181738743099003,0.18685226579142816
3324,1,21–30,0.556703,57090.14862959427,10.952386852380984,2045.0,1.192495917984312,0.6638660550296204
3331,1,21–30,0.513651,44913.519603441935,10.712494133161124,13444.0,0.12944756843089814,0.06649087297209925
3332,1,21–30,0.486486,40537.917880301626,10.609993059049684,3779.0,-0.32477045876047683,-0.15799628140054933
3333,1,21–30,0.393651,41586.56495306866,10.635532436228308,15138.0,-0.21159656650292763,-0.08329520000044396
3334,1,21–30,0.47943,59908.89546310207,11.000580278304811,38189.0,1.4060578053740478,0.6741062936304798
3339,1,21–30,0.54374,44192.440491925445,10.696309023844114,337.0,0.057725701244837294,0.03138777279486783
3341,1,21–30,0.489583,50164.08248037532,10.823054561157072,6389.0,0.6193794050002888,0.30323762723825637
3342,1,21–30,0.695652,36980.17619054016,10.518137269411652,3812.0,-0.731815515772577,-0.5090889271782247
3343,1,21–30,0.803491,45292.633891924525,10.720899691006853,23104.0,0.16669552836914073,0.13393835678484925
3351,1,21–30,0.402147,44490.74589324806,10.703036489073082,56.0,0.08753744722691499,0.035202921789962184
3352,1,21–30,0.580645,50000.0,10.819778284410283,16.0,0.6048610794767787,0.35120956149279414
3353,1,21–30,0.603152,40057.64190719154,10.59807474346308,258.0,-0.3775846740271935,-0.2277409513088498
3354,1,21–30,0.613152,10000.0,9.210340371976184,5.0,-6.527119924722539,-4.002116636083475
3355,1,21–30,0.363179,57883.0,10.96617901077748,6.0,1.253613784620095,0.45528620068454145
3359,1,21–30,0.291667,41679.559324921946,10.637766103552783,7811.0,-0.20169840714879356,-0.05882876931786717
3411,1,21–30,0.412629,43298.41150637955,10.675871227552737,32.0,-0.03284130590199175,-0.013551275213032956
3412,1,21–30,0.392857,42842.771780741255,10.66529222323295,19222.0,-0.07972056559207526,-0.03131878223680591
3421,1,21–30,0.0,45220.80107957465,10.71931246083592,33211.0,0.15966195761693297,0.0
3422,1,21–30,0.324167,38774.29824997717,10.565512889879091,51428.0,-0.5218776097337366,-0.1691754991145562
3423,1,21–30,0.252751,26856.17093359209,10.1982509034591,41596.0,-2.1493436278235407,-0.5432487512760278
3431,1,21–30,0.385417,40413.95024766884,10.606930307505946,6482.0,-0.33834257959953495,-0.13040298200151396
3432,1,21–30,0.398727,38899.60445210699,10.56873936122854,6664.0,-0.5075799893054622,-0.20238584639579904
3433,1,21–30,0.354257,29239.94212242668,10.283290934464585,102.0,-1.7725015756748046,-0.6279210906938293
3434,1,21–30,0.386508,41211.203616914936,10.626465430820083,6095.0,-0.2517756314030658,-0.09731329574233616
3511,1,21–30,0.735786,49042.62278518428,10.800445051748962,65429.0,0.5191887792127867,0.38201183510185954
3512,1,21–30,0.611111,42795.26161723527,10.664182665563416,28561.0,-0.0846374028065079,-0.05172284786648785
3513,1,21–30,0.634615,49858.04718467272,10.816935190339278,1944.0,0.5922623375489855,0.3758585633436495
3514,1,21–30,0.785538,42318.05326775938,10.652969065184896,998.0,-0.13432877907546423,-0.10552036045738201
3521,1,21–30,0.393546,43526.69647714071,10.681129740950686,8204.0,-0.00953899807466892,-0.003754034536293655
3522,1,21–30,0.40566,38302.75335460778,10.553277061739086,11917.0,-0.576098833920747,-0.23370025296829025
4110,1,21–30,0.595022,37540.60707011469,10.533178481296764,211480.0,-0.6651626572708671,-0.39578641465462594
4131,1,21–30,0.743243,45921.6933899245,10.734692907271796,44.0,0.22781808278915647,0.169324195306461
4132,1,21–30,0.892857,43482.22503310152,10.680107513640202,3377.0,-0.014068843994180066,-0.012561465842111631
4211,1,21–30,0.428241,38823.197623178174,10.56677322384022,1342.0,-0.5162926301577762,-0.2210976722313962
4212,1,21–30,0.337821,32964.522029573855,10.4031871721119,3388.0,-1.241199508804526,-0.41930325926385376
4214,1,21–30,0.60783,40305.88207718929,10.604252694534406,11563.0,-0.3502080170308817,-0.21286693899188083
4221,1,21–30,0.518893,39034.37022245973,10.572197824761112,15676.0,-0.49225433055996953,-0.2554273263472543
4222,1,21–30,0.550758,37516.7690707983,10.532543287226748,33098.0,-0.6679774238464119,-0.3678939100028021
4223,1,21–30,0.761885,35780.90598898637,10.48516967784293,4623.0,-0.877906418071957,-0.668863731332753
4224,1,21–30,0.483333,34071.538799912465,10.436217675467542,62863.0,-1.0948298224242043,-0.529167382561758
4225,1,21–30,0.74881,36596.0950994325,10.507696822425205,2044.0,-0.7780807795689763,-0.5826346685490451
4226,1,21–30,0.533333,35567.167703639694,10.479178235785108,58981.0,-0.9044565885470124,-0.4823765457395437
4227,1,21–30,0.672414,27791.004880940956,10.23246768188636,5470.0,-1.9977171426495648,-1.3432929747575644
4229,1,21–30,0.68,30801.27148705385,10.335311250156789,3470.0,-1.5419814043262006,-1.0485473549418165
4311,1,21–30,0.788068,47986.71627945861,10.778679507411344,77785.0,0.4227380571546835,0.3331463352257771
4312,1,21–30,0.68075,42529.96563171528,10.65796418015225,1161.0,-0.11219368160713071,-0.07637584875405423
