styrk08,name_en,source
3117,Mining and metallurgical technicians,"SSB Klass API, classification 7, language=en"
3118,Draughtspersons,"SSB Klass API, classification 7, language=en"
3119,Physical and engineering science technicians not elsewhere classified,"SSB Klass API, classification 7, language=en"
3121,Mining supervisors,"SSB Klass API, classification 7, language=en"
3122,Manufacturing supervisors,"SSB Klass API, classification 7, language=en"
3123,Construction supervisors,"SSB Klass API, classification 7, language=en"
3131,Power production plant operators,"SSB Klass API, classification 7, language=en"
3132,Incinerator and water treatment plant operators,"SSB Klass API, classification 7, language=en"
3133,Chemical processing plant controllers,"SSB Klass API, classification 7, language=en"
3134,Petroleum and natural gas refining plant operators,"SSB Klass API, classification 7, language=en"
3135,Metal production process controllers,"SSB Klass API, classification 7, language=en"
3139,Process control technicians not elsewhere classified,"SSB Klass API, classification 7, language=en"
3141,Life science technicians (excluding medical),"SSB Klass API, classification 7, language=en"
3142,Agricultural technicians,"SSB Klass API, classification 7, language=en"
3143,Forestry technicians,"SSB Klass API, classification 7, language=en"
3151,Ships engineers,"SSB Klass API, classification 7, language=en"
3152,Ships deck officers and pilots,"SSB Klass API, classification 7, language=en"
3153,Aircraft pilots and related associate professionals,"SSB Klass API, classification 7, language=en"
3154,Air traffic controllers,"SSB Klass API, classification 7, language=en"
3155,Air traffic safety electronics technicians,"SSB Klass API, classification 7, language=en"
3211,Medical imaging and therapeutic equipment technicians,"SSB Klass API, classification 7, language=en"
3212,Medical and pathology laboratory technicians,"SSB Klass API, classification 7, language=en"
3213,Pharmaceutical technicians and assistants,"SSB Klass API, classification 7, language=en"
3214,Medical and dental prosthesis technicians,"SSB Klass API, classification 7, language=en"
3230,Traditional and complementary medicine associate professionals,"SSB Klass API, classification 7, language=en"
3240,Veterinary technicians and assistants,"SSB Klass API, classification 7, language=en"
3251,Dental assistants and therapists,"SSB Klass API, classification 7, language=en"
3254,Dispensing opticians,"SSB Klass API, classification 7, language=en"
3256,Medical assistants,"SSB Klass API, classification 7, language=en"
3257,Environmental and occupational health inspectors and associates,"SSB Klass API, classification 7, language=en"
3258,Ambulance workers,"SSB Klass API, classification 7, language=en"
3259,Health associate professionals not elsewhere classified,"SSB Klass API, classification 7, language=en"
3311,Securities and finance dealers and brokers,"SSB Klass API, classification 7, language=en"
3312,Credit and loans officers,"SSB Klass API, classification 7, language=en"
3313,Accounting associate professionals,"SSB Klass API, classification 7, language=en"
3315,Valuers and loss assessors,"SSB Klass API, classification 7, language=en"
3321,Insurance representatives,"SSB Klass API, classification 7, language=en"
3322,Commercial sales representatives,"SSB Klass API, classification 7, language=en"
3323,Buyers,"SSB Klass API, classification 7, language=en"
3324,Trade brokers,"SSB Klass API, classification 7, language=en"
3331,Clearing and forwarding agents,"SSB Klass API, classification 7, language=en"
3332,Conference and event planners,"SSB Klass API, classification 7, language=en"
3333,Employment agents and contractors,"SSB Klass API, classification 7, language=en"
3334,Real estate agents and property mangers,"SSB Klass API, classification 7, language=en"
3339,Business services agents not elsewhere classified,"SSB Klass API, classification 7, language=en"
3341,Office supervisors,"SSB Klass API, classification 7, language=en"
3342,Legal secretaries,"SSB Klass API, classification 7, language=en"
3343,Administrative and executive secretaries,"SSB Klass API, classification 7, language=en"
3351,Customs and border inspectors,"SSB Klass API, classification 7, language=en"
3352,Government tax and excise officials,"SSB Klass API, classification 7, language=en"
3353,Government social benefits officials,"SSB Klass API, classification 7, language=en"
3354,Government licensing officials,"SSB Klass API, classification 7, language=en"
3355,Police inspectors and detectives,"SSB Klass API, classification 7, language=en"
3359,Regulatory government associate professionals not elsewhere classified,"SSB Klass API, classification 7, language=en"
3411,Legal and related associate professionals,"SSB Klass API, classification 7, language=en"
3412,Social work associate professionals,"SSB Klass API, classification 7, language=en"
3413,Religious associate professionals,"SSB Klass API, classification 7, language=en"
3421,Athletes and sports players,"SSB Klass API, classification 7, language=en"
3422,"Sport coaches, instructors and officials","SSB Klass API, classification 7, language=en"
3423,Fitness and recreation instructors and program leaders,"SSB Klass API, classification 7, language=en"
3431,Photographers,"SSB Klass API, classification 7, language=en"
3432,Interior designers and decorators,"SSB Klass API, classification 7, language=en"
3433,"Gallery, museum and library technicians","SSB Klass API, classification 7, language=en"
3434,Chefs,"SSB Klass API, classification 7, language=en"
3439,Other artistic and cultural associate professionals,"SSB Klass API, classification 7, language=en"
3511,Information and communication technology operations technicians,"SSB Klass API, classification 7, language=en"
3512,Information and communication technology user support technicians,"SSB Klass API, classification 7, language=en"
3513,Computer network and systems technicians,"SSB Klass API, classification 7, language=en"
3514,Web technicians,"SSB Klass API, classification 7, language=en"
3521,Broadcasting and audio-visual technicians,"SSB Klass API, classification 7, language=en"
3522,Telecommunications engineering technicians,"SSB Klass API, classification 7, language=en"
4110,General office clerks,"SSB Klass API, classification 7, language=en"
4131,Typists and word processing operators,"SSB Klass API, classification 7, language=en"
4132,Data entry clerks,"SSB Klass API, classification 7, language=en"
4211,Bank tellers and related clerks,"SSB Klass API, classification 7, language=en"
4212,"Bookmakers, croupiers and related gaming workers","SSB Klass API, classification 7, language=en"
4213,Pawnbrokers and money-lenders,"SSB Klass API, classification 7, language=en"
