styrk08,automation_share,n_classified,n_vintages,usage_pct_mean,passes_threshold,automation_group,directive_share,directive_group,automation_share_feb,n_feb,automation_group_feb,automation_share_handa,automation_group_handa
7122,,0,0,,0,too_few,,too_few,,0,too_few,0.3026,low
7123,0.3791,182,3,0.0087,1,low,0.3791,mid,0.377,61,too_few,0.2876,low
7124,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7125,1.0,104,2,0.0073,1,high,1.0,high,1.0,88,too_few,,too_few
7126,0.5625,816,3,0.0455,1,high,0.4779,high,0.5596,361,high,0.347,mid
7127,0.424,514,3,0.0314,1,mid,0.352,low,0.4829,252,mid,0.3534,mid
7131,0.575,40,1,0.0054,0,too_few,0.575,too_few,,0,too_few,,too_few
7132,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7211,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7212,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7213,0.5113,309,2,0.0174,1,mid,0.4078,mid,,0,too_few,0.0,low
7214,0.5135,37,1,0.0048,0,too_few,0.5135,too_few,0.5135,37,too_few,,too_few
7215,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7221,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7222,0.6708,14084,3,0.4878,1,high,0.4168,mid,0.6996,2327,high,0.4688,high
7223,0.6337,1403,3,0.0659,1,high,0.5905,high,0.875,131,high,0.4964,high
7224,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7231,0.3332,596,3,0.0354,1,low,0.2611,low,0.3284,296,low,0.2942,low
7232,0.6084,263,3,0.0147,1,high,0.5285,high,0.6637,113,high,0.1955,low
7233,0.5679,1338,3,0.0565,1,high,0.3855,mid,0.5969,497,high,0.2081,low
7234,0.6084,263,3,0.0147,1,high,0.5285,high,0.6637,113,high,0.391,mid
7311,0.6029,344,3,0.0199,1,high,0.5419,high,0.6637,113,high,0.3514,mid
7312,0.6084,263,3,0.0147,1,high,0.5285,high,0.6637,113,high,0.391,mid
7313,0.3781,201,3,0.0131,1,low,0.3781,mid,0.3778,90,too_few,0.4621,high
7314,0.3845,2107,3,0.0935,1,low,0.3845,mid,0.4491,639,mid,0.4709,high
7315,0.5,68,2,0.009,0,too_few,0.5,too_few,,0,too_few,0.4037,mid
7316,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7317,0.4586,2039,3,0.0875,1,mid,0.4586,mid,0.4491,639,mid,0.538,high
7318,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7319,0.4586,2039,3,0.0875,1,mid,0.4586,mid,0.4491,639,mid,0.538,high
7321,0.614,4905,3,0.1809,1,high,0.6002,high,0.595,1748,high,0.4687,high
7322,,0,0,,0,too_few,,too_few,,0,too_few,0.5094,high
7323,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7411,0.5058,1083,3,0.0493,1,mid,0.1789,low,0.5694,407,high,0.0,low
7412,0.5979,992,3,0.05,1,high,0.3543,low,0.6084,378,high,0.2823,low
7413,0.6084,263,3,0.0147,1,high,0.5285,high,0.6637,113,high,0.391,mid
7421,0.6349,9613,3,0.3455,1,high,0.2549,low,0.6599,3523,high,0.433,high
7422,0.626,10863,3,0.4005,1,high,0.3362,low,0.6555,3918,high,0.2494,low
7511,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7512,0.4059,473,3,0.0217,1,low,0.3658,mid,0.4319,257,mid,0.3636,mid
7513,0.386,215,3,0.0124,1,low,0.386,mid,0.2785,79,too_few,0.4054,mid
7514,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7515,0.0,16,1,0.0061,0,too_few,0.0,too_few,,0,too_few,0.28,low
7522,0.672,2265,3,0.0803,1,high,0.6274,high,0.7186,334,high,0.558,high
7531,0.4201,2333,3,0.081,1,mid,0.3811,mid,0.404,906,mid,0.3779,mid
7532,0.686,613,3,0.0214,1,high,0.4706,high,0.7335,159,high,0.5423,high
7534,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7535,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7536,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7541,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7542,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
7543,0.5186,1502,3,0.0566,1,high,0.4075,mid,0.5471,170,high,0.4968,high
7544,0.735,867,3,0.0549,1,high,0.735,high,0.7775,454,high,0.2839,low
7549,0.0,16,1,0.0032,0,too_few,0.0,too_few,,0,too_few,0.0,low
8111,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
8112,1.0,19,1,0.0065,0,too_few,1.0,too_few,,0,too_few,,too_few
8113,0.0,35,1,0.0058,0,too_few,0.0,too_few,,0,too_few,0.2151,low
8114,0.4733,508,3,0.0227,1,mid,0.4733,high,0.3516,128,low,0.4219,high
8121,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
8122,1.0,41,2,0.0041,0,too_few,1.0,too_few,,0,too_few,,too_few
8131,0.5,68,2,0.009,0,too_few,0.5,too_few,,0,too_few,0.4037,mid
8132,0.4781,366,3,0.0142,1,mid,0.4781,high,0.5159,126,high,0.6866,high
8141,0.4683,121,2,0.0153,1,mid,0.4683,high,,0,too_few,0.4037,mid
8142,1.0,56,2,0.0056,0,too_few,1.0,too_few,,0,too_few,,too_few
8143,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
8151,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
8152,0.686,613,3,0.0214,1,high,0.4706,high,0.7335,159,high,0.5423,high
8153,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
8154,0.6952,292,3,0.017,1,high,0.6336,high,1.0,22,too_few,,too_few
8156,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
8157,,0,0,,0,too_few,,too_few,,0,too_few,0.0,low
8160,0.386,215,3,0.0124,1,low,0.386,mid,0.2785,79,too_few,0.4054,mid
8171,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
