styrk08,microsoft_applicability,microsoft_user,microsoft_action,pctl_rank,quintile,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
8141,0.070678,0.124424,0.016933,16.33,1,5,1,6,
8142,0.105624,0.178674,0.032574,29.85,2,12,1,3,
8143,0.103527,0.188035,0.019019,28.32,2,2,1,3,
8151,0.055068,0.091131,0.019005,11.48,1,1,0,0,
8152,0.091385,0.135466,0.047304,24.49,2,1,0,0,
8153,0.040595,0.08119,0.0,4.85,1,1,0,0,
8154,0.104445,0.162363,0.046528,29.08,2,1,0,0,
8156,0.04957,0.081356,0.017784,9.18,1,1,0,0,
8157,0.044602,0.084167,0.005038,6.89,1,1,0,0,
8160,0.083336,0.152583,0.014089,20.41,2,5,1,4,
8171,0.072067,0.144135,0.0,16.84,1,2,1,3,
8172,0.108911,0.203858,0.013963,32.4,2,1,0,0,
8181,0.077331,0.137075,0.017586,18.62,1,6,1,6,
8182,0.093809,0.164262,0.023357,25.77,2,1,0,0,
8183,0.020053,0.040106,0.0,1.02,1,1,0,0,
8189,0.09206,0.164144,0.019976,24.74,2,4,1,3,
8211,0.085526,0.132376,0.038677,21.43,2,2,0,0,
8212,0.06171,0.099165,0.024256,14.03,1,3,1,2,
8311,0.090334,0.122268,0.0584,23.47,2,5,1,2,
8312,0.093531,0.119255,0.067808,25.51,2,2,0,0,
8322,0.095523,0.130205,0.060841,27.04,2,4,0,0,
8331,0.150143,0.208335,0.091951,52.3,3,3,1,2,
8332,0.137972,0.197968,0.077976,47.96,3,1,0,0,
8341,0.042904,0.085808,0.0,6.12,1,2,1,6,
8342,0.040354,0.056335,0.024374,4.59,1,5,1,2,
8343,0.106782,0.149641,0.063924,30.61,2,4,1,2,
8344,0.013096,0.026192,0.0,0.77,1,1,0,0,
8350,0.032689,0.054136,0.011242,2.3,1,2,0,0,
9111,0.008116,0.016233,0.0,0.0,1,1,1,2,
9112,0.051474,0.088824,0.014124,10.2,1,3,1,3,
9122,0.038752,0.077505,0.0,4.08,1,1,1,2,
9123,0.107553,0.172735,0.042371,31.63,2,1,1,3,
9129,0.086816,0.163134,0.010498,22.19,2,1,0,0,
9211,0.047848,0.0694,0.026297,8.67,1,1,1,5,
9212,0.143947,0.287893,0.0,49.74,3,1,1,5,
9213,0.095898,0.178647,0.013148,27.3,2,2,1,5,
9214,0.045298,0.071322,0.019274,7.14,1,2,1,5,
9215,0.073523,0.103555,0.04349,17.09,1,1,1,2,
9216,0.104286,0.199111,0.009461,28.83,2,2,1,5,
9311,0.028074,0.056147,0.0,1.53,1,1,0,0,
9312,0.010677,0.021354,0.0,0.51,1,2,0,0,
9313,0.041494,0.076818,0.006169,5.36,1,7,0,0,
9321,0.069724,0.139448,0.0,15.82,1,1,0,0,
9329,0.101772,0.152838,0.050707,27.81,2,4,1,3,
9331,0.101791,0.16146,0.042121,28.06,2,2,1,4,
9333,0.070432,0.116157,0.024707,16.07,1,3,1,3,
9334,0.110137,0.159264,0.06101,33.16,2,1,1,2,
9412,0.07186,0.139202,0.004518,16.58,1,3,1,2,
9510,0.127474,0.192059,0.06289,42.86,3,1,1,4,
9611,0.035273,0.070545,0.0,3.06,1,1,1,2,
9612,0.035273,0.070545,0.0,3.32,1,1,1,2,
9621,0.160509,0.223321,0.097697,56.38,3,2,1,4,
9622,0.086567,0.167278,0.005856,21.94,2,3,0,0,
9623,0.156745,0.246876,0.066613,55.1,3,2,0,0,
9629,0.175733,0.260962,0.090504,58.93,3,5,1,2,
