styrk08,overall_exposure,pctl_overall_exposure,q_overall_exposure,automation_share,pctl_automation_share,q_automation_share,augmentation_share,pctl_augmentation_share,q_augmentation_share,n_soc_matched,n_tasks_matched,n_tasks_total,task_coverage,has_partial_match,max_partial_fanout,manual_map
3522,0.20613453,80.91,5,0.39247005,79.2,4,0.60752995,47.58,3,1,14,43,0.3256,1,4,
4110,0.41386103,91.17,5,0.58398024,97.72,5,0.41601976,23.36,2,2,13,40,0.325,0,0,
4131,0.38967335,90.03,5,0.48104396,90.88,5,0.51895604,34.47,2,1,8,19,0.4211,0,0,
4132,0.01047619,19.37,1,1.0,100.0,5,0.0,1.99,1,1,3,9,0.3333,0,0,
4211,0.00683007,14.81,1,0.25609756,45.01,3,0.24390244,13.68,1,2,3,48,0.0625,1,2,
4212,0.01725491,30.77,2,0.21830986,38.46,2,0.28169014,15.1,1,2,3,38,0.0789,0,0,
4214,0.0765173,60.11,4,0.40633291,83.48,5,0.59366709,43.3,3,2,15,43,0.3488,0,0,
4221,0.04906009,49.86,3,0.26836193,48.43,3,0.73163807,78.06,4,3,12,46,0.2609,1,9,
4222,0.15046691,76.35,4,0.40233316,81.2,5,0.59766684,45.3,3,2,21,47,0.4468,1,3,
4223,0.13839874,74.64,4,0.22743123,39.89,2,0.27256877,14.81,1,2,4,35,0.1143,0,0,
4224,0.03214754,41.88,3,0.41097845,84.9,5,0.58902155,41.6,3,2,7,35,0.2,0,0,
4225,0.22308132,82.05,5,0.47337252,90.31,5,0.52662748,35.04,2,2,15,40,0.375,1,3,
4226,0.15878624,76.92,4,0.49142431,91.74,5,0.50857569,33.62,2,1,9,19,0.4737,1,3,
4227,0.18805796,79.49,4,0.53731343,96.58,5,0.46268657,25.93,2,1,6,16,0.375,0,0,
4229,0.0514566,50.43,3,0.18158568,29.91,2,0.81841432,90.6,5,1,6,17,0.3529,1,2,
4311,0.07158733,57.83,3,0.48675826,91.45,5,0.51324174,33.9,2,2,19,60,0.3167,1,2,
4312,0.03372924,42.74,3,0.39434601,79.77,4,0.40565399,23.08,2,5,26,83,0.3133,0,0,
4313,0.01674137,30.2,2,0.29292929,56.13,3,0.70707071,70.94,4,1,3,19,0.1579,0,0,
4321,0.01359166,26.21,2,0.2359522,42.45,3,0.7640478,82.05,5,3,5,83,0.0602,1,2,
4322,0.02526612,38.46,2,0.53645833,96.3,5,0.46354167,26.21,2,1,3,17,0.1765,0,0,
4323,0.00297853,6.84,1,0.0,3.13,1,1.0,98.29,5,1,1,13,0.0769,0,0,
4411,0.21404303,81.77,5,0.4225018,86.61,5,0.5774982,39.6,2,2,17,66,0.2576,1,2,
4412,0.00708684,15.1,1,0.1875,31.62,2,0.3125,16.81,1,2,2,36,0.0556,1,4,
4413,0.03348274,42.45,3,0.46666667,89.74,5,0.53333333,35.9,2,1,3,8,0.375,0,0,
4415,0.06121384,53.56,3,0.34843892,67.52,4,0.65156108,58.69,3,2,6,37,0.1622,0,0,
4416,0.07199816,58.12,3,0.38860972,78.06,4,0.61139028,48.15,3,1,7,18,0.3889,0,0,
5111,0.00849051,16.24,1,0.0,3.42,1,0.66666667,63.25,4,3,8,60,0.1333,1,17,
5112,0.01021942,19.09,1,0.0,3.7,1,0.5,31.62,2,2,7,36,0.1944,1,17,
5113,0.09521012,64.1,4,0.41303907,85.19,5,0.58696093,41.31,3,3,16,74,0.2162,1,10,
5120,0.02052102,34.76,2,0.26382429,46.72,3,0.13617571,11.68,1,5,11,83,0.1325,1,2,
5131,0.00883287,16.52,1,0.27272727,49.86,3,0.72727273,76.92,4,2,4,39,0.1026,1,2,
5132,0.01571429,28.77,2,0.40277778,82.05,5,0.59722222,44.44,3,1,4,20,0.2,0,0,
5141,0.06244634,53.85,3,0.24415993,43.87,3,0.42250674,23.65,2,3,15,80,0.1875,1,10,
5142,0.03851542,45.01,3,0.1272844,20.51,2,0.53938226,36.47,2,6,23,121,0.1901,1,10,
5151,0.0725117,58.4,3,0.31298905,62.11,4,0.68701095,64.67,4,1,5,26,0.1923,0,0,
5152,0.0725117,58.69,3,0.31298905,62.39,4,0.68701095,64.96,4,1,5,26,0.1923,0,0,
5163,0.01273577,24.22,2,0.1952381,33.05,2,0.8047619,89.46,5,2,6,47,0.1277,0,0,
5164,0.05320263,51.28,3,0.17031491,27.92,2,0.57968509,40.17,3,4,15,105,0.1429,1,10,
5165,0.22905172,82.91,5,0.40248933,81.77,5,0.59751067,45.01,3,1,13,30,0.4333,1,6,
5169,0.1206303,70.66,4,0.28065327,51.85,3,0.46934673,27.07,2,4,17,112,0.1518,1,10,
5211,0.01930906,33.05,2,0.16504854,26.21,2,0.83495146,92.59,5,1,3,12,0.25,1,4,
5212,0.01304389,25.07,2,0.35525154,70.09,4,0.64474846,56.7,3,2,4,26,0.1538,1,4,
5221,0.03861813,45.58,3,0.34461538,66.95,4,0.65538462,59.54,3,1,3,17,0.1765,1,7,
5222,0.03872084,45.87,3,0.20072993,33.9,2,0.79927007,88.6,5,1,5,21,0.2381,0,0,
5223,0.07667136,60.68,4,0.29521402,56.98,3,0.70478598,70.09,4,2,7,43,0.1628,0,0,
5230,0.25481802,85.75,5,0.20532586,34.47,2,0.79467414,88.03,5,1,4,27,0.1481,0,0,
5241,0.00369748,8.55,1,0.0,3.99,1,0.0,2.28,1,1,2,17,0.1176,0,0,
5242,0.07014942,56.7,3,0.35185185,68.38,4,0.64814815,57.83,3,1,5,24,0.2083,0,0,
5243,0.01930906,33.33,2,0.16504854,26.5,2,0.83495146,92.88,5,1,3,12,0.25,1,4,
5244,0.04015875,46.72,3,0.22089552,39.03,2,0.77910448,84.33,5,1,2,12,0.1667,0,0,
5245,0.01170869,22.51,2,0.09868421,18.23,1,0.40131579,22.79,2,2,6,38,0.1579,1,17,
5246,0.00914099,16.81,1,0.26470588,47.58,3,0.23529412,13.11,1,2,6,57,0.1053,0,0,
5249,0.16299726,77.21,4,0.32432432,62.96,4,0.67567568,64.39,4,1,4,16,0.25,0,0,
5311,0.10409434,67.24,4,0.43482899,87.18,5,0.56517101,38.75,2,2,15,82,0.1829,1,10,
5312,0.06975726,56.41,3,0.42197936,86.32,5,0.57802064,39.89,2,1,6,32,0.1875,0,0,
5321,0.00672736,14.25,1,0.0,4.27,1,0.5,31.91,2,2,6,50,0.12,0,0,
5322,0.07367572,59.54,3,0.61456256,98.01,5,0.38543744,22.22,2,3,15,64,0.2344,1,10,
5329,0.01332634,25.36,2,0.3525641,68.95,4,0.3974359,22.51,2,4,8,79,0.1013,1,2,
5411,0.00308123,7.12,1,0.0,4.56,1,0.0,2.56,1,2,3,102,0.0294,1,3,
5413,0.1687489,77.78,4,0.31788297,62.68,4,0.18211703,11.97,1,2,2,48,0.0417,0,0,
5414,0.00631653,12.54,1,0.55315615,96.87,5,0.44684385,25.64,2,2,3,38,0.0789,0,0,
5419,0.009992,18.23,1,0.354148,69.52,4,0.21728057,12.54,1,7,12,129,0.093,0,0,
6113,0.04113447,47.86,3,0.23140917,41.6,3,0.76859083,82.34,5,2,2,54,0.037,1,2,
6121,0.00205416,2.28,1,0.0,4.84,1,0.0,2.85,1,1,1,21,0.0476,1,6,
6122,0.00205416,2.56,1,0.0,5.13,1,0.0,3.13,1,1,1,21,0.0476,1,6,
6123,0.00205416,2.85,1,0.0,5.41,1,0.0,3.42,1,1,1,21,0.0476,1,6,
6129,0.00205416,3.13,1,0.0,5.7,1,0.0,3.7,1,1,1,21,0.0476,1,6,
6130,0.00205416,3.42,1,0.0,5.98,1,0.0,3.99,1,1,1,21,0.0476,1,6,
6221,0.00205416,3.7,1,0.0,6.27,1,0.0,4.27,1,1,1,21,0.0476,1,6,
7114,0.01386555,27.35,2,0.25581395,44.73,3,0.74418605,80.34,5,1,1,26,0.0385,0,0,
7115,0.01468721,28.21,2,0.39473684,80.06,5,0.60526316,46.44,3,1,2,37,0.0541,0,0,
7119,0.00917523,17.09,1,0.0,6.55,1,1.0,98.58,5,3,8,86,0.093,1,2,
7121,0.00174603,0.57,1,0.0,6.84,1,0.0,4.56,1,1,1,28,0.0357,0,0,
7122,0.00831933,15.95,1,0.30263158,58.4,3,0.69736842,68.66,4,1,1,25,0.04,0,0,
7123,0.01879553,32.48,2,0.2875817,53.85,3,0.7124183,73.22,4,1,2,26,0.0769,0,0,
7125,0.00482727,9.69,1,0.0,7.12,1,0.0,4.84,1,1,2,27,0.0741,0,0,
7126,0.04313727,48.15,3,0.34700315,67.24,4,0.65299685,58.97,3,1,7,43,0.1628,0,0,
7127,0.01591971,29.06,2,0.27968961,50.71,3,0.72031039,76.07,4,2,6,69,0.087,1,11,
