styrk08,rank,neighbour,similarity,n_soc,n_soc_neighbour
2164,2,2133,0.8509,1,2
2164,3,2611,0.8245,1,1
2164,4,2422,0.8139,1,1
2164,5,1212,0.8128,1,3
2165,1,3112,0.7109,2,5
2165,2,2114,0.6935,2,2
2165,3,2151,0.6598,2,1
2165,4,2131,0.6107,2,9
2165,5,2111,0.6088,2,2
2166,1,2431,0.7149,2,2
2166,2,2654,0.6948,2,3
2166,3,2513,0.6878,2,1
2166,4,2641,0.6242,2,3
2166,5,2519,0.6114,2,1
2211,1,2212,0.9088,4,4
2211,2,2224,0.8348,4,3
2211,3,2223,0.8348,4,3
2211,4,2221,0.8348,4,3
2211,5,2222,0.819,4,1
2212,1,2224,0.9432,4,3
2212,2,2223,0.9432,4,3
2212,3,2221,0.9432,4,3
2212,4,2211,0.9088,4,4
2212,5,2222,0.8953,4,1
2221,1,2224,1.0,3,3
2221,2,2223,1.0,3,3
2221,3,2212,0.9432,3,4
2221,4,2222,0.9251,3,1
2221,5,2261,0.8651,3,4
2222,1,2224,0.9251,1,3
2222,2,2223,0.9251,1,3
2222,3,2221,0.9251,1,3
2222,4,2212,0.8953,1,4
2222,5,2266,0.8275,1,2
2223,1,2224,1.0,3,3
2223,2,2221,1.0,3,3
2223,3,2212,0.9432,3,4
2223,4,2222,0.9251,3,1
2223,5,2261,0.8651,3,4
2224,1,2223,1.0,3,3
2224,2,2221,1.0,3,3
2224,3,2212,0.9432,3,4
2224,4,2222,0.9251,3,1
2224,5,2261,0.8651,3,4
2250,1,2211,0.7905,1,4
2250,2,2212,0.6676,1,4
2250,3,2262,0.667,1,1
2250,4,2221,0.6277,1,3
2250,5,2224,0.6277,1,3
2261,1,2224,0.8651,4,3
2261,2,2223,0.8651,4,3
2261,3,2221,0.8651,4,3
2261,4,2212,0.8116,4,4
2261,5,1342,0.7964,4,1
2262,1,2211,0.7678,1,4
2262,2,2212,0.7489,1,4
2262,3,2265,0.7464,1,1
2262,4,2224,0.7153,1,3
2262,5,2223,0.7153,1,3
2263,1,2132,0.8333,2,3
2263,2,2266,0.8185,2,2
2263,3,2224,0.8175,2,3
2263,4,2223,0.8175,2,3
2263,5,2221,0.8175,2,3
2264,1,2267,0.8793,2,1
2264,2,2266,0.8162,2,2
2264,3,2222,0.8115,2,1
2264,4,2224,0.8024,2,3
2264,5,2223,0.8024,2,3
2265,1,2634,0.8214,1,3
2265,2,2356,0.7601,1,1
2265,3,2424,0.7601,1,1
2265,4,2211,0.7585,1,4
2265,5,2262,0.7464,1,1
2266,1,2212,0.8299,2,4
2266,2,2222,0.8275,2,1
2266,3,2224,0.8244,2,3
2266,4,2223,0.8244,2,3
2266,5,2221,0.8244,2,3
2267,1,2352,0.9083,1,4
2267,2,2264,0.8793,1,2
2267,3,2341,0.831,1,2
2267,4,2635,0.8268,1,8
2267,5,2330,0.8187,1,1
2269,1,2222,0.7307,1,1
2269,2,2264,0.7256,1,2
2269,3,2263,0.7151,1,2
2269,4,2212,0.7118,1,4
2269,5,2261,0.6968,1,4
2310,1,2632,0.8904,35,3
2310,2,2330,0.8402,35,1
2310,3,2634,0.8326,35,3
2310,4,2424,0.824,35,1
2310,5,2356,0.824,35,1
2320,1,2351,0.8191,3,1
2320,2,2341,0.7805,3,2
2320,3,2330,0.778,3,1
2320,4,2424,0.7777,3,1
2320,5,2356,0.7777,3,1
2330,1,2341,0.9262,1,2
2330,2,2352,0.8965,1,4
2330,3,2351,0.8578,1,1
2330,4,2310,0.8402,1,35
2330,5,2267,0.8187,1,1
2341,1,2352,0.9445,2,4
2341,2,2330,0.9262,2,1
2341,3,2351,0.8368,2,1
2341,4,2267,0.831,2,1
2341,5,2310,0.8041,2,35
2342,1,2352,0.7883,2,4
2342,2,2341,0.7785,2,2
2342,3,5311,0.7571,2,2
2342,4,3423,0.7248,2,4
2342,5,3422,0.7227,2,3
2351,1,2424,0.8933,1,1
2351,2,2356,0.8933,1,1
2351,3,1345,0.8885,1,2
2351,4,1212,0.8602,1,3
2351,5,2330,0.8578,1,1
2352,1,2341,0.9445,4,2
2352,2,2267,0.9083,4,1
2352,3,2330,0.8965,4,1
2352,4,2351,0.8465,4,1
2352,5,2359,0.8393,4,2
2353,1,2355,0.9799,3,2
2353,2,2354,0.8318,3,1
2353,3,5165,0.8318,3,1
2353,4,2359,0.8202,3,2
2353,5,3422,0.7786,3,3
2354,1,5165,1.0,1,1
2354,2,2355,0.8875,1,2
2354,3,2353,0.8318,1,3
2354,4,3422,0.7441,1,3
2354,5,3423,0.7425,1,4
2355,1,2353,0.9799,2,3
2355,2,5165,0.8875,2,1
2355,3,2354,0.8875,2,1
2355,4,2359,0.8055,2,2
2355,5,3423,0.7902,2,4
2356,1,2424,1.0,1,1
2356,2,2351,0.8933,1,1
2356,3,1212,0.8606,1,3
2356,4,2310,0.824,1,35
2356,5,2634,0.8068,1,3
2359,1,2423,0.8403,2,4
2359,2,2352,0.8393,2,4
2359,3,2353,0.8202,2,3
2359,4,2634,0.8071,2,3
2359,5,2355,0.8055,2,2
2411,1,3312,0.8234,3,2
2411,2,2413,0.7906,3,2
2411,3,2412,0.7865,3,1
2411,4,3354,0.7613,3,2
2411,5,3353,0.7366,3,2
2412,1,3339,0.8299,1,7
2412,2,2422,0.8098,1,1
2412,3,1211,0.7935,1,1
2412,4,2423,0.7929,1,4
2412,5,3312,0.7923,1,2
2413,1,2411,0.7906,2,3
2413,2,2631,0.7545,2,1
2413,3,2120,0.7465,2,5
2413,4,3321,0.7392,2,3
2413,5,3312,0.7384,2,2
2421,1,1346,0.8843,2,2
2421,2,2422,0.8822,2,1
2421,3,1120,0.8802,2,2
2421,4,1112,0.8675,2,3
2421,5,2164,0.8646,2,1
2422,1,2421,0.8822,1,2
2422,2,1211,0.8717,1,1
2422,3,3339,0.8617,1,7
2422,4,3311,0.8369,1,2
2422,5,1346,0.8341,1,2
2423,1,2611,0.8616,4,1
2423,2,2359,0.8403,4,2
2423,3,3321,0.8268,4,3
2423,4,2634,0.8194,4,3
2423,5,3353,0.8137,4,2
2424,1,2356,1.0,1,1
2424,2,2351,0.8933,1,1
2424,3,1212,0.8606,1,3
2424,4,2310,0.824,1,35
2424,5,2634,0.8068,1,3
2431,1,2641,0.8534,2,3
2431,2,3339,0.7566,2,7
2431,3,2642,0.7536,2,2
2431,4,3312,0.7355,2,2
2431,5,3321,0.7194,2,3
2432,1,2611,0.8063,1,1
2432,2,1221,0.8011,1,2
2432,3,2164,0.7892,1,1
2432,4,2654,0.7592,1,3
2432,5,2643,0.751,1,2
2433,1,2434,0.9269,2,3
2433,2,3322,0.894,2,3
2433,3,3311,0.8939,2,2
2433,4,3324,0.8708,2,3
2433,5,3334,0.8495,2,4
2434,1,2433,0.9269,3,2
2434,2,3339,0.8645,3,7
2434,3,3322,0.8552,3,3
2434,4,3311,0.8225,3,2
2434,5,1221,0.8035,3,2
2511,1,2144,0.8594,2,4
2511,2,2519,0.8558,2,1
2511,3,2149,0.8486,2,5
2511,4,3511,0.8459,2,1
2511,5,2146,0.8373,2,4
2512,1,2519,0.8699,2,1
2512,2,2529,0.8606,2,2
2512,3,2521,0.8034,2,1
2512,4,2514,0.7611,2,1
2512,5,2511,0.7231,2,2
2513,1,2519,0.9265,1,1
2513,2,2521,0.8915,1,1
2513,3,2529,0.8402,1,2
2513,4,3514,0.8389,1,2
2513,5,2514,0.8322,1,1
2514,1,2519,0.8676,1,1
2514,2,2521,0.8567,1,1
2514,3,2529,0.8438,1,2
2514,4,2513,0.8322,1,1
2514,5,3514,0.7761,1,2
2519,1,2529,0.9471,1,2
2519,2,2521,0.9362,1,1
2519,3,2513,0.9265,1,1
2519,4,2512,0.8699,1,2
2519,5,2514,0.8676,1,1
2521,1,2519,0.9362,1,1
2521,2,2529,0.9113,1,2
2521,3,2513,0.8915,1,1
2521,4,2514,0.8567,1,1
2521,5,3514,0.8377,1,2
2522,1,3514,0.8839,1,2
2522,2,2153,0.7907,1,1
2522,3,2523,0.7436,1,1
2522,4,2152,0.7222,1,2
2522,5,3113,0.7222,1,2
2523,1,2152,0.8624,1,2
2523,2,2153,0.8586,1,1
2523,3,2511,0.8021,1,2
2523,4,2149,0.7955,1,5
2523,5,2144,0.7656,1,4
2529,1,2519,0.9471,2,1
2529,2,2521,0.9113,2,1
2529,3,2512,0.8606,2,2
2529,4,2514,0.8438,2,1
2529,5,2513,0.8402,2,1
2611,1,2423,0.8616,1,4
2611,2,2164,0.8245,1,1
2611,3,2634,0.8201,1,3
2611,4,2635,0.8152,1,8
2611,5,2432,0.8063,1,1
2612,1,2619,0.7921,2,1
2612,2,3353,0.7634,2,2
2612,3,3312,0.7533,2,2
2612,4,2611,0.6815,2,1
2612,5,4229,0.6774,2,1
2619,1,2612,0.7921,1,2
2619,2,3312,0.6775,1,2
2619,3,3321,0.6341,1,3
2619,4,3353,0.6248,1,2
2619,5,3411,0.5964,1,6
2621,1,2633,0.7393,2,3
2621,2,2632,0.7181,2,3
2621,3,2133,0.7033,2,2
2621,4,2263,0.6929,2,2
2621,5,2132,0.6674,2,3
2622,1,2423,0.6095,2,4
2622,2,2359,0.6077,2,2
2622,3,2431,0.6017,2,2
2622,4,3339,0.5902,2,7
2622,5,4214,0.5819,2,2
2631,1,2120,0.8954,1,5
2631,2,2112,0.8459,1,1
2631,3,2632,0.8217,1,3
2631,4,2633,0.8038,1,3
2631,5,2111,0.7655,1,2
2632,1,2633,0.9416,3,3
2632,2,2310,0.8904,3,35
2632,3,2112,0.8793,3,1
2632,4,2631,0.8217,3,1
2632,5,2634,0.8104,3,3
2633,1,2632,0.9416,3,3
2633,2,2643,0.8636,3,2
2633,3,2112,0.8411,3,1
2633,4,2310,0.8232,3,35
2633,5,2631,0.8038,3,1
2634,1,2635,0.8508,3,8
2634,2,2310,0.8326,3,35
2634,3,2212,0.8295,3,4
2634,4,2265,0.8214,3,1
2634,5,2611,0.8201,3,1
2635,1,2634,0.8508,8,3
2635,2,2352,0.8345,8,4
2635,3,2267,0.8268,8,1
2635,4,3412,0.823,8,1
2635,5,2611,0.8152,8,1
2636,1,1341,0.8395,2,1
2636,2,1221,0.8011,2,2
2636,3,1345,0.7867,2,2
2636,4,1411,0.7786,2,1
2636,5,2351,0.7779,2,1
2641,1,2642,0.8754,3,2
2641,2,2431,0.8534,3,2
2641,3,3312,0.6518,3,2
2641,4,3411,0.6484,3,6
2641,5,4413,0.6312,3,1
2642,1,2641,0.8754,2,3
2642,2,2656,0.798,2,2
2642,3,2431,0.7536,2,2
2642,4,3312,0.7021,2,2
2642,5,3353,0.6959,2,2
2643,1,2633,0.8636,2,3
2643,2,2634,0.8027,2,3
2643,3,2632,0.7995,2,3
2643,4,2164,0.7946,2,1
2643,5,2611,0.7838,2,1
2651,1,7317,0.9454,2,1
2651,2,7319,0.9454,2,1
2651,3,7314,0.9269,2,2
2651,4,3433,0.9029,2,3
2651,5,7313,0.8638,2,1
2652,1,2653,0.8108,2,2
2652,2,2655,0.7141,2,1
2652,3,5211,0.6441,2,1
2652,4,5243,0.6441,2,1
2652,5,5142,0.6371,2,6
2653,1,2655,0.8138,2,1
2653,2,2652,0.8108,2,2
2653,3,5142,0.7697,2,6
2653,4,5212,0.6934,2,2
2653,5,5211,0.6773,2,1
2654,1,2432,0.7592,3,1
2654,2,1222,0.7017,3,1
2654,3,2611,0.6989,3,1
2654,4,2163,0.6974,3,2
2654,5,2166,0.6948,3,2
2655,1,2653,0.8138,1,2
2655,2,5241,0.8048,1,1
2655,3,5142,0.7579,1,6
2655,4,9629,0.7373,1,5
2655,5,2652,0.7141,1,2
2656,1,2642,0.798,2,2
2656,2,3411,0.6432,2,6
2656,3,3353,0.6329,2,2
2656,4,2641,0.615,2,3
2656,5,4229,0.6003,2,1
3112,1,2165,0.7109,5,2
3112,2,2133,0.696,5,2
3112,3,2132,0.6841,5,3
3112,4,3351,0.6616,5,3
3112,5,3119,0.6597,5,10
3113,1,3522,0.9526,2,1
3113,2,3114,0.9526,2,1
3113,3,3155,0.9526,2,1
3113,4,3115,0.9479,2,4
3113,5,7421,0.9111,2,7
3114,1,3522,1.0,1,1
3114,2,3155,1.0,1,1
3114,3,3113,0.9526,1,2
3114,4,3115,0.8818,1,4
3114,5,7421,0.8475,1,7
3115,1,3113,0.9479,4,2
3115,2,3116,0.9112,4,1
3115,3,0310,0.9112,4,1
3115,4,3114,0.8818,4,1
3115,5,3155,0.8818,4,1
3116,1,0310,1.0,1,1
3116,2,3115,0.9112,1,4
3116,3,3113,0.8307,1,2
3116,4,3117,0.8186,1,2
3116,5,3132,0.7958,1,4
3117,1,3115,0.8223,2,4
3117,2,0310,0.8186,2,1
3117,3,3116,0.8186,2,1
3117,4,3113,0.7666,2,2
3117,5,3134,0.7553,2,4
3118,1,4413,0.5835,4,1
3118,2,7321,0.5754,4,2
3118,3,2651,0.5712,4,2
3118,4,4322,0.5453,4,1
3118,5,2513,0.5304,4,1
3119,1,3116,0.7701,10,1
3119,2,0310,0.7701,10,1
3119,3,3115,0.7501,10,4
3119,4,7232,0.7268,10,2
3119,5,3132,0.7195,10,4
3121,1,3123,1.0,1,1
3121,2,3152,0.7887,1,2
3121,3,7127,0.7724,1,2
3121,4,3122,0.7706,1,1
3121,5,3151,0.7433,1,2
3122,1,1321,0.8238,1,1
3122,2,3152,0.7988,1,2
3122,3,3121,0.7706,1,1
3122,4,3123,0.7706,1,1
3122,5,3151,0.7554,1,2
3123,1,3121,1.0,1,1
3123,2,3152,0.7887,1,2
3123,3,7127,0.7724,1,2
3123,4,3122,0.7706,1,1
3123,5,3151,0.7433,1,2
3131,1,3132,0.745,4,4
3131,2,3153,0.7092,4,3
3131,3,3119,0.6981,4,10
3131,4,3116,0.6594,4,1
3131,5,0310,0.6594,4,1
3132,1,3134,0.8485,4,4
3132,2,7232,0.8201,4,2
3132,3,0310,0.7958,4,1
3132,4,3116,0.7958,4,1
3132,5,8182,0.7883,4,1
3133,1,8131,0.7623,1,3
3133,2,8114,0.7367,1,4
3133,3,7513,0.731,1,2
3133,4,8181,0.7047,1,6
3133,5,8121,0.696,1,5
3134,1,3132,0.8485,4,4
3134,2,8189,0.8263,4,4
3134,3,7223,0.8032,4,11
3134,4,8160,0.802,4,5
