nus_code,nus_name,nus_kortnavn,level_digit,level_name,field_digit,field_name,nus4,isced,complete_pull,n_total,n_employed,n_employed_scored,share_employed,share_selvstendig,share_i_utdanning,share_ledig,share_ufor_aap,share_utenfor,exposure_w,coverage_scored,share_E3,share_E2,share_E1,share_E0,share_top5_v1,exposure2_w,coverage2_scored,share2_E3,share2_E2,share2_E1,share2_E0,share_top5_v2,share_q1_v1,share_q2_v1,share_q3_v1,share_q4_v1,share_q5_v1,share_q1_v2,share_q2_v2,share_q3_v2,share_q4_v2,share_q5_v2,n_occupations,eloundou_beta_w,mouchel_grounded_w,handa_augmentation_w,handa_automation_w,anthropic2026_job_exposure_w,n_total_recent,n_employed_recent,share_employed_recent,exposure_w_recent,share_E3_recent,exposure2_w_recent,share2_E3_recent,share_top5_v1_recent,share_top5_v2_recent,share_i_utdanning_recent,share_ledig_recent
201106,"Voksenopplæring, grunnskole",Voksenopplæring ungdomsskole,2,Ungdomsskole,0,Allmenne fag,2011,0031,True,3446,1334,1334,0.387115,0.040046,0.006965,0.037145,0.434997,0.091991,0.230090,1.000000,0.011994,0.068966,0.249625,0.669415,0.063718,0.206198,1.000000,0.025487,0.088456,0.016492,0.869565,0.094453,0.367316,0.149175,0.314843,0.104948,0.063718,0.325337,0.261619,0.293103,0.025487,0.094453,84,0.229469,0.182941,0.532661,0.291995,0.048595,0,0,,,,,,,,,
201199,"Grunnskoleutdanning på ungdomsskoletrinnet, uspesifisert, ungdomsskoleutdanning",Ungdomsskole,2,Ungdomsskole,0,Allmenne fag,2011,0011,True,87977,45438,45429,0.516476,0.041568,0.018562,0.080112,0.200246,0.140503,0.225917,0.999802,0.021792,0.079068,0.210768,0.688371,0.079024,0.203807,0.998988,0.038289,0.092263,0.028111,0.841338,0.103102,0.387682,0.193313,0.232803,0.107178,0.079024,0.371784,0.248392,0.233631,0.043091,0.103102,301,0.225012,0.180819,0.532419,0.291286,0.047308,6724,3175,0.472189,0.186391,0.008197,0.157230,0.011969,0.031841,0.038425,0.057109,0.160916
201999,"Allmenne fag, andre, uspesifisert, ungdomsskoleutdanning",Ungdomsskole,2,Ungdomsskole,0,Allmenne fag,2019,0011,True,407,150,150,0.368550,0.054054,0.000000,0.034398,0.410319,0.132678,0.150163,1.000000,0.000000,0.000000,0.213333,0.786667,0.000000,0.114531,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.526667,0.160000,0.253333,0.060000,0.000000,0.566667,0.166667,0.266667,0.000000,0.000000,13,0.145581,0.101613,0.556187,0.364043,0.019800,0,0,,,,,,,,,
219999,"Humanistiske og estetiske fag, andre, uspesifiserte, ungdomsskoleutdanning",Ungdomsskole,2,Ungdomsskole,1,Humanistiske og estetiske fag,2199,0011,True,72,22,22,0.305556,0.138889,0.000000,0.000000,0.416667,0.138889,0.159890,1.000000,0.000000,0.000000,0.272727,0.727273,0.000000,0.122153,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.500000,0.227273,0.136364,0.136364,0.000000,0.500000,0.136364,0.363636,0.000000,0.000000,4,0.158071,0.108375,0.550610,0.403936,0.006216,0,0,,,,,,,,,
249999,"Økonomiske og administrative fag, andre, uspesifiserte, ungdomsskoleutdanning",Ungdomsskole,2,Ungdomsskole,4,Økonomiske og administrative fag,2499,0413,True,6,3,3,0.500000,0.000000,0.000000,0.000000,0.500000,0.000000,0.028490,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.012042,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,0.027778,0.010684,0.500000,0.500000,0.000000,0,0,,,,,,,,,
259999,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre, uspesifiserte, ungdomsskoleutdanning",Ungdomsskole,2,Ungdomsskole,5,"Naturvitenskap, håndverk og teknikk",2599,0588,True,108,24,24,0.222222,0.120370,0.000000,0.000000,0.509259,0.148148,0.202227,1.000000,0.000000,0.000000,0.375000,0.625000,0.000000,0.140482,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.458333,0.166667,0.208333,0.166667,0.000000,0.458333,0.333333,0.208333,0.000000,0.000000,6,0.181791,0.124637,0.455134,0.264310,0.035829,0,0,,,,,,,,,
269999,"Helse-, sosial- og idrettsfag, andre, uspesifiserte, ungdomsskoleutdanning",Ungdomsskole,2,Ungdomsskole,6,"Helse-, sosial- og idrettsfag",2699,0988,True,18,3,3,0.166667,0.000000,0.000000,0.166667,0.666667,0.000000,0.145058,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.255320,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1,0.249330,0.226522,0.565171,0.434829,0.027350,0,0,,,,,,,,,
279999,"Primærnæringsfag, andre, uspesifiserte, ungdomsskoleutdanning",Ungdomsskole,2,Ungdomsskole,7,Primærnæringsfag,2799,0899,True,17,5,5,0.294118,0.235294,0.000000,0.000000,0.470588,0.000000,0.028490,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.012042,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,0.027778,0.010684,0.500000,0.500000,0.000000,0,0,,,,,,,,,
289999,"Samferdsels- og sikkerhetsfag og andre servicefag, andre, uspesifiserte, ungdomsskoleutdanning",Ungdomsskole,2,Ungdomsskole,8,"Samferdsel, sikkerhet og service",2899,1088,True,62,18,18,0.290323,0.225806,0.000000,0.048387,0.435484,0.000000,0.227006,1.000000,0.000000,0.000000,0.444444,0.555556,0.000000,0.240991,1.000000,0.000000,0.222222,0.000000,0.777778,0.222222,0.388889,0.166667,0.222222,0.222222,0.000000,0.388889,0.166667,0.222222,0.000000,0.222222,5,0.221330,0.213809,0.523281,0.356719,0.068689,0,0,,,,,,,,,
299999,"Ungdomsskoleutdanning, uspesifisert fagfelt",Ungdomsskole,2,Ungdomsskole,9,Uoppgitt fagfelt,2999,0011,True,8942,4233,4233,0.473384,0.027846,0.029635,0.130731,0.117983,0.219749,0.157889,1.000000,0.001417,0.022679,0.152138,0.823766,0.017009,0.128675,1.000000,0.000709,0.042996,0.012757,0.943539,0.027876,0.509568,0.222065,0.190881,0.060477,0.017009,0.524215,0.248996,0.178833,0.020080,0.027876,107,0.157060,0.114162,0.521261,0.296869,0.022915,1422,631,0.443741,0.133777,0.000000,0.108511,0.000000,0.004754,0.009509,0.040084,0.187764
301102,"Allmenne fag, VK I",Videregående utdanning,3,Videregående grunnutdanning,0,Allmenne fag,3011,0011,True,117,47,47,0.401709,0.042735,0.000000,0.068376,0.367521,0.119658,0.195318,1.000000,0.000000,0.000000,0.297872,0.702128,0.000000,0.138740,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.340426,0.255319,0.340426,0.063830,0.000000,0.340426,0.361702,0.297872,0.000000,0.000000,9,0.175916,0.123091,0.558025,0.355805,0.017496,0,0,,,,,,,,,
301104,"Folkehøgskoleutdanning, ettårig",Folkehøgskole,3,Videregående grunnutdanning,0,Allmenne fag,3011,0011,True,810,525,525,0.648148,0.203704,0.000000,0.000000,0.139506,0.000000,0.275422,1.000000,0.019048,0.160000,0.201905,0.619048,0.152381,0.262625,1.000000,0.038095,0.167619,0.024762,0.769524,0.192381,0.354286,0.127619,0.259048,0.106667,0.152381,0.087619,0.460952,0.232381,0.026667,0.192381,40,0.277440,0.233003,0.520246,0.251774,0.075964,0,0,,,,,,,,,
301106,"Folkehøgskoleutdanning, toårig/videregående kurs",Folkehøgskole,3,Videregående grunnutdanning,0,Allmenne fag,3011,0011,True,154,74,74,0.480519,0.266234,0.000000,0.000000,0.253247,0.000000,0.206097,1.000000,0.000000,0.081081,0.121622,0.797297,0.040541,0.190192,1.000000,0.000000,0.081081,0.000000,0.918919,0.081081,0.445946,0.135135,0.297297,0.081081,0.040541,0.108108,0.554054,0.256757,0.000000,0.081081,10,0.208569,0.168740,0.506320,0.232966,0.036229,0,0,,,,,,,,,
301110,Realskoleutdanning,Realskole,3,Videregående grunnutdanning,0,Allmenne fag,3011,0011,True,543,309,309,0.569061,0.285451,0.000000,0.005525,0.134438,0.000000,0.331727,1.000000,0.061489,0.207120,0.262136,0.469256,0.177994,0.327449,0.987055,0.104918,0.213115,0.022951,0.659016,0.298361,0.242718,0.110032,0.288026,0.181230,0.177994,0.160656,0.249180,0.262295,0.029508,0.298361,36,0.327700,0.290515,0.533455,0.303280,0.097305,0,0,,,,,,,,,
301199,"Generelle programmer, uspesifiserte, videregående, grunnutdanning",Videregående utdanning,3,Videregående grunnutdanning,0,Allmenne fag,3011,0011,True,2570,1307,1307,0.508560,0.061089,0.002724,0.032296,0.295720,0.099611,0.231661,1.000000,0.022188,0.084162,0.222647,0.671002,0.074981,0.214555,0.997705,0.032209,0.118098,0.029908,0.819785,0.125000,0.365723,0.190513,0.239480,0.129304,0.074981,0.373466,0.205521,0.258436,0.037577,0.125000,85,0.231880,0.190355,0.538605,0.312942,0.048523,0,0,,,,,,,,,
301999,"Allmenne fag, andre, uspesifiserte, videregående, grunnutdanning",Videregående utdanning,3,Videregående grunnutdanning,0,Allmenne fag,3019,0011,True,18,0,0,0.000000,0.000000,0.000000,0.166667,0.166667,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,,,,,,,,,
314101,"Bibelskoleutdanning, videregående, grunnutdanning",Bibelskole,3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3141,0221,True,79,22,22,0.278481,0.151899,0.000000,0.000000,0.518987,0.050633,0.280993,1.000000,0.000000,0.000000,0.409091,0.590909,0.000000,0.249529,0.863636,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.181818,0.818182,0.000000,0.000000,0.000000,0.315789,0.684211,0.000000,0.000000,5,0.276985,0.221384,0.522168,0.319938,0.060109,0,0,,,,,,,,,
314102,Frelsesarmeens offisersskole,Frelsesarmeens offisersskole,3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3141,0221,True,16,16,16,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.223091,1.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.093175,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2,0.113347,0.082666,0.500000,0.000000,0.000000,0,0,,,,,,,,,
315902,"Musikk, dans og drama, toårig grunnkurs","Musikk, dans og drama",3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3159,0215,True,163,69,69,0.423313,0.214724,0.000000,0.036810,0.294479,0.030675,0.376747,1.000000,0.043478,0.188406,0.376812,0.391304,0.231884,0.362313,0.956522,0.090909,0.196970,0.181818,0.530303,0.287879,0.057971,0.115942,0.507246,0.086957,0.231884,0.000000,0.287879,0.378788,0.045455,0.287879,14,0.368223,0.321447,0.557148,0.340579,0.089247,0,0,,,,,,,,,
316301,"Fotografi, VK I",Fotofag,3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3163,0211,True,27,6,6,0.222222,0.407407,0.000000,0.000000,0.370370,0.000000,0.496542,1.000000,0.000000,0.500000,0.500000,0.000000,0.500000,0.511364,1.000000,0.500000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,2,0.475919,0.453687,0.585582,0.414418,0.189800,0,0,,,,,,,,,
316302,"Pressefotografutdanning, toårig","Pressefotografutdanning, toårig",3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3163,0211,True,16,12,12,0.750000,0.000000,0.000000,0.000000,0.250000,0.000000,0.529475,1.000000,0.000000,0.500000,0.500000,0.000000,0.500000,0.523034,1.000000,0.500000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,2,0.516973,0.464040,0.564603,0.435397,0.211450,0,0,,,,,,,,,
316404,"Tegne- og malerutdanning, videregående, grunnutdanning",Tegne- og malerutdanning,3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3164,0213,True,24,0,0,0.000000,0.250000,0.000000,0.000000,0.750000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,,,,,,,,,
316602,"Formgivingsfag, strikking/veving, VK I","Formgivingsfag, strikking/veving",3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3166,0214,True,239,81,81,0.338912,0.087866,0.000000,0.012552,0.543933,0.016736,0.275086,1.000000,0.000000,0.123457,0.370370,0.506173,0.123457,0.262695,1.000000,0.000000,0.185185,0.000000,0.814815,0.185185,0.271605,0.135802,0.407407,0.061728,0.123457,0.234568,0.209877,0.370370,0.000000,0.185185,10,0.277196,0.233065,0.580458,0.330036,0.102611,0,0,,,,,,,,,
316603,"Søm, VK I",Søm,3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3166,0723,True,581,263,263,0.452668,0.055077,0.000000,0.017212,0.459552,0.015491,0.301224,1.000000,0.026616,0.125475,0.372624,0.475285,0.152091,0.287254,1.000000,0.053232,0.140684,0.026616,0.779468,0.193916,0.254753,0.106464,0.418251,0.068441,0.152091,0.224335,0.163498,0.391635,0.026616,0.193916,19,0.300411,0.254854,0.588597,0.352348,0.108504,0,0,,,,,,,,,
316699,"Konfeksjons- og tekstilkunstutdanning, uspesifisert, videregående, grunnutdanning",Tekstilkunstutdanning,3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3166,0212,True,46,24,24,0.521739,0.217391,0.000000,0.000000,0.260870,0.000000,0.195847,1.000000,0.000000,0.000000,0.250000,0.750000,0.000000,0.177437,1.000000,0.000000,0.125000,0.000000,0.875000,0.125000,0.541667,0.000000,0.333333,0.125000,0.000000,0.291667,0.458333,0.125000,0.000000,0.125000,5,0.184355,0.157424,0.523654,0.299263,0.039657,0,0,,,,,,,,,
316901,"Blomsterdekoratør, Vg2 (gammel ordning)",Blomsterdekoratørfag,3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3169,0214,True,20,7,7,0.350000,0.000000,0.000000,0.000000,0.650000,0.000000,0.265282,1.000000,0.000000,0.000000,0.571429,0.428571,0.000000,0.252569,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.428571,0.571429,0.000000,0.000000,0.000000,0.428571,0.571429,0.000000,0.000000,2,0.258650,0.224081,0.831306,0.168694,0.092057,0,0,,,,,,,,,
316903,"Estetiske fag, toårig grunnkurs",Estetiske fag,3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3169,0213,True,193,86,86,0.445596,0.088083,0.000000,0.000000,0.430052,0.036269,0.356869,1.000000,0.000000,0.337209,0.232558,0.430233,0.337209,0.380982,1.000000,0.093023,0.279070,0.000000,0.627907,0.325581,0.151163,0.174419,0.302326,0.034884,0.337209,0.093023,0.162791,0.372093,0.046512,0.325581,11,0.365845,0.338011,0.540058,0.402713,0.136132,0,0,,,,,,,,,
316904,"Formgivingsfag, grunnkurs",Formgivingsfag,3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3169,0213,True,439,240,240,0.546697,0.125285,0.000000,0.000000,0.328018,0.000000,0.324433,1.000000,0.041667,0.191667,0.279167,0.487500,0.200000,0.315559,1.000000,0.054167,0.208333,0.000000,0.737500,0.250000,0.237500,0.100000,0.400000,0.062500,0.200000,0.104167,0.308333,0.325000,0.012500,0.250000,22,0.321896,0.279967,0.536687,0.330397,0.112308,0,0,,,,,,,,,
316906,"Tegning, form og farge, VK I","Tegning, form og farge",3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3169,0213,True,1107,564,564,0.509485,0.061427,0.000000,0.016260,0.385727,0.027100,0.352356,1.000000,0.026596,0.244681,0.358156,0.370567,0.214539,0.358293,0.994681,0.065954,0.272727,0.030303,0.631016,0.308378,0.156028,0.136525,0.352837,0.140071,0.214539,0.128342,0.167558,0.340463,0.055258,0.308378,46,0.353504,0.317880,0.569795,0.351821,0.133383,0,0,,,,,,,,,
316908,"Formgivingsfag, toårig grunnkurs",Formgivingsfag,3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3169,0213,True,170,80,80,0.470588,0.123529,0.000000,0.000000,0.382353,0.023529,0.403757,1.000000,0.000000,0.337500,0.475000,0.187500,0.262500,0.437489,1.000000,0.050000,0.400000,0.050000,0.500000,0.412500,0.050000,0.087500,0.412500,0.187500,0.262500,0.050000,0.050000,0.400000,0.087500,0.412500,13,0.398333,0.388144,0.628710,0.333790,0.154635,0,0,,,,,,,,,
319999,"Humanistiske og estetiske fag, andre, uspesifiserte, videregående, grunnutdanning",Påbegynt videregående utdanning,3,Videregående grunnutdanning,1,Humanistiske og estetiske fag,3199,0229,True,231,95,95,0.411255,0.095238,0.000000,0.030303,0.363636,0.099567,0.206089,1.000000,0.000000,0.042105,0.273684,0.684211,0.000000,0.178671,1.000000,0.000000,0.084211,0.031579,0.884211,0.084211,0.357895,0.200000,0.263158,0.178947,0.000000,0.357895,0.284211,0.273684,0.000000,0.084211,14,0.199380,0.158518,0.558472,0.339880,0.029526,0,0,,,,,,,,,
322199,"Allmenn-/grunnskolelærerutdanning, uspesifisert, videregående, grunnutdanning",Videregående (oppvekstfag),3,Videregående grunnutdanning,2,Lærerutdanninger og pedagogikk,3221,0113,True,3,3,3,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028490,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.012042,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,0.027778,0.010684,0.500000,0.500000,0.000000,0,0,,,,,,,,,
323701,"Trafikklærere, grunnutdanning",Trafikklærer,3,Videregående grunnutdanning,2,Lærerutdanninger og pedagogikk,3237,0114,True,129,81,81,0.627907,0.240310,0.000000,0.000000,0.131783,0.000000,0.403776,1.000000,0.000000,0.172840,0.827160,0.000000,0.049383,0.386232,1.000000,0.049383,0.123457,0.790123,0.037037,0.172840,0.000000,0.000000,0.728395,0.222222,0.049383,0.000000,0.037037,0.728395,0.061728,0.172840,6,0.389986,0.342668,0.611220,0.356373,0.064065,0,0,,,,,,,,,
329999,"Lærerutdanning og utdanning i pedagogikk, annen, uspesifisert, videregående, grunnutdanning",Påbegynt videregående utdanning,3,Videregående grunnutdanning,2,Lærerutdanninger og pedagogikk,3299,0111,True,87,36,36,0.413793,0.114943,0.000000,0.000000,0.356322,0.114943,0.148108,1.000000,0.000000,0.000000,0.250000,0.750000,0.000000,0.152586,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.444444,0.305556,0.250000,0.000000,0.000000,0.444444,0.083333,0.472222,0.000000,0.000000,5,0.168382,0.135376,0.526022,0.423978,0.050736,0,0,,,,,,,,,
339999,"Samfunnsfag og juridiske fag, andre, uspesifiserte, videregående, grunnutdanning",Påbegynt videregående utdanning,3,Videregående grunnutdanning,3,Samfunnsfag og juridiske fag,3399,0388,True,23,3,3,0.130435,0.000000,0.000000,0.000000,0.565217,0.304348,0.268401,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.152646,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1,0.216049,0.135429,0.397436,0.352564,0.011013,0,0,,,,,,,,,
341102,"Økonomiske og administrative fag, VK I",Økonomisk-administrative fag,3,Videregående grunnutdanning,4,Økonomiske og administrative fag,3411,0413,True,7873,5509,5509,0.699733,0.050934,0.001524,0.016131,0.209196,0.021593,0.463354,1.000000,0.107461,0.395353,0.272282,0.224905,0.409875,0.485866,0.997822,0.222849,0.370202,0.043478,0.363471,0.513189,0.085315,0.068797,0.209657,0.226357,0.409875,0.074222,0.103693,0.198290,0.110606,0.513189,177,0.458712,0.431064,0.586846,0.331501,0.163509,0,0,,,,,,,,,
342101,"Butikkfag, VK I",Butikkfag,3,Videregående grunnutdanning,4,Økonomiske og administrative fag,3421,0416,True,24,6,6,0.250000,0.125000,0.000000,0.000000,0.625000,0.000000,0.260793,1.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.316444,1.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.500000,2,0.254273,0.280751,0.577692,0.422308,0.068900,0,0,,,,,,,,,
342102,"Butikklederutdanning, videregående, grunnutdanning",Butikklederfag,3,Videregående grunnutdanning,4,Økonomiske og administrative fag,3421,0416,True,194,123,123,0.634021,0.082474,0.000000,0.041237,0.242268,0.000000,0.472730,1.000000,0.065041,0.325203,0.528455,0.081301,0.227642,0.506807,1.000000,0.089431,0.552846,0.056911,0.300813,0.585366,0.032520,0.000000,0.268293,0.471545,0.227642,0.032520,0.048780,0.219512,0.113821,0.585366,14,0.461691,0.449644,0.640994,0.310686,0.173154,0,0,,,,,,,,,
