inst,inst_short,inst_name,year,prog,prog_name,nus,nus_name,niva,niva_name,level,field,studium,graduates,students_autumn,profile_source,register_population,exposure_w,share_employed,share_i_utdanning,handa_augmentation_w,handa_automation_w,exposure_w_recent,share_top5_v1,exposure2_w,share_top5_v2,top_occupations,share_q1_v1,share_q1_v2,share_q2_v1,share_q2_v2,share_q3_v1,share_q3_v2,share_q4_v1,share_q4_v2,share_q5_v1,share_q5_v2
1176,USN,Universitetet i Sørøst-Norge,2025,BLUDEL,"Bachelor barnehagelærerutdanning, deltid",621107,"Bachelor, barnehagelærerutdanning, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,Lærerutdanninger og pedagogikk,Barnehagelærerutdanning,47.000000,162.000000,nus6,16371,0.254031,0.934335,0.016370,0.562006,0.422926,0.254402,0.022103,0.151962,0.026054,Førskolelærere (77%); Barnehage- og skolefritidsassistenter mv. (5%); Grunnskolelærere (3%); Vernepleiere (2%); Helsefagarbeidere (2%),0.024719,0.009754,0.822260,0.800471,0.101883,0.138583,0.029035,0.025137,0.022103,0.026054
1176,USN,Universitetet i Sørøst-Norge,2025,BACHJUSS,Bachelor i jus,637106,"Bachelor, rettsvitenskap, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,Samfunnsfag og juridiske fag,Juridiske fag,45.000000,227.000000,nus6,428,0.472865,0.612150,0.296729,0.618000,0.350194,0.536155,0.480916,0.541434,0.591603,Høyere saksbehandlere i offentlig og privat virksomhet (19%); Butikkmedarbeidere (14%); Kontormedarbeidere (10%); Saksbehandlere innen sosiale ytelser (7%); Jurister og advokater (6%),0.034351,0.041985,0.045802,0.095420,0.236641,0.179389,0.202290,0.091603,0.480916,0.591603
1176,USN,Universitetet i Sørøst-Norge,2025,MHELSE,Master i helsesykepleie,761115,"Master, helsesykepleie, toårig",M2,"Master, 2-årig",Master-nivå,"Helse-, sosial- og idrettsfag",Helsefag,45.000000,42.000000,nus6,272,0.378224,0.985294,0.000000,0.741595,0.258405,0.375745,0.000000,0.292524,0.000000,Spesialsykepleiere (90%); Sykepleiere (6%); Universitets- og høyskolelektorer/-lærere (2%); Ledere av helsetjenester (1%),0.000000,0.000000,0.000000,0.000000,0.962687,0.962687,0.037313,0.037313,0.000000,0.000000
1176,USN,Universitetet i Sørøst-Norge,2025,368,Bachelorstudium i eiendomsmegling,641906,"Bachelor, eiendomsmegling, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,Økonomiske og administrative fag,Økonomisk-administrativ utdanning,43.000000,202.000000,nus6,4678,0.511830,0.922830,0.011330,0.688940,0.291185,0.516982,0.234885,0.537224,0.288395,Eiendomsmeglere og - forvaltere (59%); Kundebehandlere lån og kreditt (5%); Kontormedarbeidere (4%); Selgere (engros) (4%); Regnskapsførere (3%),0.011119,0.008802,0.009729,0.014825,0.041927,0.041927,0.702340,0.646050,0.234885,0.288395
1176,USN,Universitetet i Sørøst-Norge,2025,PPUD,"Praktisk-pedagogisk utdanning, deltid",623801,Praktisk-pedagogisk utdanning for universitets- og høgskolekandidater,AR,"Årsstudium, 60-studiepoeng",Bachelor-nivå,Lærerutdanninger og pedagogikk,Praktisk-pedagogisk utdanning,38.000000,134.000000,nus6,10984,0.373153,0.869720,0.010288,0.608141,0.370189,0.360608,0.100796,0.350706,0.117566,Grunnskolelærere (37%); Lektorer mv. (videregående skole) (23%); Høyere saksbehandlere i offentlig og privat virksomhet (4%); Ledere av utdanning og undervisning (4%); Andre musikklærere (2%),0.018336,0.013813,0.037825,0.041860,0.727263,0.727330,0.115780,0.099431,0.100796,0.117566
1176,USN,Universitetet i Sørøst-Norge,2025,BACHSTATVI,Bachelor i statsvitenskap,631112,"Bachelor, statsvitenskap, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,Samfunnsfag og juridiske fag,Samfunnsvitenskap,37.000000,204.000000,nus6,2035,0.483685,0.772973,0.134152,0.627687,0.335789,0.518313,0.496791,0.538736,0.562058,Høyere saksbehandlere i offentlig og privat virksomhet (18%); Butikkmedarbeidere (8%); Kontormedarbeidere (6%); Journalister (3%); Andre pleiemedarbeidere (3%),0.038511,0.054019,0.053915,0.091318,0.214377,0.162701,0.196406,0.129904,0.496791,0.562058
1176,USN,Universitetet i Sørøst-Norge,2025,MPED,"Master i pedagogikk, deltid",724115,"Master, pedagogikk, toårig",M2,"Master, 2-årig",Master-nivå,Lærerutdanninger og pedagogikk,Pedagogiske fag,37.000000,206.000000,nus6,3740,0.429743,0.924064,0.006417,0.652216,0.338916,0.432119,0.184028,0.432457,0.225704,Grunnskolelærere (20%); Høyere saksbehandlere i offentlig og privat virksomhet (13%); Psykologer (11%); Universitets- og høyskolelektorer/-lærere (8%); Lektorer mv. (videregående skole) (7%),0.008681,0.002031,0.057870,0.058021,0.412326,0.418915,0.337095,0.295329,0.184028,0.225704
1176,USN,Universitetet i Sørøst-Norge,2025,315,Bachelor i natur- og miljøforvaltning,651417,"Bachelor, natur-, helse- og miljøvernfag, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Naturvitenskap, håndverk og teknikk",Matematisk-naturvitenskapelige fag,36.000000,103.000000,nus4 (small cell),1831,0.440554,0.678864,0.167668,0.597271,0.302715,0.426091,0.272727,0.473212,0.304907,Høyere saksbehandlere i offentlig og privat virksomhet (19%); Bygningsingeniører (11%); Butikkmedarbeidere (8%); Sivilingeniører (bygg og anlegg) (8%); Andre ingeniører (6%),0.037812,0.032985,0.038616,0.061142,0.285599,0.254224,0.365245,0.346742,0.272727,0.304907
1176,USN,Universitetet i Sørøst-Norge,2025,BACHVISKOM,Bachelor i visuell kommunikasjon,616418,"Bachelor, visuell kommunikasjon, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,Humanistiske og estetiske fag,Designutdanning,36.000000,140.000000,nus6,643,0.515378,0.741835,0.024883,0.598776,0.377314,0.538491,0.687631,0.605024,0.763103,Grafiske- og multimediadesignere (34%); Reklame- og markedsføringsrådgivere (8%); Butikkmedarbeidere (8%); Kontormedarbeidere (5%); Høyere saksbehandlere i offentlig og privat virksomhet (4%),0.031447,0.044025,0.035639,0.052411,0.155136,0.117400,0.090147,0.023061,0.687631,0.763103
1176,USN,Universitetet i Sørøst-Norge,2025,3NA,Bachelor i nautikk,681309,"Bachelor, nautikkutdanning, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Samferdsel, sikkerhet og service",Maritim utdanning,35.000000,153.000000,nus6,1684,0.320236,0.913895,0.008314,0.537768,0.099290,0.278626,0.087812,0.324398,0.122741,Dekksoffiserer og loser (54%); Offiserer fra fenrik og høyere grad (10%); Befal med sersjant grad (4%); Høyere saksbehandlere i offentlig og privat virksomhet (2%); Dekks- og maskinmannskap (skip) (2%),0.036336,0.033133,0.031037,0.036145,0.720666,0.704819,0.124148,0.103163,0.087812,0.122741
