group_type,group,n_codes,n_total,n_employed,share_employed,exposure_w,share_E3,share_top5_v1,exposure2_w,share2_E3,share_top5_v2,handa_augmentation_w,handa_automation_w,mouchel_grounded_w
nus4,"4449 | Hotell- og reiselivsfag, andre",2,1858,1606,0.864370,0.495125,0.061135,0.437305,0.517965,0.134496,0.432752,0.585259,0.364763,0.459537
nus4,"4499 | Økonomiske og administrative fag, andre",3,12474,9192,0.736893,0.414862,0.077426,0.387019,0.432574,0.192182,0.446537,0.567967,0.347190,0.383706
nus4,"4519 | Biologiske fag, andre",1,10,6,0.600000,0.028490,0.000000,0.000000,0.012042,0.000000,0.000000,0.500000,0.500000,0.010684
nus4,4522 | Kjemiske fag,4,10148,8794,0.866575,0.177621,0.005825,0.034262,0.178432,0.013077,0.045031,0.468842,0.191677,0.158371
nus4,4541 | Informasjons- og datateknologi,6,15842,12747,0.804633,0.512965,0.167115,0.560028,0.547998,0.391485,0.603723,0.657580,0.274271,0.485969
nus4,"4549 | Informasjons- og datateknologi, andre",1,81,4,0.049383,0.406720,0.000000,0.000000,0.258181,0.000000,0.000000,0.764048,0.235952,0.229060
nus4,4551 | Elektro,41,69914,61222,0.875676,0.278085,0.020471,0.111759,0.283586,0.055233,0.124770,0.752962,0.172635,0.251664
nus4,4552 | Mekaniske fag,51,98774,83198,0.842307,0.228278,0.007949,0.083613,0.222457,0.018635,0.099977,0.542539,0.201722,0.197466
nus4,4553 | Finmekaniske fag,8,582,397,0.682131,0.330822,0.007792,0.127273,0.314133,0.010152,0.187817,0.596285,0.248399,0.281401
nus4,"4559 | Utdanninger i elektrofag, mekaniske fag og maskinfag, andre",1,25,12,0.480000,0.133886,0.000000,0.000000,0.147837,0.000000,0.000000,0.943783,0.056217,0.131162
nus4,4571 | Bygg og anlegg,40,92675,76055,0.820664,0.207558,0.005629,0.055029,0.191418,0.013440,0.075398,0.557526,0.277264,0.170195
nus4,"4579 | Bygg- og anleggsfag, andre",2,13002,11210,0.862175,0.144131,0.006450,0.019798,0.136932,0.005713,0.043921,0.241873,0.112437,0.121486
nus4,4581 | Næringsmiddelproduksjon,17,31335,25423,0.811329,0.267933,0.007283,0.071757,0.235348,0.022285,0.124144,0.470576,0.271995,0.208732
nus4,4582 | Tekstil- og skinnproduksjon,9,474,265,0.559072,0.207691,0.000000,0.037736,0.181380,0.011321,0.067925,0.569248,0.340926,0.160922
nus4,"4583 | Produksjon av tre, papir, plast og glass",26,6121,4697,0.767358,0.221941,0.002768,0.070683,0.206612,0.010858,0.116032,0.462852,0.227607,0.183308
nus4,4584 | Gruvedrift og utvinning,13,4303,3833,0.890774,0.158068,0.001841,0.015251,0.130064,0.002350,0.022983,0.526936,0.202642,0.115358
nus4,"4599 | Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",2,20527,13934,0.678813,0.190909,0.010693,0.048443,0.173636,0.021399,0.069295,0.531692,0.244678,0.154051
nus4,4612 | Hjelpepleiefag,3,18084,13055,0.721909,0.160429,0.005745,0.050632,0.152658,0.022381,0.062773,0.517366,0.081163,0.135439
nus4,4613 | Vernepleiefag,1,42,27,0.642857,0.108831,0.000000,0.000000,0.111192,0.000000,0.000000,0.507241,0.048314,0.098650
nus4,"4619 | Pleie- og omsorgsfag, andre",2,46166,39710,0.860157,0.133319,0.002093,0.019160,0.120967,0.006978,0.022772,0.505812,0.053028,0.107330
nus4,4621 | Sosialfag,1,39576,32959,0.832803,0.182068,0.003554,0.028340,0.249840,0.009930,0.034132,0.560471,0.398943,0.221660
nus4,4642 | Tannpleiefag,2,4261,3356,0.787609,0.287772,0.005667,0.052789,0.194900,0.015215,0.057876,0.434640,0.347210,0.172917
nus4,4643 | Tannteknikk,2,300,211,0.703333,0.214742,0.000000,0.023697,0.149610,0.000000,0.066351,0.152608,0.083767,0.132735
nus4,"4659 | Terapeutiske fag, andre",2,3849,2046,0.531567,0.215560,0.006843,0.072336,0.215783,0.021537,0.113069,0.542421,0.183787,0.191409
nus4,4663 | Apotekteknikk,1,5315,4049,0.761806,0.349389,0.010373,0.073104,0.333695,0.024450,0.086935,0.666916,0.301467,0.296057
nus4,4681 | Idrettsfag,1,19961,14988,0.750864,0.330967,0.029309,0.169662,0.305176,0.057365,0.188554,0.569087,0.295103,0.270755
nus4,"4699 | Helse-, sosial- og idrettsfag, andre",9,28438,22656,0.796680,0.231103,0.005704,0.073403,0.160592,0.027093,0.087201,0.565582,0.250688,0.142476
nus4,4711 | Fiske og havbruk,2,1497,487,0.325317,0.238463,0.000000,0.049896,0.219490,0.008214,0.096509,0.452463,0.161438,0.194679
nus4,"4719 | Fiske og havbruk, andre",2,4407,3900,0.884956,0.255240,0.000774,0.020629,0.216792,0.013846,0.042821,0.204493,0.087489,0.192340
nus4,4731 | Gartneri og hagebruk,7,3236,2458,0.759580,0.219119,0.009411,0.049100,0.202013,0.019145,0.096945,0.613355,0.243736,0.179381
nus4,4741 | Skogbruk,4,1346,907,0.673848,0.204811,0.003330,0.059933,0.154656,0.017641,0.079383,0.535744,0.204235,0.137437
nus4,"4749 | Skogbruk, andre",1,34,8,0.235294,0.433736,0.000000,0.375000,0.384089,0.375000,0.375000,0.771667,0.228333,0.340767
nus4,"4799 | Primærnæringsfag, andre",11,13787,8185,0.593675,0.255698,0.018312,0.091561,0.239205,0.035640,0.128720,0.479688,0.241411,0.211979
nus4,4812 | Luftfartsfag,1,40,25,0.625000,0.338401,0.000000,0.120000,0.299256,0.120000,0.120000,0.077416,0.042584,0.265502
nus4,4813 | Maritime navigasjonsfag,4,6484,4961,0.765114,0.210760,0.013572,0.054287,0.213909,0.014786,0.072514,0.532623,0.136538,0.189800
nus4,4814 | Vegtrafikkfag,3,17201,14808,0.860880,0.322069,0.027703,0.083582,0.257660,0.011695,0.104576,0.436970,0.169378,0.228598
nus4,"4819 | Samferdsel, andre",3,8652,7943,0.918054,0.369764,0.027715,0.220957,0.325802,0.034266,0.237717,0.612923,0.268731,0.289054
nus4,4821 | Militære fag,1,74,40,0.540541,0.425058,0.000000,0.352941,0.423779,0.088235,0.441176,0.290797,0.183468,0.375980
nus4,4824 | Tollfag,1,19,10,0.526316,0.060114,0.000000,0.000000,0.043786,0.000000,0.000000,0.604835,0.395165,0.038847
nus4,4825 | Brannvernfag,1,12,12,1.000000,0.000000,0.000000,0.000000,,,,,,
nus4,"4829 | Sikkerhet, andre",2,1914,1743,0.910658,0.333905,0.025225,0.140541,0.261246,0.047509,0.154114,0.496648,0.440350,0.232466
nus4,4831 | Hår- og skjønnhetspleie,8,17604,12155,0.690468,0.260194,0.015310,0.111614,0.301036,0.027403,0.165405,0.513307,0.294151,0.267088
nus4,4832 | Servitør,2,3008,2367,0.786902,0.313852,0.024081,0.135192,0.292481,0.040135,0.225180,0.598851,0.297938,0.259492
nus4,"4833 | Andre servicefag, andre",5,1242,1083,0.871981,0.200218,0.016620,0.064635,0.189817,0.010157,0.071099,0.287936,0.099668,0.168407
nus4,"4839 | Andre servicefag, andre, uoppgitt utdanningsgruppe",1,22,3,0.136364,0.028490,0.000000,0.000000,0.012042,0.000000,0.000000,0.500000,0.500000,0.010684
