field,level,n_employed,rank,styrk08,styrk08_name,share,exposure_norm,exposure2_norm,quintile_v1,quintile_v2
Allmenne fag,Påbygging/fagskole,5593,3,5223,Butikkmedarbeidere,0.041659,0.351263,0.329793,3,3
Allmenne fag,Påbygging/fagskole,5593,4,4110,Kontormedarbeidere,0.029322,0.610279,0.665079,5,5
Allmenne fag,Påbygging/fagskole,5593,5,3322,Selgere (engros),0.027713,0.552398,0.587087,5,5
Allmenne fag,Påbygging/fagskole,5593,6,5329,Andre pleiemedarbeidere,0.027356,0.268401,0.152646,3,2
Allmenne fag,Påbygging/fagskole,5593,7,3119,Andre ingeniører,0.027177,0.365983,0.336583,3,3
Allmenne fag,Påbygging/fagskole,5593,8,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.026104,0.597785,0.766679,5,5
Allmenne fag,Påbygging/fagskole,5593,9,1120,Administrerende direktører,0.023243,0.511564,0.585440,4,5
Allmenne fag,Påbygging/fagskole,5593,10,9112,Renholdere i virksomheter,0.022528,0.028490,0.012042,1,1
Allmenne fag,Ungdomsskole,293092,1,5223,Butikkmedarbeidere,0.105649,0.351263,0.329793,3,3
Allmenne fag,Ungdomsskole,293092,2,5311,Barnehage- og skolefritidsassistenter mv.,0.050455,0.145058,0.255320,2,3
Allmenne fag,Ungdomsskole,293092,3,5329,Andre pleiemedarbeidere,0.050080,0.268401,0.152646,3,2
Allmenne fag,Ungdomsskole,293092,4,9112,Renholdere i virksomheter,0.044430,0.028490,0.012042,1,1
Allmenne fag,Ungdomsskole,293092,5,4321,Lagermedarbeidere og material-forvaltere,0.034788,0.406720,0.258181,3,3
Allmenne fag,Ungdomsskole,293092,6,8332,Lastebil- og trailersjåfører,0.028138,0.285996,0.275043,3,3
Allmenne fag,Ungdomsskole,293092,7,4110,Kontormedarbeidere,0.025415,0.610279,0.665079,5,5
Allmenne fag,Ungdomsskole,293092,8,1420,Varehandelssjefer,0.024351,0.493097,0.620845,4,5
Allmenne fag,Ungdomsskole,293092,9,3322,Selgere (engros),0.022774,0.552398,0.587087,5,5
Allmenne fag,Ungdomsskole,293092,10,8160,Operatører innen næringsmiddelproduksjon,0.019844,0.095607,0.075530,1,1
Allmenne fag,Videregående avsluttende,156937,1,5223,Butikkmedarbeidere,0.134742,0.351263,0.329793,3,3
Allmenne fag,Videregående avsluttende,156937,2,5329,Andre pleiemedarbeidere,0.070430,0.268401,0.152646,3,2
Allmenne fag,Videregående avsluttende,156937,3,5311,Barnehage- og skolefritidsassistenter mv.,0.046796,0.145058,0.255320,2,3
Allmenne fag,Videregående avsluttende,156937,4,4110,Kontormedarbeidere,0.037913,0.610279,0.665079,5,5
Allmenne fag,Videregående avsluttende,156937,5,1420,Varehandelssjefer,0.029591,0.493097,0.620845,4,5
Allmenne fag,Videregående avsluttende,156937,6,3322,Selgere (engros),0.029381,0.552398,0.587087,5,5
Allmenne fag,Videregående avsluttende,156937,7,0310,Menige,0.027368,,0.204068,,3
Allmenne fag,Videregående avsluttende,156937,8,5321,Helsefagarbeidere,0.023895,0.104302,0.093175,1,2
Allmenne fag,Videregående avsluttende,156937,9,4321,Lagermedarbeidere og material-forvaltere,0.023704,0.406720,0.258181,3,3
Allmenne fag,Videregående avsluttende,156937,10,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.020505,0.597785,0.766679,5,5
Allmenne fag,Videregående grunnutdanning,2262,1,9112,Renholdere i virksomheter,0.110522,0.028490,0.012042,1,1
Allmenne fag,Videregående grunnutdanning,2262,2,5321,Helsefagarbeidere,0.085323,0.104302,0.093175,1,2
Allmenne fag,Videregående grunnutdanning,2262,3,5223,Butikkmedarbeidere,0.077807,0.351263,0.329793,3,3
Allmenne fag,Videregående grunnutdanning,2262,4,5311,Barnehage- og skolefritidsassistenter mv.,0.068966,0.145058,0.255320,2,3
Allmenne fag,Videregående grunnutdanning,2262,5,5329,Andre pleiemedarbeidere,0.064545,0.268401,0.152646,3,2
Allmenne fag,Videregående grunnutdanning,2262,6,4110,Kontormedarbeidere,0.038462,0.610279,0.665079,5,5
Allmenne fag,Videregående grunnutdanning,2262,7,9412,Kjøkkenassistenter,0.030504,0.012662,0.018680,1,1
Allmenne fag,Videregående grunnutdanning,2262,8,8331,Bussjåfører og trikkeførere,0.029620,0.419580,0.167920,4,2
Allmenne fag,Videregående grunnutdanning,2262,9,4321,Lagermedarbeidere og material-forvaltere,0.026525,0.406720,0.258181,3,3
Allmenne fag,Videregående grunnutdanning,2262,10,8322,"Bil-, drosje- og varebilførere",0.025641,0.269958,0.169673,3,2
"Helse-, sosial- og idrettsfag",Bachelor-nivå,196307,1,2223,Sykepleiere,0.282522,0.389938,0.284363,3,3
"Helse-, sosial- og idrettsfag",Bachelor-nivå,196307,2,2221,Spesialsykepleiere,0.122237,0.373494,0.284363,3,3
"Helse-, sosial- og idrettsfag",Bachelor-nivå,196307,3,2224,Vernepleiere,0.080170,0.363937,0.284363,3,3
"Helse-, sosial- og idrettsfag",Bachelor-nivå,196307,4,2635,Rådgivere innen sosiale fagfelt,0.048363,0.278593,0.297383,3,3
"Helse-, sosial- og idrettsfag",Bachelor-nivå,196307,5,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.041501,0.597785,0.766679,5,5
"Helse-, sosial- og idrettsfag",Bachelor-nivå,196307,6,3412,Miljøarbeidere innen sosiale fagfelt,0.040248,0.402930,0.304279,3,3
"Helse-, sosial- og idrettsfag",Bachelor-nivå,196307,7,5321,Helsefagarbeidere,0.031191,0.104302,0.093175,1,2
"Helse-, sosial- og idrettsfag",Bachelor-nivå,196307,8,1342,Ledere av helsetjenester,0.031150,0.439560,0.492115,4,4
"Helse-, sosial- og idrettsfag",Bachelor-nivå,196307,9,5329,Andre pleiemedarbeidere,0.029627,0.268401,0.152646,3,2
"Helse-, sosial- og idrettsfag",Bachelor-nivå,196307,10,2264,Fysioterapeuter,0.023973,0.231533,0.254899,2,3
"Helse-, sosial- og idrettsfag",Master-nivå,53447,1,2212,Legespesialister,0.244055,0.427128,0.216526,4,3
"Helse-, sosial- og idrettsfag",Master-nivå,53447,2,2211,Allmennpraktiserende leger,0.120306,0.468864,0.216236,4,3
"Helse-, sosial- og idrettsfag",Master-nivå,53447,3,2221,Spesialsykepleiere,0.068498,0.373494,0.284363,3,3
"Helse-, sosial- og idrettsfag",Master-nivå,53447,4,2261,Tannleger,0.050704,0.162937,0.147422,2,2
"Helse-, sosial- og idrettsfag",Master-nivå,53447,5,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.047917,0.597785,0.766679,5,5
"Helse-, sosial- og idrettsfag",Master-nivå,53447,6,2310,Universitets- og høyskolelektorer/-lærere,0.045709,0.496858,0.510385,4,4
"Helse-, sosial- og idrettsfag",Master-nivå,53447,7,2222,Jordmødre,0.032238,0.400250,0.299718,3,3
"Helse-, sosial- og idrettsfag",Master-nivå,53447,8,1342,Ledere av helsetjenester,0.028851,0.439560,0.492115,4,4
"Helse-, sosial- og idrettsfag",Master-nivå,53447,9,2262,Farmasøyter,0.028477,0.439560,0.440342,4,4
"Helse-, sosial- og idrettsfag",Master-nivå,53447,10,2250,Veterinærer,0.027541,0.277200,0.142097,3,2
"Helse-, sosial- og idrettsfag",Ph.d.,8374,1,2212,Legespesialister,0.352281,0.427128,0.216526,4,3
"Helse-, sosial- og idrettsfag",Ph.d.,8374,2,2310,Universitets- og høyskolelektorer/-lærere,0.222235,0.496858,0.510385,4,4
"Helse-, sosial- og idrettsfag",Ph.d.,8374,3,1342,Ledere av helsetjenester,0.059231,0.439560,0.492115,4,4
"Helse-, sosial- og idrettsfag",Ph.d.,8374,4,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.052663,0.597785,0.766679,5,5
"Helse-, sosial- og idrettsfag",Ph.d.,8374,5,2211,Allmennpraktiserende leger,0.048961,0.468864,0.216236,4,3
"Helse-, sosial- og idrettsfag",Ph.d.,8374,6,2149,Andre sivilingeniører (unntatt elektroteknologi),0.046573,0.537847,0.570997,5,4
"Helse-, sosial- og idrettsfag",Ph.d.,8374,7,1223,Forsknings- og utviklingsledere,0.014449,0.508167,0.546620,4,4
"Helse-, sosial- og idrettsfag",Ph.d.,8374,8,2131,"Biologer, botanikere, zoologer mv.",0.012897,0.498391,0.485567,4,4
"Helse-, sosial- og idrettsfag",Ph.d.,8374,9,2261,Tannleger,0.012778,0.162937,0.147422,2,2
"Helse-, sosial- og idrettsfag",Ph.d.,8374,10,3212,Bioingeniører,0.012061,0.289759,0.196113,3,3
"Helse-, sosial- og idrettsfag",Påbygging/fagskole,12061,1,5321,Helsefagarbeidere,0.653677,0.104302,0.093175,1,2
"Helse-, sosial- og idrettsfag",Påbygging/fagskole,12061,2,5311,Barnehage- og skolefritidsassistenter mv.,0.180499,0.145058,0.255320,2,3
"Helse-, sosial- og idrettsfag",Påbygging/fagskole,12061,3,5329,Andre pleiemedarbeidere,0.033828,0.268401,0.152646,3,2
"Helse-, sosial- og idrettsfag",Påbygging/fagskole,12061,4,3256,Helsesekretærer,0.019567,0.352780,0.153314,3,2
"Helse-, sosial- og idrettsfag",Påbygging/fagskole,12061,5,4110,Kontormedarbeidere,0.014841,0.610279,0.665079,5,5
"Helse-, sosial- og idrettsfag",Påbygging/fagskole,12061,6,3258,Ambulansepersonell,0.010198,0.213675,0.053486,2,1
"Helse-, sosial- og idrettsfag",Påbygging/fagskole,12061,7,5312,Skoleassistenter,0.010032,0.376068,0.071085,3,1
"Helse-, sosial- og idrettsfag",Påbygging/fagskole,12061,8,9112,Renholdere i virksomheter,0.008208,0.028490,0.012042,1,1
"Helse-, sosial- og idrettsfag",Påbygging/fagskole,12061,9,3412,Miljøarbeidere innen sosiale fagfelt,0.007960,0.402930,0.304279,3,3
"Helse-, sosial- og idrettsfag",Påbygging/fagskole,12061,10,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.006799,0.597785,0.766679,5,5
"Helse-, sosial- og idrettsfag",Ungdomsskole,3,1,5311,Barnehage- og skolefritidsassistenter mv.,1.000000,0.145058,0.255320,2,3
"Helse-, sosial- og idrettsfag",Videregående avsluttende,133057,1,5321,Helsefagarbeidere,0.355840,0.104302,0.093175,1,2
"Helse-, sosial- og idrettsfag",Videregående avsluttende,133057,2,5311,Barnehage- og skolefritidsassistenter mv.,0.205904,0.145058,0.255320,2,3
"Helse-, sosial- og idrettsfag",Videregående avsluttende,133057,3,9112,Renholdere i virksomheter,0.055923,0.028490,0.012042,1,1
"Helse-, sosial- og idrettsfag",Videregående avsluttende,133057,4,5223,Butikkmedarbeidere,0.053857,0.351263,0.329793,3,3
"Helse-, sosial- og idrettsfag",Videregående avsluttende,133057,5,5329,Andre pleiemedarbeidere,0.052331,0.268401,0.152646,3,2
"Helse-, sosial- og idrettsfag",Videregående avsluttende,133057,6,3256,Helsesekretærer,0.041899,0.352780,0.153314,3,2
"Helse-, sosial- og idrettsfag",Videregående avsluttende,133057,7,3258,Ambulansepersonell,0.021104,0.213675,0.053486,2,1
"Helse-, sosial- og idrettsfag",Videregående avsluttende,133057,8,4110,Kontormedarbeidere,0.018180,0.610279,0.665079,5,5
"Helse-, sosial- og idrettsfag",Videregående avsluttende,133057,9,0310,Menige,0.011288,,0.204068,,3
"Helse-, sosial- og idrettsfag",Videregående avsluttende,133057,10,5312,Skoleassistenter,0.010920,0.376068,0.071085,3,1
"Helse-, sosial- og idrettsfag",Videregående grunnutdanning,11650,1,5321,Helsefagarbeidere,0.451845,0.104302,0.093175,1,2
"Helse-, sosial- og idrettsfag",Videregående grunnutdanning,11650,2,5311,Barnehage- og skolefritidsassistenter mv.,0.145236,0.145058,0.255320,2,3
"Helse-, sosial- og idrettsfag",Videregående grunnutdanning,11650,3,5223,Butikkmedarbeidere,0.052189,0.351263,0.329793,3,3
"Helse-, sosial- og idrettsfag",Videregående grunnutdanning,11650,4,5329,Andre pleiemedarbeidere,0.048412,0.268401,0.152646,3,2
"Helse-, sosial- og idrettsfag",Videregående grunnutdanning,11650,5,4110,Kontormedarbeidere,0.042918,0.610279,0.665079,5,5
"Helse-, sosial- og idrettsfag",Videregående grunnutdanning,11650,6,9112,Renholdere i virksomheter,0.026781,0.028490,0.012042,1,1
"Helse-, sosial- og idrettsfag",Videregående grunnutdanning,11650,7,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.018970,0.597785,0.766679,5,5
"Helse-, sosial- og idrettsfag",Videregående grunnutdanning,11650,8,1420,Varehandelssjefer,0.016223,0.493097,0.620845,4,5
"Helse-, sosial- og idrettsfag",Videregående grunnutdanning,11650,9,5322,Hjemmehjelper,0.015021,0.078895,0.239953,1,3
"Helse-, sosial- og idrettsfag",Videregående grunnutdanning,11650,10,5312,Skoleassistenter,0.014163,0.376068,0.071085,3,1
Humanistiske og estetiske fag,Bachelor-nivå,43658,1,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.084085,0.597785,0.766679,5,5
Humanistiske og estetiske fag,Bachelor-nivå,43658,2,5223,Butikkmedarbeidere,0.078153,0.351263,0.329793,3,3
Humanistiske og estetiske fag,Bachelor-nivå,43658,3,4110,Kontormedarbeidere,0.044116,0.610279,0.665079,5,5
Humanistiske og estetiske fag,Bachelor-nivå,43658,4,5311,Barnehage- og skolefritidsassistenter mv.,0.043406,0.145058,0.255320,2,3
Humanistiske og estetiske fag,Bachelor-nivå,43658,5,2341,Grunnskolelærere,0.038756,0.337763,0.288960,3,3
Humanistiske og estetiske fag,Bachelor-nivå,43658,6,2622,Bibliotekarer og andre informasjonsarbeidere,0.028196,0.548808,0.546538,5,4
Humanistiske og estetiske fag,Bachelor-nivå,43658,7,2166,Grafiske- og multimediadesignere,0.024646,0.525641,0.662771,5,5
Humanistiske og estetiske fag,Bachelor-nivå,43658,8,5329,Andre pleiemedarbeidere,0.023730,0.268401,0.152646,3,2
Humanistiske og estetiske fag,Bachelor-nivå,43658,9,5321,Helsefagarbeidere,0.020752,0.104302,0.093175,1,2
Humanistiske og estetiske fag,Bachelor-nivå,43658,10,3322,Selgere (engros),0.019996,0.552398,0.587087,5,5
Humanistiske og estetiske fag,Master-nivå,26205,1,2341,Grunnskolelærere,0.146651,0.337763,0.288960,3,3
Humanistiske og estetiske fag,Master-nivå,26205,2,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.136806,0.597785,0.766679,5,5
Humanistiske og estetiske fag,Master-nivå,26205,3,2330,Lektorer mv. (videregående skole),0.134211,0.341880,0.306723,3,3
Humanistiske og estetiske fag,Master-nivå,26205,4,2310,Universitets- og høyskolelektorer/-lærere,0.060599,0.496858,0.510385,4,4
Humanistiske og estetiske fag,Master-nivå,26205,5,2636,Geistlige yrker,0.054226,0.396270,0.401952,3,4
Humanistiske og estetiske fag,Master-nivå,26205,6,2354,Andre musikklærere,0.034955,0.369231,0.332511,3,3
Humanistiske og estetiske fag,Master-nivå,26205,7,2652,"Dirigenter, komponister, musikere og sangere",0.026941,0.573687,0.366815,5,4
Humanistiske og estetiske fag,Master-nivå,26205,8,2621,Arkivarer og kuratorer,0.019844,0.512821,0.582820,4,5
Humanistiske og estetiske fag,Master-nivå,26205,9,1345,Ledere av utdanning og undervisning,0.019157,0.439593,0.437771,4,4
Humanistiske og estetiske fag,Master-nivå,26205,10,5223,Butikkmedarbeidere,0.018203,0.351263,0.329793,3,3
Humanistiske og estetiske fag,Ph.d.,2409,1,2310,Universitets- og høyskolelektorer/-lærere,0.654213,0.496858,0.510385,4,4
Humanistiske og estetiske fag,Ph.d.,2409,2,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.078456,0.597785,0.766679,5,5
Humanistiske og estetiske fag,Ph.d.,2409,3,2652,"Dirigenter, komponister, musikere og sangere",0.021171,0.573687,0.366815,5,4
Humanistiske og estetiske fag,Ph.d.,2409,4,1223,Forsknings- og utviklingsledere,0.019510,0.508167,0.546620,4,4
Humanistiske og estetiske fag,Ph.d.,2409,5,2621,Arkivarer og kuratorer,0.017435,0.512821,0.582820,4,5
Humanistiske og estetiske fag,Ph.d.,2409,6,2330,Lektorer mv. (videregående skole),0.017020,0.341880,0.306723,3,3
Humanistiske og estetiske fag,Ph.d.,2409,7,2149,Andre sivilingeniører (unntatt elektroteknologi),0.015774,0.537847,0.570997,5,4
Humanistiske og estetiske fag,Ph.d.,2409,8,2341,Grunnskolelærere,0.014529,0.337763,0.288960,3,3
Humanistiske og estetiske fag,Ph.d.,2409,9,2354,Andre musikklærere,0.011208,0.369231,0.332511,3,3
Humanistiske og estetiske fag,Ph.d.,2409,10,2622,Bibliotekarer og andre informasjonsarbeidere,0.009963,0.548808,0.546538,5,4
Humanistiske og estetiske fag,Påbygging/fagskole,2516,1,5223,Butikkmedarbeidere,0.289746,0.351263,0.329793,3,3
Humanistiske og estetiske fag,Påbygging/fagskole,2516,2,5311,Barnehage- og skolefritidsassistenter mv.,0.066773,0.145058,0.255320,2,3
Humanistiske og estetiske fag,Påbygging/fagskole,2516,3,2166,Grafiske- og multimediadesignere,0.055644,0.525641,0.662771,5,5
Humanistiske og estetiske fag,Påbygging/fagskole,2516,4,4110,Kontormedarbeidere,0.049682,0.610279,0.665079,5,5
Humanistiske og estetiske fag,Påbygging/fagskole,2516,5,1420,Varehandelssjefer,0.049682,0.493097,0.620845,4,5
Humanistiske og estetiske fag,Påbygging/fagskole,2516,6,3322,Selgere (engros),0.042925,0.552398,0.587087,5,5
Humanistiske og estetiske fag,Påbygging/fagskole,2516,7,5329,Andre pleiemedarbeidere,0.037758,0.268401,0.152646,3,2
Humanistiske og estetiske fag,Påbygging/fagskole,2516,8,5321,Helsefagarbeidere,0.035771,0.104302,0.093175,1,2
Humanistiske og estetiske fag,Påbygging/fagskole,2516,9,2163,Produkt- og klesdesignere,0.032591,0.439047,0.494176,4,4
Humanistiske og estetiske fag,Påbygging/fagskole,2516,10,3432,Interiørdesignere og dekoratører,0.022655,0.408951,0.453585,3,4
Humanistiske og estetiske fag,Ungdomsskole,22,1,9112,Renholdere i virksomheter,0.500000,0.028490,0.012042,1,1
Humanistiske og estetiske fag,Ungdomsskole,22,2,5311,Barnehage- og skolefritidsassistenter mv.,0.227273,0.145058,0.255320,2,3
Humanistiske og estetiske fag,Ungdomsskole,22,3,4321,Lagermedarbeidere og material-forvaltere,0.136364,0.406720,0.258181,3,3
Humanistiske og estetiske fag,Ungdomsskole,22,4,8331,Bussjåfører og trikkeførere,0.136364,0.419580,0.167920,4,2
Humanistiske og estetiske fag,Videregående avsluttende,16105,1,5223,Butikkmedarbeidere,0.193046,0.351263,0.329793,3,3
Humanistiske og estetiske fag,Videregående avsluttende,16105,2,5311,Barnehage- og skolefritidsassistenter mv.,0.060726,0.145058,0.255320,2,3
Humanistiske og estetiske fag,Videregående avsluttende,16105,3,1420,Varehandelssjefer,0.050047,0.493097,0.620845,4,5
Humanistiske og estetiske fag,Videregående avsluttende,16105,4,5329,Andre pleiemedarbeidere,0.045452,0.268401,0.152646,3,2
Humanistiske og estetiske fag,Videregående avsluttende,16105,5,4110,Kontormedarbeidere,0.042471,0.610279,0.665079,5,5
Humanistiske og estetiske fag,Videregående avsluttende,16105,6,7549,Andre håndverkere,0.028811,0.150641,0.149603,2,2
Humanistiske og estetiske fag,Videregående avsluttende,16105,7,3322,Selgere (engros),0.028066,0.552398,0.587087,5,5
Humanistiske og estetiske fag,Videregående avsluttende,16105,8,2166,Grafiske- og multimediadesignere,0.026079,0.525641,0.662771,5,5
Humanistiske og estetiske fag,Videregående avsluttende,16105,9,9112,Renholdere i virksomheter,0.022105,0.028490,0.012042,1,1
Humanistiske og estetiske fag,Videregående avsluttende,16105,10,5131,Servitører,0.020615,0.160668,0.057293,2,1
Humanistiske og estetiske fag,Videregående grunnutdanning,1565,1,5223,Butikkmedarbeidere,0.187859,0.351263,0.329793,3,3
Humanistiske og estetiske fag,Videregående grunnutdanning,1565,2,5329,Andre pleiemedarbeidere,0.101597,0.268401,0.152646,3,2
Humanistiske og estetiske fag,Videregående grunnutdanning,1565,3,5311,Barnehage- og skolefritidsassistenter mv.,0.101597,0.145058,0.255320,2,3
Humanistiske og estetiske fag,Videregående grunnutdanning,1565,4,4110,Kontormedarbeidere,0.079872,0.610279,0.665079,5,5
Humanistiske og estetiske fag,Videregående grunnutdanning,1565,5,5321,Helsefagarbeidere,0.064537,0.104302,0.093175,1,2
Humanistiske og estetiske fag,Videregående grunnutdanning,1565,6,9112,Renholdere i virksomheter,0.064537,0.028490,0.012042,1,1
Humanistiske og estetiske fag,Videregående grunnutdanning,1565,7,1420,Varehandelssjefer,0.042812,0.493097,0.620845,4,5
Humanistiske og estetiske fag,Videregående grunnutdanning,1565,8,5312,Skoleassistenter,0.027476,0.376068,0.071085,3,1
Humanistiske og estetiske fag,Videregående grunnutdanning,1565,9,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.026837,0.597785,0.766679,5,5
Humanistiske og estetiske fag,Videregående grunnutdanning,1565,10,9412,Kjøkkenassistenter,0.026837,0.012662,0.018680,1,1
Lærerutdanninger og pedagogikk,Bachelor-nivå,146830,1,2341,Grunnskolelærere,0.341837,0.337763,0.288960,3,3
Lærerutdanninger og pedagogikk,Bachelor-nivå,146830,2,2342,Førskolelærere,0.198461,0.235974,0.105222,2,2
Lærerutdanninger og pedagogikk,Bachelor-nivå,146830,3,2330,Lektorer mv. (videregående skole),0.074195,0.341880,0.306723,3,3
Lærerutdanninger og pedagogikk,Bachelor-nivå,146830,4,5311,Barnehage- og skolefritidsassistenter mv.,0.033835,0.145058,0.255320,2,3
Lærerutdanninger og pedagogikk,Bachelor-nivå,146830,5,1345,Ledere av utdanning og undervisning,0.030811,0.439593,0.437771,4,4
Lærerutdanninger og pedagogikk,Bachelor-nivå,146830,6,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.026514,0.597785,0.766679,5,5
Lærerutdanninger og pedagogikk,Bachelor-nivå,146830,7,5223,Butikkmedarbeidere,0.021018,0.351263,0.329793,3,3
Lærerutdanninger og pedagogikk,Bachelor-nivå,146830,8,1341,Ledere av omsorgstjenester for barn,0.019901,0.480769,0.365422,4,4
Lærerutdanninger og pedagogikk,Bachelor-nivå,146830,9,5321,Helsefagarbeidere,0.017135,0.104302,0.093175,1,2
Lærerutdanninger og pedagogikk,Bachelor-nivå,146830,10,2224,Vernepleiere,0.014711,0.363937,0.284363,3,3
Lærerutdanninger og pedagogikk,Master-nivå,29677,1,2341,Grunnskolelærere,0.466860,0.337763,0.288960,3,3
Lærerutdanninger og pedagogikk,Master-nivå,29677,2,2330,Lektorer mv. (videregående skole),0.127809,0.341880,0.306723,3,3
Lærerutdanninger og pedagogikk,Master-nivå,29677,3,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.050814,0.597785,0.766679,5,5
Lærerutdanninger og pedagogikk,Master-nivå,29677,4,2634,Psykologer,0.045288,0.477818,0.474873,4,4
Lærerutdanninger og pedagogikk,Master-nivå,29677,5,2310,Universitets- og høyskolelektorer/-lærere,0.041952,0.496858,0.510385,4,4
Lærerutdanninger og pedagogikk,Master-nivå,29677,6,2342,Førskolelærere,0.036324,0.235974,0.105222,2,2
Lærerutdanninger og pedagogikk,Master-nivå,29677,7,2352,Spesiallærere / spesialpedagoger,0.034741,0.346154,0.196069,3,3
Lærerutdanninger og pedagogikk,Master-nivå,29677,8,1345,Ledere av utdanning og undervisning,0.025643,0.439593,0.437771,4,4
Lærerutdanninger og pedagogikk,Master-nivå,29677,9,5311,Barnehage- og skolefritidsassistenter mv.,0.020622,0.145058,0.255320,2,3
Lærerutdanninger og pedagogikk,Master-nivå,29677,10,1219,Andre administrative ledere,0.008963,0.520145,0.530638,4,4
Lærerutdanninger og pedagogikk,Ph.d.,883,1,2310,Universitets- og høyskolelektorer/-lærere,0.646659,0.496858,0.510385,4,4
Lærerutdanninger og pedagogikk,Ph.d.,883,2,2341,Grunnskolelærere,0.065685,0.337763,0.288960,3,3
