date,yrke4,alder_gr,count
2015-01-16,2223,7,10618
2015-01-16,2223,8,4474
2015-01-16,2223,9,335
2015-01-16,2224,1,10
2015-01-16,2224,2,842
2015-01-16,2224,3,2309
2015-01-16,2224,4,1917
2015-01-16,2224,5,2940
2015-01-16,2224,6,3929
2015-01-16,2224,7,2988
2015-01-16,2224,8,1024
2015-01-16,2224,9,36
2015-01-16,2250,2,10
2015-01-16,2250,3,108
2015-01-16,2250,4,131
2015-01-16,2250,5,218
2015-01-16,2250,6,236
2015-01-16,2250,7,177
2015-01-16,2250,8,86
2015-01-16,2250,9,5
2015-01-16,2261,2,17
2015-01-16,2261,3,339
2015-01-16,2261,4,334
2015-01-16,2261,5,453
2015-01-16,2261,6,560
2015-01-16,2261,7,576
2015-01-16,2261,8,498
2015-01-16,2261,9,52
2015-01-16,2262,2,30
2015-01-16,2262,3,330
2015-01-16,2262,4,281
2015-01-16,2262,5,319
2015-01-16,2262,6,254
2015-01-16,2262,7,171
2015-01-16,2262,8,94
2015-01-16,2262,9,9
2015-01-16,2263,2,5
2015-01-16,2263,4,15
2015-01-16,2263,5,7
2015-01-16,2263,6,12
2015-01-16,2263,7,6
2015-01-16,2263,8,5
2015-01-16,2264,1,14
2015-01-16,2264,2,225
2015-01-16,2264,3,928
2015-01-16,2264,4,751
2015-01-16,2264,5,1190
2015-01-16,2264,6,1091
2015-01-16,2264,7,828
2015-01-16,2264,8,544
2015-01-16,2264,9,23
2015-01-16,2265,2,8
2015-01-16,2265,3,78
2015-01-16,2265,4,103
2015-01-16,2265,5,106
2015-01-16,2265,6,157
2015-01-16,2265,7,97
2015-01-16,2265,8,26
2015-01-16,2266,2,14
2015-01-16,2266,3,78
2015-01-16,2266,4,58
2015-01-16,2266,5,65
2015-01-16,2266,6,114
2015-01-16,2266,7,56
2015-01-16,2266,8,30
2015-01-16,2266,9,6
2015-01-16,2267,2,98
2015-01-16,2267,3,359
2015-01-16,2267,4,310
2015-01-16,2267,5,478
2015-01-16,2267,6,473
2015-01-16,2267,7,460
2015-01-16,2267,8,246
2015-01-16,2267,9,12
2015-01-16,2269,3,6
2015-01-16,2269,4,17
2015-01-16,2269,5,42
2015-01-16,2269,6,65
2015-01-16,2269,7,34
2015-01-16,2269,8,16
2015-01-16,2310,1,169
2015-01-16,2310,2,1172
2015-01-16,2310,3,3206
2015-01-16,2310,4,2844
2015-01-16,2310,5,3961
2015-01-16,2310,6,6086
2015-01-16,2310,7,6350
2015-01-16,2310,8,5230
2015-01-16,2310,9,387
2015-01-16,2320,1,6
2015-01-16,2320,2,29
2015-01-16,2320,3,43
2015-01-16,2320,4,61
2015-01-16,2320,5,99
2015-01-16,2320,6,195
2015-01-16,2320,7,198
2015-01-16,2320,8,130
2015-01-16,2320,9,10
2015-01-16,2330,0,5
2015-01-16,2330,1,26
2015-01-16,2330,2,221
2015-01-16,2330,3,1683
2015-01-16,2330,4,1837
2015-01-16,2330,5,3690
2015-01-16,2330,6,7526
2015-01-16,2330,7,7290
2015-01-16,2330,8,5580
2015-01-16,2330,9,175
2015-01-16,2341,1,709
2015-01-16,2341,2,2575
2015-01-16,2341,3,7871
2015-01-16,2341,4,7362
2015-01-16,2341,5,12427
2015-01-16,2341,6,20882
2015-01-16,2341,7,15484
2015-01-16,2341,8,11153
2015-01-16,2341,9,413
2015-01-16,2342,1,11
2015-01-16,2342,2,1268
2015-01-16,2342,3,5073
2015-01-16,2342,4,4029
2015-01-16,2342,5,6250
2015-01-16,2342,6,7749
2015-01-16,2342,7,4002
2015-01-16,2342,8,1287
2015-01-16,2342,9,17
2015-01-16,2351,1,6
2015-01-16,2351,2,34
2015-01-16,2351,3,135
2015-01-16,2351,4,164
2015-01-16,2351,5,344
2015-01-16,2351,6,783
2015-01-16,2351,7,660
2015-01-16,2351,8,453
2015-01-16,2351,9,5
2015-01-16,2352,2,14
2015-01-16,2352,3,111
2015-01-16,2352,4,173
2015-01-16,2352,5,335
2015-01-16,2352,6,615
2015-01-16,2352,7,601
2015-01-16,2352,8,407
2015-01-16,2352,9,12
2015-01-16,2353,3,9
2015-01-16,2353,5,9
2015-01-16,2353,6,9
2015-01-16,2353,7,5
2015-01-16,2353,8,5
2015-01-16,2354,1,70
2015-01-16,2354,2,142
2015-01-16,2354,3,400
2015-01-16,2354,4,473
2015-01-16,2354,5,772
2015-01-16,2354,6,1168
2015-01-16,2354,7,1048
2015-01-16,2354,8,540
2015-01-16,2354,9,42
2015-01-16,2355,1,54
2015-01-16,2355,2,40
2015-01-16,2355,3,18
2015-01-16,2355,4,9
2015-01-16,2355,5,18
2015-01-16,2355,6,16
2015-01-16,2355,7,7
2015-01-16,2356,4,5
2015-01-16,2356,6,13
2015-01-16,2356,7,7
2015-01-16,2359,1,48
2015-01-16,2359,2,86
2015-01-16,2359,3,236
2015-01-16,2359,4,236
2015-01-16,2359,5,414
2015-01-16,2359,6,707
2015-01-16,2359,7,597
2015-01-16,2359,8,389
2015-01-16,2359,9,41
2015-01-16,2411,1,16
2015-01-16,2411,2,155
2015-01-16,2411,3,1422
2015-01-16,2411,4,1713
2015-01-16,2411,5,2325
2015-01-16,2411,6,3573
2015-01-16,2411,7,3157
2015-01-16,2411,8,1583
2015-01-16,2411,9,60
2015-01-16,2412,2,92
2015-01-16,2412,3,711
2015-01-16,2412,4,858
2015-01-16,2412,5,1399
2015-01-16,2412,6,1740
2015-01-16,2412,7,1888
2015-01-16,2412,8,828
2015-01-16,2412,9,22
2015-01-16,2413,1,11
2015-01-16,2413,2,128
2015-01-16,2413,3,940
2015-01-16,2413,4,1081
2015-01-16,2413,5,1751
2015-01-16,2413,6,2559
2015-01-16,2413,7,2127
2015-01-16,2413,8,1011
2015-01-16,2413,9,47
