SyssGrpIKT_code,SyssGrpIKT_label,NACE2007_code,NACE2007_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
00,Alle sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,15
00,Alle sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,12
00,Alle sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,8
00,Alle sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,10
00,Alle sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,7
00,Alle sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,7
00,Alle sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,8
00,Alle sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,7
00,Alle sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,8
00,Alle sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,9
00,Alle sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,9
00,Alle sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,75
00,Alle sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,74
00,Alle sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,60
00,Alle sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,73
00,Alle sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,63
00,Alle sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,71
00,Alle sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,66
00,Alle sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,74
00,Alle sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,72
00,Alle sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,23
00,Alle sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,25
00,Alle sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,31
00,Alle sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,22
00,Alle sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,24
00,Alle sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,23
00,Alle sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,21
00,Alle sysselsette,68-75+77-82+95.1,"Anna tenesteyting, inklusive veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,22
00,Alle sysselsette,68-75+77-82+95.1,"Anna tenesteyting, inklusive veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,25
02,10-19 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,12
02,10-19 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,12
02,10-19 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,12
02,10-19 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,12
02,10-19 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,11
02,10-19 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,12
02,10-19 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,10
02,10-19 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,14
02,10-19 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,15
02,10-19 sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,13
02,10-19 sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,11
02,10-19 sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,11
02,10-19 sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,16
02,10-19 sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,7
02,10-19 sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,10
02,10-19 sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,10
02,10-19 sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,11
02,10-19 sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,7
02,10-19 sysselsette,41-43,Byggje- og anleggsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,4
02,10-19 sysselsette,41-43,Byggje- og anleggsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,4
02,10-19 sysselsette,41-43,Byggje- og anleggsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,3
02,10-19 sysselsette,41-43,Byggje- og anleggsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,5
02,10-19 sysselsette,41-43,Byggje- og anleggsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,3
02,10-19 sysselsette,41-43,Byggje- og anleggsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,4
02,10-19 sysselsette,41-43,Byggje- og anleggsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,4
02,10-19 sysselsette,41-43,Byggje- og anleggsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,5
02,10-19 sysselsette,41-43,Byggje- og anleggsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,0
02,10-19 sysselsette,45,Handel med og reparasjon av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,5
02,10-19 sysselsette,45,Handel med og reparasjon av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,13
02,10-19 sysselsette,45,Handel med og reparasjon av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,2
02,10-19 sysselsette,45,Handel med og reparasjon av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,4
02,10-19 sysselsette,45,Handel med og reparasjon av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,19
02,10-19 sysselsette,45,Handel med og reparasjon av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,5
02,10-19 sysselsette,45,Handel med og reparasjon av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,3
02,10-19 sysselsette,45,Handel med og reparasjon av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,9
02,10-19 sysselsette,45,Handel med og reparasjon av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,15
02,10-19 sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,18
02,10-19 sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,21
02,10-19 sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,24
02,10-19 sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,22
02,10-19 sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,20
02,10-19 sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,21
02,10-19 sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,14
02,10-19 sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,27
02,10-19 sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,24
02,10-19 sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,8
02,10-19 sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,5
02,10-19 sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,6
02,10-19 sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,7
02,10-19 sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,10
