SyssGrpIKT_code,SyssGrpIKT_label,NACE2007_code,NACE2007_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,IKTtryggleik,IKT-tryggleik,2023,2023,11
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,IKTtryggleik,IKT-tryggleik,2024,2024,6
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,IKTtryggleik,IKT-tryggleik,2025,2025,18
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,HRrekrutt,HR eller rekruttering,2021,2021,5
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2023,2023,9
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2024,2024,23
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2025,2025,29
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2023,2023,12
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2024,2024,12
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2025,2025,10
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,Regnskap,Rekneskapsføring eller økonomistyring,2023,2023,45
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,Regnskap,Rekneskapsføring eller økonomistyring,2024,2024,38
00,Alle sysselsette,41-43,Byggje- og anleggsverksemd,Regnskap,Rekneskapsføring eller økonomistyring,2025,2025,36
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,MforingSal,Marknadsføring eller sal,2021,2021,28
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,MforingSal,Marknadsføring eller sal,2023,2023,7
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,MforingSal,Marknadsføring eller sal,2024,2024,34
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,MforingSal,Marknadsføring eller sal,2025,2025,38
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,ProdProsess,Produksjonsprosessar,2021,2021,41
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,ProdProsess,Produksjonsprosessar,2023,2023,22
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,ProdProsess,Produksjonsprosessar,2024,2024,2
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,ProdProsess,Produksjonsprosessar,2025,2025,14
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,OrgAdmProsess,Organisering av administrasjonsprosessar,2021,2021,11
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,StyringForetak,Styring av føretak,2021,2021,9
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,Logistikk,Logistikk,2021,2021,13
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,Logistikk,Logistikk,2023,2023,3
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,Logistikk,Logistikk,2024,2024,5
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,Logistikk,Logistikk,2025,2025,10
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,IKTtryggleik,IKT-tryggleik,2021,2021,27
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,IKTtryggleik,IKT-tryggleik,2023,2023,7
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,IKTtryggleik,IKT-tryggleik,2024,2024,16
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,IKTtryggleik,IKT-tryggleik,2025,2025,11
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,HRrekrutt,HR eller rekruttering,2021,2021,7
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2023,2023,28
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2024,2024,13
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2025,2025,28
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2023,2023,1
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2024,2024,2
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2025,2025,1
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,Regnskap,Rekneskapsføring eller økonomistyring,2023,2023,48
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,Regnskap,Rekneskapsføring eller økonomistyring,2024,2024,30
00,Alle sysselsette,45,Handel med og reparasjon av motorvogner,Regnskap,Rekneskapsføring eller økonomistyring,2025,2025,20
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,MforingSal,Marknadsføring eller sal,2021,2021,35
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,MforingSal,Marknadsføring eller sal,2023,2023,8
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,MforingSal,Marknadsføring eller sal,2024,2024,14
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,MforingSal,Marknadsføring eller sal,2025,2025,24
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,ProdProsess,Produksjonsprosessar,2021,2021,31
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,ProdProsess,Produksjonsprosessar,2023,2023,16
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,ProdProsess,Produksjonsprosessar,2024,2024,5
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,ProdProsess,Produksjonsprosessar,2025,2025,5
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,OrgAdmProsess,Organisering av administrasjonsprosessar,2021,2021,26
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,StyringForetak,Styring av føretak,2021,2021,19
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,Logistikk,Logistikk,2021,2021,9
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,Logistikk,Logistikk,2023,2023,14
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,Logistikk,Logistikk,2024,2024,6
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,Logistikk,Logistikk,2025,2025,6
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,IKTtryggleik,IKT-tryggleik,2021,2021,27
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,IKTtryggleik,IKT-tryggleik,2023,2023,26
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,IKTtryggleik,IKT-tryggleik,2024,2024,19
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,IKTtryggleik,IKT-tryggleik,2025,2025,26
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,HRrekrutt,HR eller rekruttering,2021,2021,6
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2023,2023,9
