styrk08,rank,neighbour,similarity,n_soc,n_soc_neighbour,shared_elements
1330,4,1346,0.8332,1,2,Management of Financial Resources; Staffing Organizational Units; Management of Personnel Resources
1330,5,1321,0.8331,1,1,Management of Financial Resources; Staffing Organizational Units; Management of Personnel Resources
1341,1,1431,0.909,1,2,Staffing Organizational Units; Management of Personnel Resources; Management of Material Resources
1341,2,1322,0.8941,1,1,Management of Financial Resources; Staffing Organizational Units; Management of Material Resources
1341,3,1439,0.8941,1,1,Management of Financial Resources; Staffing Organizational Units; Management of Material Resources
1341,4,1349,0.8941,1,1,Management of Financial Resources; Staffing Organizational Units; Management of Material Resources
1341,5,1213,0.8941,1,1,Management of Financial Resources; Staffing Organizational Units; Management of Material Resources
1342,1,1343,0.985,1,2,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1342,2,1112,0.9576,1,3,Staffing Organizational Units; Management of Financial Resources; Monitoring and Controlling Resources
1342,3,1114,0.9487,1,2,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1342,4,1120,0.9455,1,2,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1342,5,1349,0.939,1,1,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1343,1,1342,0.985,2,1,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1343,2,1114,0.9826,2,2,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1343,3,1112,0.9775,2,3,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1343,4,1120,0.9772,2,2,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1343,5,1420,0.9712,2,1,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1344,1,1345,0.8671,1,2,Time Management; Management of Personnel Resources; Performing Administrative Activities
1344,2,1342,0.8466,1,1,Time Management; Management of Personnel Resources; Performing Administrative Activities
1344,3,1112,0.8403,1,3,Management of Personnel Resources; Time Management; Coordination
1344,4,1431,0.8374,1,2,Management of Personnel Resources; Time Management; Coordination
1344,5,1439,0.837,1,1,Management of Personnel Resources; Coordination; Performing Administrative Activities
1345,1,1112,0.9518,2,3,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1345,2,1114,0.9505,2,2,Staffing Organizational Units; Management of Financial Resources; Management of Personnel Resources
1345,3,1343,0.948,2,2,Staffing Organizational Units; Management of Financial Resources; Management of Personnel Resources
1345,4,1120,0.9471,2,2,Management of Financial Resources; Staffing Organizational Units; Management of Material Resources
1345,5,1213,0.9385,2,1,Management of Financial Resources; Staffing Organizational Units; Management of Personnel Resources
1346,1,1120,0.9545,2,2,Management of Financial Resources; Management of Material Resources; Staffing Organizational Units
1346,2,1420,0.9409,2,1,Management of Financial Resources; Staffing Organizational Units; Management of Material Resources
1346,3,5221,0.9409,2,1,Management of Financial Resources; Staffing Organizational Units; Management of Material Resources
1346,4,1211,0.9284,2,1,Management of Financial Resources; Mathematics; Analyzing Data or Information
1346,5,1112,0.9265,2,3,Management of Financial Resources; Staffing Organizational Units; Management of Material Resources
1349,1,1439,1.0,1,1,Scheduling Work and Activities; Management of Financial Resources; Staffing Organizational Units
1349,2,1322,1.0,1,1,Scheduling Work and Activities; Management of Financial Resources; Staffing Organizational Units
1349,3,1213,1.0,1,1,Scheduling Work and Activities; Management of Financial Resources; Staffing Organizational Units
1349,4,1114,0.9705,1,2,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1349,5,1219,0.9611,1,5,Management of Personnel Resources; Management of Financial Resources; Scheduling Work and Activities
1411,1,1431,0.8953,1,2,Staffing Organizational Units; Management of Personnel Resources; Management of Material Resources
1411,2,1213,0.8823,1,1,Staffing Organizational Units; Management of Personnel Resources; Management of Material Resources
1411,3,1439,0.8823,1,1,Staffing Organizational Units; Management of Personnel Resources; Management of Material Resources
1411,4,1349,0.8823,1,1,Staffing Organizational Units; Management of Personnel Resources; Management of Material Resources
1411,5,1322,0.8823,1,1,Staffing Organizational Units; Management of Personnel Resources; Management of Material Resources
1412,1,5222,0.6625,1,1,Service Orientation; Management of Material Resources; Management of Financial Resources
1412,2,3434,0.5715,1,2,Management of Financial Resources; Management of Material Resources; Management of Personnel Resources
1412,3,1341,0.5623,1,1,Management of Material Resources; Management of Financial Resources; Management of Personnel Resources
1412,4,1411,0.4841,1,1,Management of Personnel Resources; Management of Material Resources; Service Orientation
1412,5,2433,0.4822,1,2,Management of Financial Resources; Management of Personnel Resources; Management of Material Resources
1420,1,5221,1.0,1,1,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1420,2,1114,0.9807,1,2,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1420,3,1120,0.9725,1,2,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1420,4,1343,0.9712,1,2,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1420,5,1112,0.9567,1,3,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1431,1,1322,0.9526,2,1,Staffing Organizational Units; Management of Personnel Resources; Coordination
1431,2,1349,0.9526,2,1,Staffing Organizational Units; Management of Personnel Resources; Coordination
1431,3,1213,0.9526,2,1,Staffing Organizational Units; Management of Personnel Resources; Coordination
1431,4,1439,0.9526,2,1,Staffing Organizational Units; Management of Personnel Resources; Coordination
1431,5,1114,0.9445,2,2,Staffing Organizational Units; Management of Personnel Resources; Management of Material Resources
1439,1,1349,1.0,1,1,Scheduling Work and Activities; Management of Financial Resources; Staffing Organizational Units
