inst,inst_short,field,level,graduates,programmes,share_of_institution,exposure_w,exposure2_w,share_top5_v1,share_top5_v2,share_q1_v1,share_q2_v1,share_q3_v1,share_q4_v1,share_q5_v1,share_q1_v2,share_q2_v2,share_q3_v2,share_q4_v2,share_q5_v2,top_occupations,top_codes
1174,NU,"Helse-, sosial- og idrettsfag",Master-nivå,88.000000,5,0.043564,0.396563,0.376333,0.134984,0.148364,0.030480,0.060608,0.584945,0.188983,0.134984,0.011657,0.047737,0.619371,0.172872,0.148364,Spesialsykepleiere (24%); Høyere saksbehandlere i offentlig og privat virksomhet (9%); Grunnskolelærere (9%); Universitets- og høyskolelektorer/-lærere (9%); Lektorer mv. (videregående skole) (7%),2221;2422;2341;2310;2330
1174,NU,Humanistiske og estetiske fag,Bachelor-nivå,25.000000,2,0.012376,0.284216,0.252103,0.103107,0.111957,0.057563,0.523304,0.218099,0.097927,0.103107,0.115677,0.407427,0.281664,0.083274,0.111957,Skuespillere (33%); Butikkmedarbeidere (9%); Barnehage- og skolefritidsassistenter mv. (9%); Bartendere (5%); Servitører (4%),2655;5223;5311;5132;5131
1174,NU,Humanistiske og estetiske fag,Master-nivå,10.000000,1,0.004950,0.420366,0.407326,0.218684,0.172043,0.010616,0.033970,0.556263,0.180467,0.218684,0.019355,0.015054,0.569892,0.223656,0.172043,Grunnskolelærere (30%); Andre musikklærere (13%); Lektorer mv. (videregående skole) (8%); Høyere saksbehandlere i offentlig og privat virksomhet (7%); Universitets- og høyskolelektorer/-lærere (7%),2341;2354;2330;2422;2310
1174,NU,Lærerutdanninger og pedagogikk,Bachelor-nivå,272.000000,8,0.134653,0.336540,0.287888,0.051329,0.064531,0.019523,0.262225,0.605107,0.061816,0.051329,0.010339,0.262338,0.617135,0.045657,0.064531,Kjøreskolelærere (27%); Førskolelærere (23%); Lektorer mv. (videregående skole) (15%); Grunnskolelærere (9%); Høyere saksbehandlere i offentlig og privat virksomhet (2%),5165;2342;2330;2341;2422
1174,NU,Lærerutdanninger og pedagogikk,Master-nivå,211.000000,8,0.104455,0.354016,0.310158,0.028654,0.031339,0.008695,0.028813,0.837695,0.096143,0.028654,0.003933,0.032466,0.840447,0.091815,0.031339,Grunnskolelærere (69%); Lektorer mv. (videregående skole) (7%); Psykologer (4%); Spesiallærere / spesialpedagoger (4%); Førskolelærere (2%),2341;2330;2634;2352;2342
1174,NU,"Naturvitenskap, håndverk og teknikk",Bachelor-nivå,85.000000,4,0.042079,0.408941,0.414529,0.294084,0.308500,0.066481,0.138876,0.358120,0.142439,0.294084,0.108151,0.143644,0.322518,0.117188,0.308500,Butikkmedarbeidere (14%); Systemanalytikere/-arkitekter (6%); Høyere saksbehandlere i offentlig og privat virksomhet (5%); Andre pleiemedarbeidere (5%); Andre programvare- og applikasjonsutviklere (4%),5223;2511;2422;5329;2519
1174,NU,"Naturvitenskap, håndverk og teknikk",Master-nivå,33.000000,2,0.016337,0.451519,0.478564,0.289908,0.291743,0.005505,0.051376,0.304587,0.348624,0.289908,0.005505,0.051376,0.293578,0.357798,0.291743,"Høyere saksbehandlere i offentlig og privat virksomhet (18%); Biologer, botanikere, zoologer mv. (12%); Andre ingeniører (7%); Bioingeniører (7%); Lektorer mv. (videregående skole) (7%)",2422;2131;3119;3212;2330
1174,NU,Ph.d.,Ph.d.,37.000000,4,0.018317,0.490066,0.498640,0.228317,0.168433,0.012807,0.013090,0.066585,0.679200,0.228317,0.010145,0.016379,0.163927,0.641116,0.168433,"Universitets- og høyskolelektorer/-lærere (35%); Legespesialister (9%); Andre sivilingeniører (unntatt elektroteknologi) (8%); Høyere saksbehandlere i offentlig og privat virksomhet (5%); Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.) (3%)",2310;2212;2149;2422;2146
1174,NU,Primærnæringsfag,Bachelor-nivå,75.000000,3,0.037129,0.346811,0.335232,0.160269,0.218957,0.040802,0.405930,0.214532,0.178468,0.160269,0.035134,0.450319,0.180042,0.115548,0.218957,Havbruksarbeidere (34%); Høyere saksbehandlere i offentlig og privat virksomhet (9%); Andre ingeniører (5%); Butikkmedarbeidere (4%); Maskiningeniører (3%),6221;2422;3119;5223;3115
1174,NU,"Samferdsel, sikkerhet og service",Master-nivå,53.000000,1,0.026238,0.491487,0.542377,0.317003,0.322767,0.000000,0.000000,0.331412,0.351585,0.317003,0.000000,0.034582,0.135447,0.507205,0.322767,Høyere saksbehandlere i offentlig og privat virksomhet (17%); Politibetjenter mv. (14%); Offiserer fra fenrik og høyere grad (11%); Helse- og miljøkontrollører (6%); Andre administrative ledere (5%),2422;3355;0110;3257;1219
1174,NU,Samfunnsfag og juridiske fag,Bachelor-nivå,88.000000,7,0.043564,0.483881,0.536212,0.495792,0.543434,0.045583,0.064706,0.234435,0.159484,0.495792,0.050474,0.065355,0.245158,0.095579,0.543434,Høyere saksbehandlere i offentlig og privat virksomhet (13%); Journalister (12%); Butikkmedarbeidere (8%); Kontormedarbeidere (4%); Befal med sersjant grad (3%),2422;2642;5223;4110;0210
1174,NU,Samfunnsfag og juridiske fag,Master-nivå,25.000000,4,0.012376,0.553400,0.652237,0.612145,0.670924,0.007417,0.005312,0.114035,0.261091,0.612145,0.002188,0.010742,0.112835,0.203311,0.670924,Høyere saksbehandlere i offentlig og privat virksomhet (27%); Journalister (18%); Universitets- og høyskolelektorer/-lærere (6%); Informasjonsrådgivere (5%); Lektorer mv. (videregående skole) (4%),2422;2642;2310;2432;2330
1174,NU,Uoppgitt fagfelt,Bachelor-nivå,8.000000,1,0.003960,0.463818,0.502089,0.372619,0.453349,0.053571,0.039286,0.283333,0.251190,0.372619,0.043062,0.081340,0.239234,0.183014,0.453349,Høyere saksbehandlere i offentlig og privat virksomhet (14%); Grunnskolelærere (4%); Kontormedarbeidere (4%); Butikkmedarbeidere (3%); Systemanalytikere/-arkitekter (3%),2422;2341;4110;5223;2511
1174,NU,Økonomiske og administrative fag,Bachelor-nivå,176.000000,7,0.087129,0.535678,0.595761,0.477310,0.667377,0.023174,0.024540,0.112996,0.361980,0.477310,0.019158,0.036224,0.098871,0.178370,0.667377,Personal- og karriererådgivere (11%); Eiendomsmeglere og - forvaltere (7%); Høyere saksbehandlere i offentlig og privat virksomhet (6%); Kontormedarbeidere (6%); Regnskapsførere (5%),2423;3334;2422;4110;3313
1174,NU,Økonomiske og administrative fag,Master-nivå,291.000000,9,0.144059,0.530455,0.614258,0.384760,0.618920,0.003324,0.004373,0.077830,0.529713,0.384760,0.002491,0.005750,0.077804,0.295036,0.618920,"Høyere saksbehandlere i offentlig og privat virksomhet (10%); Revisorer, regnskapsrådgivere (5%); Administrerende direktører (5%); Andre administrative ledere (5%); Personal- og karriererådgivere (4%)",2422;2411;1120;1219;2423
1173,NMBU,"Helse-, sosial- og idrettsfag",Bachelor-nivå,23.000000,1,0.011801,0.218713,0.157789,0.029412,0.000000,0.000000,0.833333,0.137255,0.000000,0.029412,0.000000,0.970588,0.000000,0.029412,0.000000,Dyrepleiere (79%); Veterinærer (14%); Dyrepassere og - trenere mv. (4%); Takstmenn (3%),3240;2250;5164;3315
1173,NMBU,"Helse-, sosial- og idrettsfag",Master-nivå,103.000000,3,0.052848,0.369579,0.316801,0.122964,0.160314,0.006975,0.048361,0.653798,0.167901,0.122964,0.002499,0.445077,0.264217,0.127893,0.160314,Veterinærer (41%); Helse- og miljøkontrollører (9%); Høyere saksbehandlere i offentlig og privat virksomhet (9%); Universitets- og høyskolelektorer/-lærere (6%); Spesialsykepleiere (4%),2250;3257;2422;2310;2221
1173,NMBU,Lærerutdanninger og pedagogikk,Bachelor-nivå,36.000000,2,0.018471,0.373153,0.350706,0.100796,0.117566,0.018336,0.037825,0.727263,0.115780,0.100796,0.013813,0.041860,0.727330,0.099431,0.117566,Grunnskolelærere (37%); Lektorer mv. (videregående skole) (23%); Høyere saksbehandlere i offentlig og privat virksomhet (4%); Ledere av utdanning og undervisning (4%); Andre musikklærere (2%),2341;2330;2422;1345;2354
