inst,inst_short,inst_name,inst_type,year,graduates_exact,phd,students_autumn_exact,graduates_rows,programmes,exposure_w,exposure2_w,share_top5_v1,share_top5_v2,share_employed,share_i_utdanning,handa_augmentation_w,handa_automation_w,exposure_w_recent,share_q1_v1,share_q1_v2,share_q2_v1,share_q2_v2,share_q3_v1,share_q3_v2,share_q4_v1,share_q4_v2,share_q5_v1,share_q5_v2,coverage_profile,share_bachelor,share_master,share_phd
0256,HiØ,Høgskolen i Østfold,Statlige høyskoler,2025,1256,0,7408,1248.000000,49,0.427376,0.415957,0.256185,0.278933,0.889799,0.021638,0.669902,0.298169,0.430955,0.021991,0.013326,0.092554,0.098034,0.502203,0.505938,0.127068,0.103769,0.256185,0.278933,1.000000,0.778045,0.221955,0.000000
8208,VID,VID vitenskapelige høgskole,Private vitenskapelige høyskoler,2025,1068,16.000000,5807,1077.000000,30,0.391018,0.349101,0.092381,0.110351,0.903216,0.009900,0.713284,0.254776,0.382655,0.027737,0.012720,0.028537,0.040379,0.735268,0.709135,0.116078,0.127415,0.092381,0.110351,1.000000,0.686165,0.298979,0.014856
0236,HVO,Høgskulen i Volda,Statlige høyskoler,2025,564,2.000000,4378,559.000000,34,0.409003,0.419231,0.272605,0.306879,0.847001,0.030248,0.633903,0.328351,0.398748,0.038299,0.023976,0.132694,0.131101,0.432623,0.446631,0.123781,0.091414,0.272605,0.306879,1.000000,0.822898,0.173524,0.003578
1301,PHS,Politihøgskolen,Statlige høyskoler,2025,501,0,3557,501.000000,3,0.396282,0.433512,0.035802,0.038442,0.980004,0.004418,0.363757,0.177758,0.395059,0.004561,0.002273,0.004321,0.014368,0.928583,0.028352,0.026733,0.916566,0.035802,0.038442,1.000000,0.970060,0.029940,0.000000
0232,HiM,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",Statlige vitenskapelige høyskoler,2025,475,8.000000,3801,481.000000,26,0.476015,0.489193,0.326269,0.416086,0.877575,0.039405,0.666786,0.295104,0.490242,0.020743,0.017789,0.021265,0.029933,0.411885,0.402822,0.219838,0.133370,0.326269,0.416086,1.000000,0.752599,0.230769,0.016632
1260,NIH,Norges idrettshøgskole,Statlige vitenskapelige høyskoler,2025,471,9.000000,2031,478.000000,20,0.373413,0.361853,0.151118,0.193892,0.822902,0.053397,0.616988,0.315926,0.338943,0.056594,0.040370,0.091955,0.108145,0.534411,0.530903,0.165922,0.126690,0.151118,0.193892,1.000000,0.713389,0.267782,0.018828
1407,ONH,Oslo Nye Høyskole,Private høyskoler,2025,460,0,4174,459.000000,17,0.414210,0.436804,0.302293,0.374082,0.788111,0.103927,0.629105,0.295669,0.422495,0.091956,0.041787,0.083985,0.144510,0.350969,0.335288,0.170797,0.104334,0.302293,0.374082,1.000000,0.932462,0.067538,0.000000
8223,NLA,NLA Høgskolen,Private høyskoler,2025,424,0,3331,419.000000,29,0.420660,0.421011,0.281988,0.307884,0.863520,0.042382,0.610817,0.358094,0.421634,0.036899,0.028665,0.102487,0.106274,0.451809,0.445841,0.126817,0.111335,0.281988,0.307884,1.000000,0.642005,0.357995,0.000000
1303,FHS,Forsvarets høgskole,Statlige høyskoler,2025,326,0,1164,323.000000,4,0.502339,0.569108,0.342494,0.475571,0.963029,0.005166,0.612915,0.277505,0.579642,0.006182,0.005582,0.004379,0.044994,0.154552,0.102294,0.492393,0.371559,0.342494,0.475571,1.000000,0.715170,0.284830,0.000000
8202,LDH,Lovisenberg diakonale høgskole,Private høyskoler,2025,293,0,1386,293.000000,6,0.395707,0.317807,0.044538,0.051618,0.931826,0.010164,0.722203,0.261581,0.392188,0.006494,0.011230,0.016829,0.012839,0.855467,0.853697,0.076672,0.070615,0.044538,0.051618,1.000000,0.740614,0.259386,0.000000
