styrk08,mouchel_grounded,mouchel_calibrated,pctl_rank,quintile,quintile_calibrated,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
5230,0.18314,0.12038,42.93,3,3,2,0,0,
5241,0.341337,0.194869,63.64,4,3,1,0,0,
5242,0.152163,0.116491,36.36,2,3,1,0,0,
5243,0.120465,0.071092,30.05,2,2,1,1,4,
5244,0.843248,0.818654,99.75,5,5,1,0,0,
5245,0.177473,0.122002,41.92,3,3,2,1,17,
5246,0.032395,0.015519,9.34,1,1,3,1,2,
5249,0.21043,0.128468,47.73,3,3,1,0,0,
5311,0.226522,0.156647,48.99,3,3,2,1,10,
5312,0.063067,0.052612,15.66,1,2,1,0,0,
5321,0.082666,0.049862,20.71,2,2,2,0,0,
5322,0.212888,0.140179,47.98,3,3,3,1,10,
5329,0.135429,0.102772,33.08,2,2,8,1,2,
5411,0.101866,0.06577,27.78,2,2,2,1,3,
5413,0.131218,0.078801,32.58,2,2,2,0,0,
5414,0.13649,0.085899,33.84,2,2,4,1,2,
5419,0.137591,0.09756,34.34,2,2,8,1,2,
6111,0.085869,0.050307,21.46,2,2,2,1,13,
6112,0.085869,0.050307,21.72,2,2,2,1,13,
6113,0.100026,0.066651,27.02,2,2,3,1,6,
6114,0.085869,0.050307,21.97,2,2,2,1,13,
6121,0.152226,0.108224,36.62,2,2,2,1,13,
6122,0.152226,0.108224,36.87,2,2,2,1,13,
6123,0.152226,0.108224,37.12,2,2,2,1,13,
6129,0.152226,0.108224,37.37,2,2,2,1,13,
6130,0.105252,0.07428,28.54,2,2,3,1,13,
6210,0.046204,0.029568,12.37,1,1,5,1,13,
6221,0.152226,0.108224,37.63,2,2,2,1,13,
6222,0.092769,0.054137,23.99,2,2,2,1,13,
6224,0.092769,0.054137,24.24,2,2,2,1,13,
7112,0.013944,0.007824,3.54,1,1,2,1,2,
7113,0.0,0.0,0.0,1,1,2,1,2,
7114,0.006328,0.00355,2.53,1,1,3,1,2,
7115,0.108917,0.052012,28.79,2,2,1,0,0,
7119,0.089437,0.040832,22.73,2,1,5,1,2,
7121,0.020364,0.011454,5.05,1,1,1,0,0,
7122,0.014866,0.011563,4.04,1,1,4,0,0,
7123,0.030037,0.012707,8.84,1,1,3,0,0,
7124,0.128388,0.077815,31.57,2,2,2,0,0,
7125,0.076691,0.056455,19.19,1,2,1,0,0,
7126,0.03366,0.019121,10.1,1,1,2,0,0,
7127,0.190791,0.12951,44.95,3,3,2,1,11,
7131,0.044654,0.021326,11.87,1,1,2,0,0,
7132,0.033024,0.019241,9.6,1,1,2,1,2,
7211,0.020868,0.012035,5.56,1,1,2,1,2,
7212,0.061788,0.036769,15.15,1,1,2,0,0,
7213,0.055563,0.034654,14.14,1,1,3,1,2,
7214,0.066516,0.042546,16.16,1,1,3,0,0,
7215,0.04162,0.016845,11.36,1,1,1,0,0,
7221,0.0869,0.039777,22.47,2,1,1,1,3,
7222,0.16682,0.125802,39.9,2,3,6,1,2,
7223,0.081013,0.047666,20.45,2,2,11,1,3,
7224,0.067037,0.038725,16.92,1,1,2,1,2,
7231,0.078513,0.047166,19.7,1,1,10,1,11,
7232,0.226785,0.171779,49.24,3,3,2,1,11,
7233,0.092803,0.054397,24.49,2,2,9,1,11,
7234,0.170965,0.122895,40.4,3,3,2,1,11,
7311,0.166997,0.123681,40.15,3,3,4,1,11,
7312,0.146249,0.108831,35.35,2,2,2,1,11,
7313,0.038132,0.027612,10.86,1,1,1,0,0,
7314,0.140045,0.097903,34.6,2,2,2,1,6,
7315,0.048875,0.026057,13.38,1,1,3,1,6,
7316,0.057675,0.027812,14.39,1,1,2,1,2,
7317,0.229773,0.167687,50.25,3,3,1,1,5,
7318,0.0,0.0,0.25,1,1,1,1,3,
7319,0.229773,0.167687,50.51,3,3,1,1,5,
7321,0.545993,0.555375,82.58,5,5,2,0,0,
7322,0.166629,0.120365,39.65,2,3,1,0,0,
7323,0.102227,0.059932,28.03,2,2,1,0,0,
7411,0.158562,0.087874,38.89,2,2,2,1,2,
7412,0.131013,0.073063,32.32,2,2,13,1,11,
7413,0.151679,0.108831,36.11,2,2,2,1,11,
7421,0.196432,0.136279,45.96,3,3,7,1,11,
7422,0.145723,0.108302,35.1,2,2,7,1,11,
7511,0.021236,0.014514,5.81,1,1,4,1,2,
7512,0.091838,0.092405,23.23,2,2,1,0,0,
7513,0.072609,0.038211,17.68,1,1,2,1,2,
7514,0.089529,0.050177,22.98,2,2,1,1,2,
7515,0.054883,0.029708,13.89,1,1,2,1,3,
7522,0.072699,0.052319,17.93,1,2,4,0,0,
7531,0.046424,0.029179,12.63,1,1,1,0,0,
7532,0.119442,0.069831,29.55,2,2,3,1,2,
7534,0.116505,0.074096,29.29,2,2,1,0,0,
7535,0.014907,0.0,4.29,1,1,1,1,3,
7536,0.0,0.0,0.51,1,1,1,1,3,
7541,0.103088,0.053848,28.28,2,2,1,0,0,
7542,0.027892,0.014506,8.08,1,1,1,0,0,
7543,0.142693,0.07355,34.85,2,2,1,0,0,
7544,0.177593,0.114728,42.17,3,3,3,1,2,
7549,0.132729,0.088446,32.83,2,2,2,0,0,
8111,0.033387,0.019591,9.85,1,1,6,1,2,
8112,0.021801,0.007837,6.06,1,1,2,1,4,
8113,0.045657,0.029375,12.12,1,1,6,1,2,
8114,0.061521,0.033543,14.9,1,1,4,1,4,
8121,0.068615,0.043336,17.17,1,1,5,1,3,
8122,0.02829,0.01795,8.33,1,1,3,1,3,
8131,0.096286,0.050617,26.01,2,2,3,1,6,
8132,0.239422,0.212321,51.52,3,3,1,0,0,
8141,0.062529,0.03217,15.4,1,1,5,1,6,
8142,0.065672,0.037444,15.91,1,1,12,1,3,
8143,0.014195,0.012876,3.79,1,1,2,1,3,
8151,0.027107,0.009917,7.83,1,1,1,0,0,
8152,0.077633,0.050156,19.44,1,2,1,0,0,
8153,0.013229,0.011471,3.28,1,1,1,0,0,
8154,0.084731,0.039796,21.21,2,1,1,0,0,
8156,0.030138,0.02403,9.09,1,1,1,0,0,
8157,0.00362,0.004063,1.77,1,1,1,0,0,
8160,0.067011,0.036377,16.67,1,1,5,1,4,
8171,0.0,0.0,0.76,1,1,2,1,3,
8172,0.023207,0.01805,7.07,1,1,1,0,0,
8181,0.06656,0.035081,16.41,1,1,6,1,6,
8182,0.069892,0.02169,17.42,1,1,1,0,0,
8183,0.020692,0.008246,5.3,1,1,1,0,0,
8189,0.098417,0.057583,26.26,2,2,4,1,3,
8211,0.072839,0.038308,18.18,1,1,2,0,0,
8212,0.091863,0.057063,23.48,2,2,5,1,2,
8219,0.177251,0.108894,41.67,3,2,1,0,0,
8311,0.100789,0.067962,27.53,2,2,6,1,17,
8312,0.190727,0.126619,44.7,3,3,3,1,17,
8322,0.150535,0.097169,35.86,2,2,5,1,17,
8331,0.14898,0.096887,35.61,2,2,4,1,17,
8332,0.24402,0.165423,52.53,3,3,2,1,17,
8341,0.019732,0.011234,4.8,1,1,2,1,6,
8342,0.034405,0.018472,10.35,1,1,5,1,2,
8343,0.128681,0.082307,31.82,2,2,5,1,17,
8344,0.163482,0.114715,39.14,2,3,2,1,17,
8350,0.039691,0.025283,11.11,1,1,2,0,0,
9111,0.004326,0.003287,2.02,1,1,1,1,2,
9112,0.010684,0.006291,2.78,1,1,3,1,3,
9122,0.005581,0.006412,2.27,1,1,1,1,2,
9123,0.022144,0.009172,6.57,1,1,1,1,3,
9129,0.073935,0.031817,18.69,1,1,1,0,0,
9211,0.061516,0.028894,14.65,1,1,1,1,5,
9212,0.022476,0.012133,6.82,1,1,1,1,5,
9213,0.041996,0.020514,11.62,1,1,2,1,5,
9214,0.036804,0.019511,10.61,1,1,2,1,5,
9215,0.024786,0.013907,7.58,1,1,1,1,2,
9216,0.023791,0.013092,7.32,1,1,2,1,5,
9311,0.0,0.0,1.01,1,1,1,0,0,
9312,0.0,0.0,1.26,1,1,2,0,0,
9313,0.010957,0.006886,3.03,1,1,7,0,0,
9321,0.0,0.0,1.52,1,1,1,0,0,
9329,0.099102,0.071188,26.52,2,2,4,1,3,
9331,0.082683,0.051486,20.96,2,2,2,1,4,
9333,0.183325,0.125927,43.18,3,3,4,1,3,
9334,0.156503,0.08504,37.88,2,2,1,1,2,
9412,0.016573,0.003482,4.55,1,1,3,1,2,
9510,0.113095,0.047458,29.04,2,2,1,1,4,
9611,0.202886,0.13329,46.72,3,3,2,1,17,
9612,0.078807,0.03715,20.2,2,1,1,1,2,
9621,0.092014,0.053501,23.74,2,2,2,1,4,
9622,0.136275,0.083216,33.59,2,2,3,0,0,
9623,0.123108,0.087407,30.56,2,2,2,0,0,
9629,0.093772,0.050321,25.25,2,2,5,1,2,
