styrk08,aioe,pctl_aioe,q_aioe,aioe_lm,pctl_aioe_lm,q_aioe_lm,aioe_ig,pctl_aioe_ig,q_aioe_ig,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
6112,-0.81217,25.26,2,-0.898782,23.72,2,-0.557657,30.36,2,2,1,13,
6113,-1.142359,11.22,1,-1.102107,12.76,1,-1.008975,12.24,1,3,1,6,
6114,-0.81217,25.51,2,-0.898782,23.98,2,-0.557657,30.61,2,2,1,13,
6121,-0.761738,26.79,2,-0.749353,28.32,2,-0.666538,25.77,2,2,1,13,
6122,-0.761738,27.04,2,-0.749353,28.57,2,-0.666538,26.02,2,2,1,13,
6123,-0.761738,27.3,2,-0.749353,28.83,2,-0.666538,26.28,2,2,1,13,
6129,-0.761738,27.55,2,-0.749353,29.08,2,-0.666538,26.53,2,2,1,13,
6130,-0.889544,23.21,2,-0.912892,23.21,2,-0.72926,22.7,2,3,1,13,
6210,-0.963866,19.64,1,-1.081433,15.31,1,-0.508685,32.91,2,5,1,13,
6221,-0.761738,27.81,2,-0.749353,29.34,2,-0.666538,26.79,2,2,1,13,
6222,-0.996217,17.6,1,-1.034533,16.84,1,-0.698295,24.23,2,2,1,13,
6224,-0.891991,22.96,2,-0.965836,20.41,2,-0.446426,34.95,2,2,1,13,
7112,-1.495901,3.83,1,-1.407848,3.06,1,-1.330526,7.4,1,2,1,2,
7113,-1.348745,6.89,1,-1.216269,9.69,1,-1.243155,9.18,1,2,1,2,
7114,-1.512067,3.57,1,-1.437329,2.04,1,-1.299609,8.16,1,3,1,2,
7115,-1.323631,7.4,1,-1.245253,8.67,1,-1.13992,9.95,1,1,0,0,
7119,-1.164386,10.97,1,-1.153462,11.48,1,-0.829336,18.62,1,5,1,2,
7121,-1.752941,0.51,1,-1.553439,0.51,1,-1.779166,1.79,1,1,0,0,
7122,-1.459938,4.34,1,-1.308525,5.1,1,-1.3778,6.63,1,4,0,0,
7123,-1.648111,1.53,1,-1.472865,1.79,1,-1.534193,4.34,1,3,0,0,
7124,-1.443694,4.59,1,-1.294783,6.38,1,-1.412745,6.12,1,2,0,0,
