date,sector,age_group,ai_q,variable,value,value_index
2025-07-16,1,1,4,stillingspst,83.38857498334046,1.2217589974804006
2025-08-16,1,1,4,stillingspst,84.36108239168374,1.236007588207573
2025-09-16,1,1,4,stillingspst,77.013177761451,1.1283505309139539
2025-10-16,1,1,4,stillingspst,73.48719263710653,1.0766899281094264
2025-11-16,1,1,4,stillingspst,73.08796516616493,1.0708406885132145
2025-12-16,1,1,4,stillingspst,72.62304982089391,1.0640290298865374
2026-01-16,1,1,4,stillingspst,79.40844431782801,1.1634445287092412
2026-02-16,1,1,4,stillingspst,75.3037770284093,1.1033054245992036
2021-01-16,1,1,5,stillingspst,86.37655374729894,1.032447775015139
2021-02-16,1,1,5,stillingspst,85.8306245881412,1.0259223543860958
2021-03-16,1,1,5,stillingspst,85.09437959981317,1.0171221132663915
2021-04-16,1,1,5,stillingspst,85.32733787772226,1.0199066334314613
2021-05-16,1,1,5,stillingspst,85.84918663812941,1.0261442241687928
2021-06-16,1,1,5,stillingspst,84.77307478674392,1.0132815983932755
2021-07-16,1,1,5,stillingspst,84.96428560009223,1.0155671165140592
2021-08-16,1,1,5,stillingspst,87.32748635716895,1.0438141495074802
2021-09-16,1,1,5,stillingspst,84.80513131072574,1.0136647658782458
2021-10-16,1,1,5,stillingspst,80.57742561276537,0.9631315464811416
2021-11-16,1,1,5,stillingspst,83.07080789952754,0.9929346224612395
2021-12-16,1,1,5,stillingspst,83.00824605830915,0.9921868288648924
2022-01-16,1,1,5,stillingspst,85.3279704496078,1.0199141944813925
2022-02-16,1,1,5,stillingspst,84.35267306555278,1.008256590994553
2022-03-16,1,1,5,stillingspst,84.13110914664504,1.005608266128882
2022-04-16,1,1,5,stillingspst,84.44828670510972,1.009399448461528
2022-05-16,1,1,5,stillingspst,84.08288335182489,1.0050318294409115
2022-06-16,1,1,5,stillingspst,84.94947891389796,1.015390134109073
2022-07-16,1,1,5,stillingspst,86.27743515076773,1.0312630232507811
2022-08-16,1,1,5,stillingspst,87.196604243073,1.0422497325259579
2022-09-16,1,1,5,stillingspst,85.3065687760697,1.0196583830456798
2022-10-16,1,1,5,stillingspst,83.66191088554807,1.0
2022-11-16,1,1,5,stillingspst,83.17934268731587,0.9942319247418056
2022-12-16,1,1,5,stillingspst,83.53335673258454,0.9984634088367955
2023-01-16,1,1,5,stillingspst,85.28694172547758,1.019423783448511
2023-02-16,1,1,5,stillingspst,84.14242093669779,1.005743474492318
2023-03-16,1,1,5,stillingspst,83.34935956260388,0.9962641144621742
2023-04-16,1,1,5,stillingspst,83.84606813187,1.0022012077464244
2023-05-16,1,1,5,stillingspst,83.01937993549713,0.9923199106588667
2023-06-16,1,1,5,stillingspst,83.6986437674492,1.0004390633863405
2023-07-16,1,1,5,stillingspst,85.11663241583373,1.0173880982981105
2023-08-16,1,1,5,stillingspst,87.26775211139274,1.0431001537937326
2023-09-16,1,1,5,stillingspst,84.5098971612795,1.010135870275441
2023-10-16,1,1,5,stillingspst,81.52883296628055,0.9745035955228702
2023-11-16,1,1,5,stillingspst,83.82872906771564,1.0019939561552185
2023-12-16,1,1,5,stillingspst,84.09276074367543,1.0051498926281612
2024-01-16,1,1,5,stillingspst,85.22761037220826,1.0187146034567882
2024-02-16,1,1,5,stillingspst,84.68868844346831,1.012272939346615
2024-03-16,1,1,5,stillingspst,84.71777709405383,1.0126206322247435
2024-04-16,1,1,5,stillingspst,84.34548329950336,1.0081706526508871
2024-05-16,1,1,5,stillingspst,84.30457188056377,1.007681643751777
2024-06-16,1,1,5,stillingspst,84.5394997343629,1.0104897060027163
2024-07-16,1,1,5,stillingspst,85.22429731542263,1.0186750029175398
2024-08-16,1,1,5,stillingspst,87.48559534813516,1.0457040058267137
2024-09-16,1,1,5,stillingspst,85.72123590910034,1.0246148456538304
2024-10-16,1,1,5,stillingspst,83.76056230110369,1.001179167610582
2024-11-16,1,1,5,stillingspst,84.2135663971199,1.0065938669788037
2024-12-16,1,1,5,stillingspst,84.32866463755971,1.0079696213599971
2025-01-16,1,1,5,stillingspst,85.28054134840443,1.0193472805691792
2025-02-16,1,1,5,stillingspst,85.06101679320632,1.0167233319541586
2025-03-16,1,1,5,stillingspst,84.27950241543404,1.007381991677561
2025-04-16,1,1,5,stillingspst,84.06642866235516,1.0048351486659262
2025-05-16,1,1,5,stillingspst,83.7236712306245,1.0007382134166278
2025-06-16,1,1,5,stillingspst,84.90904040704002,1.0149067778669085
2025-07-16,1,1,5,stillingspst,85.74688370860257,1.0249214104839992
2025-08-16,1,1,5,stillingspst,87.66900844654539,1.0478963188693975
2025-09-16,1,1,5,stillingspst,84.90515109478284,1.0148602894205412
2025-10-16,1,1,5,stillingspst,82.06111515835683,0.9808658957194849
2025-11-16,1,1,5,stillingspst,84.45299808122448,1.0094557629308591
2025-12-16,1,1,5,stillingspst,84.323163737744,1.0079038698159852
2026-01-16,1,1,5,stillingspst,85.76377589992701,1.0251233206620676
2026-02-16,1,1,5,stillingspst,84.82506476946837,1.0139030279324068
2021-01-16,1,1,all,stillingspst,67.07333128225133,1.0229031918821165
2021-02-16,1,1,all,stillingspst,65.92719261802664,1.0054239810607335
2021-03-16,1,1,all,stillingspst,65.93105387360733,1.0054828672168652
2021-04-16,1,1,all,stillingspst,66.63942872639146,1.0162859522002652
