date,occ_group,age_group,count,percap,emp_index
2024-09-16,Electricians,4,3953.0,0.005329418172601425,0.9804273488705976
2024-10-16,Electricians,4,3999.0,0.005378585723815877,0.9894724660534577
2024-11-16,Electricians,4,3957.0,0.005322096451397706,0.9790804071451693
2024-12-16,Electricians,4,3959.0,0.005324786416750952,0.9795752670931831
2025-01-16,Electricians,4,3924.0,0.00526828796752028,0.9691815199709735
2025-02-16,Electricians,4,3906.0,0.005244121508953673,0.9647357331821157
2025-03-16,Electricians,4,3921.0,0.005264260224425845,0.9684405555061637
2025-04-16,Electricians,4,3960.0,0.0053101545979099985,0.9768835219737738
2025-05-16,Electricians,4,3939.0,0.005281994687163506,0.9717030790542158
2025-06-16,Electricians,4,3961.0,0.005311495546040783,0.9771302097318479
2025-07-16,Electricians,4,3946.0,0.005284811991407158,0.9722213649235376
2025-08-16,Electricians,4,3898.0,0.005220526391917157,0.9603950533380511
2025-09-16,Electricians,4,3868.0,0.005180347892235907,0.9530036085971221
2025-10-16,Electricians,4,3894.0,0.00520871650751144,0.9582224458819706
2025-11-16,Electricians,4,3905.0,0.005223430395950738,0.9609292889494336
2025-12-16,Electricians,4,3918.0,0.0052408195368335445,0.9641282853018902
2026-01-16,Electricians,4,3869.0,0.005168921807532811,0.9509016069206504
2026-02-16,Electricians,4,3876.0,0.005178273695010902,0.9526220285408223
2021-01-16,Home health aides,1,3371.0,0.004704165090936493,0.8677112433502843
2021-02-16,Home health aides,1,3270.0,0.004563221550685948,0.8417133686607622
2021-03-16,Home health aides,1,3298.0,0.0046022950073890696,0.8489207002578574
2021-04-16,Home health aides,1,3425.0,0.004782631159295829,0.8821847765747173
2021-05-16,Home health aides,1,3416.0,0.004770063661358993,0.8798666267968568
2021-06-16,Home health aides,1,3611.0,0.005042359449990434,0.9300932053171691
2021-07-16,Home health aides,1,3526.0,0.004926927489209246,0.9088010932684684
2021-08-16,Home health aides,1,3518.0,0.004915748981009112,0.9067391509127827
2021-09-16,Home health aides,1,3609.0,0.005042904511785641,0.9301937452087075
2021-10-16,Home health aides,1,3718.0,0.005198676700476242,0.9589268523414778
2021-11-16,Home health aides,1,3736.0,0.005223845119144498,0.9635693169305437
2021-12-16,Home health aides,1,3677.0,0.005141348635731883,0.9483523496663835
2022-01-16,Home health aides,1,3597.0,0.005030002419211616,0.9278138774589983
2022-02-16,Home health aides,1,3614.0,0.005053775018913201,0.9321988749337837
2022-03-16,Home health aides,1,3652.0,0.0051069137711873295,0.9420006339950687
2022-04-16,Home health aides,1,3750.0,0.005241676218165553,0.9668583692496624
2022-05-16,Home health aides,1,3798.0,0.005308769673758072,0.9792341563760582
2022-06-16,Home health aides,1,4064.0,0.005680579240166616,1.0478166433681675
2022-07-16,Home health aides,1,3926.0,0.005485239731242813,1.0117851085714236
2022-08-16,Home health aides,1,4016.0,0.005610983892172985,1.0349793673007734
2022-09-16,Home health aides,1,3800.0,0.005309197905940573,0.9793131463503335
2022-10-16,Home health aides,1,3882.0,0.005421348549977795,1.0
2022-11-16,Home health aides,1,4155.0,0.005802602582472369,1.0703245749613601
2022-12-16,Home health aides,1,4228.0,0.005904549631454435,1.0891293147861927
2023-01-16,Home health aides,1,4150.0,0.0057946326342539585,1.068854470586971
2023-02-16,Home health aides,1,4094.0,0.005716440001117038,1.0544313741163998
2023-03-16,Home health aides,1,4083.0,0.005701080733893714,1.051598265881109
2023-04-16,Home health aides,1,3978.0,0.005554958198171528,1.024645094659018
2023-05-16,Home health aides,1,4272.0,0.00596550563664876,1.1003730126654914
2023-06-16,Home health aides,1,4562.0,0.006370467395690927,1.175070618862353
2023-07-16,Home health aides,1,4413.0,0.006162951625089204,1.1367931001437726
2023-08-16,Home health aides,1,4382.0,0.006119658740344639,1.1288074699365536
2023-09-16,Home health aides,1,4464.0,0.0062341754032173595,1.1499307498395197
2023-10-16,Home health aides,1,4349.0,0.006074115663788131,1.1204067784597633
2023-11-16,Home health aides,1,4487.0,0.0062668560550511255,1.155958890537815
2023-12-16,Home health aides,1,4621.0,0.006454009768306497,1.1904805066136046
2024-01-16,Home health aides,1,4735.0,0.006615974469464519,1.2203558595197899
2024-02-16,Home health aides,1,4651.0,0.006498605545402212,1.1987064630679076
2024-03-16,Home health aides,1,4642.0,0.0064860303035383935,1.1963868848766344
2024-04-16,Home health aides,1,4819.0,0.006738276880397333,1.2429152669818528
2024-05-16,Home health aides,1,4892.0,0.006840350798693454,1.261743408606604
2024-06-16,Home health aides,1,5182.0,0.007245849926171193,1.3365401356090396
2024-07-16,Home health aides,1,5422.0,0.007587100529781679,1.3994858400706875
2024-08-16,Home health aides,1,5127.0,0.0071743018104372305,1.3233426599119171
2024-09-16,Home health aides,1,5190.0,0.0072624588250768925,1.339603745844129
2024-10-16,Home health aides,1,5251.0,0.007353322158412209,1.356364028363815
2024-11-16,Home health aides,1,5477.0,0.007669804886997461,1.4147411508948036
2024-12-16,Home health aides,1,5599.0,0.00784064954579127,1.4462544648274613
2025-01-16,Home health aides,1,5818.0,0.008152729861299897,1.5038195360697273
2025-02-16,Home health aides,1,5742.0,0.008046231499412857,1.4841752794967984
2025-03-16,Home health aides,1,5828.0,0.008166742803653454,1.5064043066714283
2025-04-16,Home health aides,1,5905.0,0.00827938761975668,1.5271823132992601
2025-05-16,Home health aides,1,6162.0,0.008639726759177081,1.5936490117781612
2025-06-16,Home health aides,1,6482.0,0.009088398061179136,1.6764091032693995
2025-07-16,Home health aides,1,6283.0,0.008814583695755869,1.6259024142234815
2025-08-16,Home health aides,1,6146.0,0.008622382841654555,1.5904498229854396
2025-09-16,Home health aides,1,6069.0,0.008514357544093963,1.5705239140414309
2025-10-16,Home health aides,1,6160.0,0.00864710679878772,1.5950103039995716
2025-11-16,Home health aides,1,6314.0,0.008863284468757414,1.634885561599561
2025-12-16,Home health aides,1,6421.0,0.00901348583685324,1.6625910977242289
2026-01-16,Home health aides,1,6583.0,0.009246305972245631,1.7055361571031071
2026-02-16,Home health aides,1,6368.0,0.008944322714759256,1.649833548296003
2021-01-16,Home health aides,2,1832.0,0.002497750388569247,0.7959858224641259
2021-02-16,Home health aides,2,1804.0,0.0024595751642898043,0.7838201002867266
2021-03-16,Home health aides,2,1795.0,0.0024473045564856978,0.7799096895868483
2021-04-16,Home health aides,2,1870.0,0.002541092316389094,0.8097980753700793
2021-05-16,Home health aides,2,1882.0,0.0025573987911466714,0.8149946405596199
2021-06-16,Home health aides,2,2011.0,0.0027326933947906247,0.8708577163471815
2021-07-16,Home health aides,2,1957.0,0.0026503106700397072,0.8446038996256245
2021-08-16,Home health aides,2,1971.0,0.0026692704806582845,0.8506460327859509
2021-09-16,Home health aides,2,2038.0,0.0027600067171900475,0.8795619557675128
2021-10-16,Home health aides,2,2157.0,0.0029113122770457133,0.9277801768741045
2021-11-16,Home health aides,2,2118.0,0.0028586738075024667,0.9110052918958522
2021-12-16,Home health aides,2,2113.0,0.002851925285766153,0.9088546656165891
2022-01-16,Home health aides,2,2083.0,0.0027979448604721446,0.891652124713682
2022-02-16,Home health aides,2,2073.0,0.0027845125759763593,0.8873715096166409
2022-03-16,Home health aides,2,2169.0,0.0029134625071359013,0.9284654145482365
