date,sector,age_group,ai_q,fte,percap,fte_index
2024-05-16,1,3,3,7574109.340909142,10.491182687040851,0.9863456505923183
2024-06-16,1,3,3,7545446.024611555,10.451480053482312,0.982612942746529
2024-07-16,1,3,3,7536656.614370112,10.432831506136662,0.9808596691535557
2024-08-16,1,3,3,7505970.451774455,10.390353311850884,0.9768660124392802
2024-09-16,1,3,3,7525023.385493844,10.416727877837209,0.9793456602752678
2024-10-16,1,3,3,7489979.970132574,10.361835101304951,0.9741848263639102
2024-11-16,1,3,3,7496345.079277784,10.370640760549364,0.9750127047790914
2024-12-16,1,3,3,7610265.115092135,10.528240731517267,0.9898297230824409
2025-01-16,1,3,3,7537699.014656536,10.423654557324834,0.9799968833441508
2025-02-16,1,3,3,7557864.8723775735,10.45154130821891,0.9826187017104919
2025-03-16,1,3,3,7534269.643239118,10.418912183964684,0.979551021378269
2025-04-16,1,3,3,7535692.608753893,10.418834039500679,0.9795436744990382
2025-05-16,1,3,3,7455322.929974432,10.307715076920058,0.9690966440059833
2025-06-16,1,3,3,7470435.808383832,10.328610113405992,0.9710611249393223
2025-07-16,1,3,3,7422531.719148314,10.26032105668527,0.964640817897797
2025-08-16,1,3,3,7397567.905062195,10.225813053619117,0.9613964917097716
2025-09-16,1,3,3,7396141.274096795,10.223840991755555,0.9612110850973955
2025-10-16,1,3,3,7328107.953176985,10.127767132752208,0.9521785445545046
2025-11-16,1,3,3,7429968.672541538,10.268543121901164,0.9654138287685925
2025-12-16,1,3,3,7444983.690050255,10.289294535744155,0.9673648067849184
2026-01-16,1,3,3,7391631.332417903,10.213526595484245,0.9602413603100024
2026-02-16,1,3,3,7386843.682562434,10.2069111696155,0.959619400257728
2021-01-16,1,3,4,3941760.695944281,5.4496070099089895,0.9908873558922893
2021-02-16,1,3,4,3947014.3278057077,5.456870319690572,0.9922080239352165
2021-03-16,1,3,4,3940423.5921373707,5.447758422224148,0.9905512321755081
2021-04-16,1,3,4,3942432.617610331,5.457311285387072,0.9922882035394062
2021-05-16,1,3,4,3941365.8504166226,5.455834613187502,0.9920197042129977
2021-06-16,1,3,4,3934141.760493866,5.445834668664415,0.9902014412502677
2021-07-16,1,3,4,3929395.8941800203,5.446193446071652,0.9902666767793186
2021-08-16,1,3,4,3934405.546264403,5.453136888545716,0.9915291842117637
2021-09-16,1,3,4,3948923.4537503025,5.473258895777793,0.9951879145578573
2021-10-16,1,3,4,3961904.066691677,5.498253570678523,0.9997326289342772
2021-11-16,1,3,4,3956399.6321604466,5.490614623266762,0.9983436597134
2021-12-16,1,3,4,3964518.7775015216,5.5018822155938265,1.0003924156600097
2022-01-16,1,3,4,3946948.313489549,5.481484385813712,0.9966835332433497
2022-02-16,1,3,4,3953870.442398691,5.491097772794832,0.9984315094899984
2022-03-16,1,3,4,3934501.7457088027,5.464198710520231,0.9935405254897216
2022-04-16,1,3,4,3938862.9384714114,5.4713800865830695,0.9948462957453814
2022-05-16,1,3,4,3925399.7855023034,5.452678743528369,0.9914458809379628
2022-06-16,1,3,4,3935984.303474094,5.467381443714075,0.9941192332888756
2022-07-16,1,3,4,3918790.799558814,5.444655504770843,0.9899870370573524
2022-08-16,1,3,4,3935574.672940856,5.467974536909838,0.994227073826272
2022-09-16,1,3,4,3955967.130193906,5.496307231947073,0.9993787314081307
2022-10-16,1,3,4,3957595.917844949,5.499724037755679,1.0
2022-11-16,1,3,4,3952925.66574453,5.493233961893401,0.9988199269967505
2022-12-16,1,3,4,3965056.734370858,5.510092057341461,1.0018851890594156
2023-01-16,1,3,4,3925766.2643112186,5.454362171636766,0.991751974134065
2023-02-16,1,3,4,3929600.491965987,5.459689352337189,0.992720601044043
2023-03-16,1,3,4,3934139.947161218,5.4659963586716716,0.9938673870084269
2023-04-16,1,3,4,3939808.2369412454,5.4705654492555995,0.9946981724355795
2023-05-16,1,3,4,3942627.5176190576,5.474480121884379,0.9954099668096071
2023-06-16,1,3,4,3941646.8982179537,5.473118496573723,0.9951623861489579
2023-07-16,1,3,4,3944505.279684114,5.473705267744403,0.9952690771695714
2023-08-16,1,3,4,3948390.2092915135,5.479096301131116,0.996249314241414
2023-09-16,1,3,4,3953474.357269769,5.486151464097661,0.9975321355099198
2023-10-16,1,3,4,3956536.684779384,5.486997447948388,0.9976859584735666
2023-11-16,1,3,4,3954907.0377496574,5.484737423637843,0.9972750243439574
2023-12-16,1,3,4,3949029.487737507,5.476586329768065,0.9957929329128564
2024-01-16,1,3,4,3935950.664774592,5.455112103923672,0.9918883323007217
2024-02-16,1,3,4,3938566.8267415706,5.458738027627343,0.992547624235877
2024-03-16,1,3,4,3936766.9647447797,5.456243471724507,0.9920940458589054
2024-04-16,1,3,4,3931707.050486382,5.445954775935151,0.990223280031616
2024-05-16,1,3,4,3936212.036432099,5.4521948007924355,0.9913578869345162
2024-06-16,1,3,4,3935278.2340790033,5.450901356159019,0.9911227033826621
2024-07-16,1,3,4,3929620.48339932,5.439689040389536,0.9890839982235468
2024-08-16,1,3,4,3943757.6661032815,5.4592588380688785,0.9926423217948743
2024-09-16,1,3,4,3950899.0356940315,5.469144482257747,0.9944398018358733
2024-10-16,1,3,4,3978820.187017209,5.504404396275829,1.0008510169761282
