date,sector,age_group,ai_q,employment,percap,emp_index
2023-05-16,1,3,3,90498.0,0.12565972815242793,0.9949344195275237
2023-06-16,1,3,3,87919.0,0.1220786938875258,0.9665809104117257
2023-07-16,1,3,3,90428.0,0.12548499364443236,0.9935509263524221
2023-08-16,1,3,3,88311.0,0.12254727820734138,0.9702910144768075
2023-09-16,1,3,3,89445.0,0.12412090565451245,0.98275050435255
2023-10-16,1,3,3,90366.0,0.12532122178691538,0.9922542320145515
2023-11-16,1,3,3,90672.0,0.12574558818430814,0.995614232401826
2023-12-16,1,3,3,91363.0,0.12670387962417223,1.00320168425675
2024-01-16,1,3,3,89628.0,0.1242217774796401,0.983549175909903
2024-02-16,1,3,3,89955.0,0.12467498988241425,0.9871375699443848
2024-03-16,1,3,3,89950.0,0.12466806002916082,0.9870827015340716
2024-04-16,1,3,3,89890.0,0.12451000761825612,0.9858312919853605
2024-05-16,1,3,3,89700.0,0.12424683149802618,0.983747545790264
2024-06-16,1,3,3,87012.0,0.12052358196551008,0.9542680206722681
2024-07-16,1,3,3,90588.0,0.12539901826970729,0.9928702002295549
2024-08-16,1,3,3,87751.0,0.12147182024313467,0.9617758747333385
2024-09-16,1,3,3,88534.0,0.12255571028712704,0.9703577770468871
2024-10-16,1,3,3,88740.0,0.12276524777856325,0.9720168293580496
2024-11-16,1,3,3,88827.0,0.12288560586462068,0.9729697870338909
2024-12-16,1,3,3,90429.0,0.12510185475960894,0.9905173525131742
2025-01-16,1,3,3,88657.0,0.12260106702215634,0.9707168974866774
2025-02-16,1,3,3,89244.0,0.12341281145679778,0.9771440359960415
2025-03-16,1,3,3,88949.0,0.12300486493512959,0.9739140430484053
2025-04-16,1,3,3,88999.0,0.12304984542553603,0.9742701845009661
2025-05-16,1,3,3,88269.0,0.12204054883612894,0.9662788898270293
2025-06-16,1,3,3,86213.0,0.11919792720897693,0.9437719009919414
2025-07-16,1,3,3,89320.0,0.12346890676383461,0.9775881810898237
2025-08-16,1,3,3,86259.0,0.1192376223526826,0.9440861947226501
2025-09-16,1,3,3,87228.0,0.12057709134791497,0.9546916912237252
2025-10-16,1,3,3,86907.0,0.12010929203417518,0.9509878025911914
2025-11-16,1,3,3,87970.0,0.1215784047343297,0.9626197773936174
2025-12-16,1,3,3,88561.0,0.1223951926983855,0.9690868489912033
2026-01-16,1,3,3,87071.0,0.12031200342678697,0.9525928079871538
2026-02-16,1,3,3,86825.0,0.11997208826739993,0.9499014660849725
