styrk08,navn,navn_en,kortnavn,antall_personer,antall_menn,antall_kvinner,antall_privat,antall_offentlig,antall_13,antall_40,antall_710,kildedato
6121,Melke- og husdyrprodusenter,,Melke- eller husdyrprodusent,2211,1442,769,2161,50,286,1201,292,2024-11-01
6122,Egg- og fjærfeprodusenter,,Egg- eller fjærfeprodusent,229,140,89,229,0,17,87,14,2024-11-01
6123,Birøktere,,Birøkter,7,4,3,7,0,0,4,0,2024-11-01
6130,Plante- og husdyrprodusenter (kombinasjonsbruk),,Plante- eller husdyrprodusent (kombinasjonsbruk),2966,2038,928,2924,42,324,1517,323,2024-11-01
6210,Skogbrukere,,Skogbruker,687,665,22,681,6,69,334,85,2024-11-01
6221,Havbruksarbeidere,,Havbruksarbeider,6550,5283,1267,6541,9,1149,4172,1360,2024-11-01
6222,Fiskere,,Fisker,451,397,54,409,42,37,188,51,2024-11-01
6224,Fangstfolk,,Jeger,7,0,0,0,0,0,0,0,2024-11-01
7112,Murere,,Murer,3713,3662,51,3707,6,268,1440,407,2024-11-01
7113,Steinhoggere mv.,,Steinhogger,626,581,45,619,7,48,212,76,2024-11-01
7114,Betongarbeidere,,Betongarbeider,8208,8101,107,8186,22,781,3797,1072,2024-11-01
7115,Tømrere og snekkere,,Tømrer eller snekker,38907,38217,690,37904,1003,3991,19055,5470,2024-11-01
7119,Andre bygningsarbeidere,,Bygningsarbeider,3593,3437,156,0,0,353,1853,507,2024-11-01
7121,Taktekkere,,Taktekker,1356,1342,14,1356,0,115,610,146,2024-11-01
7122,Gulv- og flisleggere,,Gulv- eller flislegger,1983,1948,35,1983,0,94,741,158,2024-11-01
7123,Gips- og sparklingsarbeidere,,Gips- eller sparklingsarbeider,7,0,0,0,0,0,0,0,2024-11-01
7124,Isolatører mv.,,Isolatør,954,913,41,954,0,60,363,136,2024-11-01
7125,Glassarbeidere,,Glassarbeider,1203,1183,20,1203,0,92,484,142,2024-11-01
7126,Rørleggere og VVS-montører,,Rørlegger eller VVS-montør,16810,16359,451,16437,373,2104,9037,3003,2024-11-01
7127,Kuldemontører mv.,,Kuldemontør,1280,1266,14,1277,3,185,734,260,2024-11-01
7131,Malere og byggtapetserere,,Maler eller byggtapetserer,6746,6221,525,6642,104,446,2582,726,2024-11-01
7132,Overflatebehandlere og lakkerere,,Overflatebehandler eller lakkerer,2725,2496,229,0,0,261,1233,434,2024-11-01
7133,"Feiere, fasaderenholdere mv.",,"Feier, fasaderenholder",792,677,115,91,701,115,364,186,2024-11-01
7211,Støpere,,Støper,255,243,12,255,0,27,71,40,2024-11-01
7212,Sveisere,,Sveiser,5005,4791,214,4995,10,416,1795,582,2024-11-01
7213,Kopper- og blikkenslagere,,Kopper- eller blikkenslager,4220,4056,164,4206,14,525,2163,684,2024-11-01
7214,Platearbeidere,,Platearbeider,3612,3525,87,3595,17,300,1402,430,2024-11-01
7215,Riggere og spleisere,,Rigger eller spleiser,1386,1341,45,1382,4,121,741,294,2024-11-01
7221,Smeder,,Smed,236,178,58,221,15,34,123,51,2024-11-01
