nus_kode,nus_kode_forelder,nus_niva,nus_aktiv,nus_navn_nb,nus_kortnavn_nb,nus_navn_en,isced2013_kode,isced2013_navn
741138,7411,5,True,"Master, utviklingsledelse og -administrasjon, toårig",Utviklingsledelse,"Master degree, development management and administration, two-year",0413,Management and administration
741139,7411,5,True,"Master, innovasjon og virksomhetsutvikling, 1½-årig",Innovasjon og virksomhetsutvikling,"Master degree, innovation and operations development, 1½-year",0413,Management and administration
741140,7411,5,True,"Ledelse, videreutdanning, høyere nivå",Ledelse (videreutdanning),"Supplementary education in management, postgraduate level",0413,Management and administration
741141,7411,5,True,"Master, ledelse og organisasjonspsykologi, toårig",Ledelse og organisasjonspsykologi,"Master degree, leadership and organizational psychology, two-year",0413,Management and administration
741142,7411,5,True,"Master of Science, space information management, toårig",,"Master of Science, space information management, two-year",0413,Management and administration
741143,7411,5,True,"Master, personalledelse, 1½-årig",Personalledelse,"Master degree, human resources management, 1½-year",0413,Management and administration
741144,7411,5,True,"Master of Science, event management, toårig",Arrangementsledelse,"Master of Science, event management, two-year",0413,Management and administration
741145,7411,5,True,"Master, innovasjon og kunnskapsutvikling, toårig",Entreprenørskap og innovasjon,"Master degree, innovation and knowledge development, two-year",0413,Management and administration
741146,7411,5,True,"Master, organisasjon, ledelse og arbeid, toårig",Organisasjon og ledelse,"Master degree, organization, management and work, two-year",0413,Management and administration
741147,7411,5,True,"Master, innovasjon og ledelse, toårig",Innovasjonsledelse,"Master degree, innovation and management, two-year",0413,Management and administration
741148,7411,5,True,"Master, organisasjon og ledelse for offentlig sektor, 1½-årig",Organisasjon og ledelse for offentlig sektor,"Master degree, organization and management, public sector, 1½-year",0413,Management and administration
741149,7411,5,True,"Master, ledelse, toårig",Ledelse,"Master degree, management, two-year",0413,Management and administration
741150,7411,5,True,"Master, personalledelse, toårig",Personalledelse,"Master degree, human resources management, two-year",0413,Management and administration
741199,7411,5,True,"Økonomisk-administrative fag, uspesifiserte, høyere nivå",Økonomisk-administrative fag,"Business and administration, unspecified, graduate level",0413,Management and administration
7419,741,4,True,"Økonomisk-administrative fag, andre",,"Business and administration, other",,
741901,7419,5,True,"Master, teknologi, organisasjon og læring, toårig","Teknologi, organisasjon og læring","Master degree, technology, organization and learning, two-year",0413,Management and administration
741902,7419,5,True,"Master, marine insurance and risk management, 1½-årig",Risikohåndtering og sjøforsikring,"Master degree, marine insurance and risk management, 1½-year",0413,Management and administration
741903,7419,5,True,"Master, music management, toårig",Musikkledelse,"Master degree, music management, two-year",0413,Management and administration
741999,7419,5,True,"Økonomisk-administrative fag, andre, uspesifiserte, høyere nivå",Økonomisk-administrative fag,"Business and administration, other, unspecified, graduate level",0413,Management and administration
742,74,3,True,Handel og markedsføring,,Wholesale and retail sales and marketing,,
7421,742,4,True,Handel,,Wholesale and retail sales,,
742199,7421,5,True,"Handel, uspesifisert, høyere nivå",Handelsfag,"Wholesale and retail sales, unspecified, graduate level",0416,Wholesale and retail sales
7422,742,4,True,Markedsføring,,Marketing,,
742201,7422,5,True,Sivilmarkedsfører/Master of Science in marketing,Markedsføring,Graduate marketing degree/Master of Science in marketing,0414,Marketing and advertising
742202,7422,5,True,"Master, markedsføring, toårig",Markedsføring,"Master degree, marketing, two-year",0414,Marketing and advertising
742203,7422,5,True,"Master, internasjonal markedsføring og ledelse, toårig",Internasjonal markedsføring,"Master degree, international marketing and management, two-year",0414,Marketing and advertising
742204,7422,5,True,"Master, internasjonal business og markedsføring, 1½-årig",Markedsføring,"Master degree, international business and marketing, 1½-year",0414,Marketing and advertising
742299,7422,5,True,"Markedsføring, uspesifisert, høyere nivå",Markedsføring,"Marketing, unspecified, graduate level",0414,Marketing and advertising
7429,742,4,True,"Handel og markedsføring, andre",,"Wholesale and retail sales and marketing, other",,
742999,7429,5,True,"Handel og markedsføring, andre, uspesifiserte, høyere nivå",Handel og markedsføring,"Wholesale and retail sales and marketing, other, unspecified, graduate level",0416,Wholesale and retail sales
743,74,3,True,Kontorfag,,Secretarial and office skills,,
7431,743,4,True,Sekretærutdanninger,,Secretarial training,,
743199,7431,5,True,"Sekretærutdanning, uspesifisert, høyere nivå",Sekretærutdanning,"Secretarial training, unspecified, graduate level",0415,Secretarial and office work
7432,743,4,True,Kontorfag,,Office skills,,
7439,743,4,True,"Kontorfag, andre",,"Secretarial and office skills, other",,
