age_group,ai_q,k,coef,se_naive,se,n_obs,n_occ,n_boot
1,2,26,0.0596594219299893,0.0515678283490092,0.0393922062203194,24366,393,200
1,2,27,0.0578404838540404,0.0486685816289367,0.042976137658874,24366,393,200
1,2,28,0.0554890326823631,0.0490670330089448,0.0435337695903374,24366,393,200
1,2,29,0.0595826725568504,0.0502313244341876,0.0432030232289215,24366,393,200
1,2,30,0.0466272223710339,0.0506342426220379,0.0462944279236107,24366,393,200
1,2,31,0.0589533078118041,0.0529876118592623,0.0455817267099908,24366,393,200
1,2,32,0.0516977176348852,0.0586102761550341,0.043678008073669,24366,393,200
1,2,33,0.0360284679651038,0.0561659739655896,0.0473279292081237,24366,393,200
1,2,34,0.0558980247586257,0.0523227122072797,0.0481706874069441,24366,393,200
1,2,35,0.0539974190999581,0.051480235295703,0.0503207304080714,24366,393,200
1,2,36,0.0523798906392633,0.0526586127429402,0.0503896645992131,24366,393,200
1,2,37,0.0576346910839074,0.0551096043435193,0.0508443995190565,24366,393,200
1,2,38,0.0701654959353967,0.0665100559690029,0.0557423584583449,24366,393,200
1,2,39,0.0834779685356195,0.0609100143655419,0.0557317710838291,24366,393,200
1,3,-22,0.0540101688304378,0.0595694252698977,0.0498360489958473,24366,393,200
1,3,-21,0.037356179661026,0.0479475462235975,0.0499332597387675,24366,393,200
1,3,-20,0.0287413382320109,0.0406439848788949,0.0441089292818125,24366,393,200
1,3,-19,0.0314841772479329,0.0388393397056623,0.0418403328158297,24366,393,200
1,3,-18,0.028648092567483,0.0411137159920244,0.043443646092,24366,393,200
1,3,-17,0.0377680267380402,0.0489992183271442,0.0415384508012011,24366,393,200
1,3,-16,0.0362101557608009,0.0499513688333389,0.0418802806120851,24366,393,200
1,3,-15,0.03794171709351,0.0444137437632119,0.0386314874409058,24366,393,200
1,3,-14,0.0231810347251677,0.0257603829893528,0.0346492583782307,24366,393,200
1,3,-13,0.0219552740972903,0.0219348777972369,0.0287124823600832,24366,393,200
1,3,-12,0.0159773840931011,0.0228703639526358,0.0264906239424887,24366,393,200
1,3,-11,0.0186284801764066,0.0268133587423441,0.0258874280216025,24366,393,200
1,3,-10,0.0182951457120884,0.0483797321750128,0.038793850244802,24366,393,200
1,3,-9,0.0148262625094454,0.0298444358802774,0.0290311686286339,24366,393,200
1,3,-8,0.0106922531517656,0.021818852749357,0.022874618706456,24366,393,200
1,3,-7,0.00883384647693845,0.0227449104133066,0.0208031989851412,24366,393,200
1,3,-6,0.00511260476851769,0.022026925616824,0.0175412004824521,24366,393,200
1,3,-5,-0.00435463802229628,0.0297889267815607,0.0113745886250607,24366,393,200
1,3,-4,-0.0016260665075899,0.0302068949698435,0.00883560300733591,24366,393,200
1,3,-3,-7.24217173083477e-05,0.0259543859277393,0.00744933971234748,24366,393,200
1,3,-2,0.0021292505703716,0.00895499147617483,0.00430530626030631,24366,393,200
1,3,-1,0,0,0,24366,393,200
1,3,0,0.00518952917041727,0.0043737488365523,0.00376713737533705,24366,393,200
1,3,1,-0.00409565569139669,0.00804168651182471,0.00683077221025738,24366,393,200
1,3,2,-0.00294612451674143,0.0214234590471841,0.0111877128553419,24366,393,200
1,3,3,0.0048403389118536,0.0136806710648213,0.0115766167710163,24366,393,200
1,3,4,0.00522827820868172,0.0138259010048297,0.0120846832554244,24366,393,200
1,3,5,0.00453507146886305,0.0131492427518623,0.0146407809599768,24366,393,200
1,3,6,0.0102862914766329,0.0122475496887738,0.0180359400637247,24366,393,200
1,3,7,0.0113606713383525,0.0154055828509174,0.0203332243515562,24366,393,200
1,3,8,0.00955429589029406,0.0178388826105241,0.0236827536522525,24366,393,200
1,3,9,0.000252235916264131,0.018899482414847,0.027686558726618,24366,393,200
1,3,10,0.00290738512549441,0.0237833082816839,0.0286380604270582,24366,393,200
1,3,11,0.00248972877143451,0.0217787613432962,0.0289425100997237,24366,393,200
1,3,12,0.000155701665481366,0.0219770308638475,0.0313267084779091,24366,393,200
1,3,13,0.00277218493317974,0.0207639170546343,0.0342985616125402,24366,393,200
1,3,14,-0.00750090340825993,0.022019354646739,0.0380063707882177,24366,393,200
1,3,15,0.0022094085754976,0.0273548425707154,0.037547954232306,24366,393,200
1,3,16,0.0124481412650306,0.0272624208555069,0.033402376104939,24366,393,200
1,3,17,0.0106094737602636,0.0243279559459974,0.0324372835787785,24366,393,200
1,3,18,0.00920581657003861,0.0228306414982962,0.0349196351198162,24366,393,200
1,3,19,0.00669543423475568,0.018690693441487,0.0353059355007606,24366,393,200
1,3,20,0.00481109018064483,0.0226975652559967,0.0405231122692198,24366,393,200
1,3,21,0.00864951992735753,0.0250884549719289,0.0418016626943343,24366,393,200
1,3,22,0.0166906692573582,0.0339569308399398,0.0422816217068566,24366,393,200
1,3,23,0.0183727344522913,0.0324854584812472,0.0421400672472264,24366,393,200
