age_bin,ai_q,k,coef,se,n_obs,n_occ
1,5,-11,-0.0437303144404184,0.0228170910197533,24366,393
1,5,-10,-0.0620868506339753,0.0269147962097546,24366,393
1,5,-9,-0.0376085699737587,0.0240975260945192,24366,393
1,5,-8,-0.0356792941389877,0.0194866248874757,24366,393
1,5,-7,-0.0363043856643924,0.0214309180876891,24366,393
1,5,-6,-0.0522090050611486,0.0236461198239754,24366,393
1,5,-5,-0.0427444329755373,0.0283918632722002,24366,393
1,5,-4,-0.0330883642724918,0.0364244800727518,24366,393
1,5,-3,-0.0608932776319902,0.0261762835651994,24366,393
1,5,-2,-0.0165396064098961,0.0115190077361858,24366,393
1,5,-1,0,0,24366,393
1,5,0,0.0265268617528897,0.00719457224914447,24366,393
1,5,1,0.0159977451273242,0.010748811252108,24366,393
1,5,2,0.00964316718987909,0.016837353724778,24366,393
1,5,3,0.0356921320844985,0.0163242151787646,24366,393
1,5,4,0.0418007805171733,0.0156947489654463,24366,393
1,5,5,0.0247586793710867,0.016278630174529,24366,393
1,5,6,0.00733721718398407,0.0170609528686684,24366,393
1,5,7,0.000573939877813942,0.0162508181565835,24366,393
1,5,8,0.00987227445685142,0.023727254966405,24366,393
1,5,9,-0.0250335491543195,0.0202694190521102,24366,393
1,5,10,0.0209616629810177,0.0221856102887391,24366,393
1,5,11,0.0372561249144996,0.0214162882094758,24366,393
1,5,12,0.03714941395059,0.0248750167409755,24366,393
1,5,13,0.0308933937808369,0.0266453663661146,24366,393
1,5,14,0.0165958269073045,0.0328365163329525,24366,393
1,5,15,0.0337145075647305,0.0317057081979805,24366,393
1,5,16,0.0310603149039486,0.0304980251008845,24366,393
1,5,17,0.0186628569166138,0.0285417220964554,24366,393
1,5,18,-0.00476359077049203,0.02774511957009,24366,393
1,5,19,-0.0188859706984338,0.0269596627046577,24366,393
1,5,20,-0.0185744793134831,0.0278969835704227,24366,393
1,5,21,-0.0594378630291827,0.0295271635360577,24366,393
1,5,22,-0.0347106203286667,0.0323286594225514,24366,393
1,5,23,-0.010586354545481,0.0345112025954589,24366,393
1,5,24,-0.00541625259946249,0.0341654088991919,24366,393
1,5,25,0.00800702348620705,0.0348014096761832,24366,393
1,5,26,-0.0014280891464335,0.0405069398002465,24366,393
1,5,27,0.0102355849035026,0.0398409998707551,24366,393
1,5,28,-0.00359936503886807,0.0402427163969082,24366,393
1,5,29,-0.0132405742280078,0.0415410775772255,24366,393
1,5,30,-0.0482254625312113,0.0405128896725117,24366,393
1,5,31,-0.0567085786687897,0.0392585368502259,24366,393
1,5,32,-0.0467796896750871,0.038224839117384,24366,393
1,5,33,-0.0892003717085372,0.0379685302797296,24366,393
1,5,34,-0.0611315449863188,0.0431898545699846,24366,393
1,5,35,-0.043772971688447,0.0460575655654758,24366,393
1,5,36,-0.048019522876974,0.0460428909656434,24366,393
1,5,37,-0.0525329622547759,0.0456640589788888,24366,393
1,5,38,-0.0691702639523883,0.0473372074614708,24366,393
1,5,39,-0.0522783683723606,0.0488444804115312,24366,393
2,2,-22,-0.00443269309508151,0.0397890587017171,24428,394
2,2,-21,-0.0153476284612448,0.0509209342427208,24428,394
2,2,-20,-0.0164572463206869,0.0512750718280034,24428,394
2,2,-19,-0.0190853822430228,0.0551358555500322,24428,394
2,2,-18,-0.0128127159434187,0.0524715860669856,24428,394
2,2,-17,0.0115493811764746,0.0328293555069078,24428,394
2,2,-16,0.0111284655348182,0.0239234950843047,24428,394
2,2,-15,0.00311502163368762,0.0269509589279407,24428,394
2,2,-14,0.00776860099979026,0.0197318498865508,24428,394
2,2,-13,0.00509439184498458,0.0140216950652265,24428,394
2,2,-12,0.0112259873176092,0.01287449577107,24428,394
2,2,-11,0.0260000992274775,0.0152747943754085,24428,394
2,2,-10,0.00523623566468767,0.0204533821293806,24428,394
2,2,-9,0.00410486311681066,0.0202978739232209,24428,394
2,2,-8,0.00478702479212852,0.0184616571500125,24428,394
2,2,-7,0.00687137997147309,0.0139980837273067,24428,394
2,2,-6,0.00843747926059318,0.00904352409089327,24428,394
2,2,-5,0.0160141707164293,0.010169853012356,24428,394
