age_group,k,coef,se,n_obs,n_occ
1,22,-0.00103463140594109,0.00960056927709984,20436,393
1,23,0.00583569358832285,0.00947075514494574,20436,393
1,24,0.00941415594114305,0.00993220611434615,20436,393
1,25,0.00958618633029604,0.010355593099832,20436,393
1,26,0.0257891824195003,0.0125605485891266,20436,393
1,27,0.0203775688746791,0.0116674811436546,20436,393
1,28,0.0143246075639282,0.0117881972405589,20436,393
1,29,0.0082033995327177,0.0122556483407498,20436,393
2,-22,0.0253434783411827,0.0105244194096934,20280,390
2,-21,0.0131785203715449,0.0108829515334463,20280,390
2,-20,0.0128152821723094,0.01062922154508,20280,390
2,-19,0.0222804761866722,0.0109553225708944,20280,390
2,-18,0.014707435993691,0.0102808982882091,20280,390
2,-17,-0.0201323859742546,0.00795230985896748,20280,390
2,-16,-0.00421210873040914,0.0073046210782056,20280,390
2,-15,-0.00155522225784013,0.00667840726108191,20280,390
2,-14,-0.0102339790795077,0.0056928696662288,20280,390
2,-13,-0.0128165336440808,0.00506925753574379,20280,390
2,-12,-0.0134993253701877,0.00507332563465714,20280,390
2,-11,-0.0111984386591411,0.00535037200092974,20280,390
2,-10,0.023151579933748,0.00693926588990878,20280,390
2,-9,0.0105856580706565,0.00586929530147557,20280,390
2,-8,0.0070068635572909,0.00428291996243249,20280,390
2,-7,0.00466865927181517,0.00382942507407329,20280,390
2,-6,-7.90038811061058e-05,0.00314475099187918,20280,390
2,-5,-0.0260145925009417,0.00374143445038534,20280,390
2,-4,-0.000936711963302774,0.00405279546125343,20280,390
2,-3,0.00848048655551473,0.00276117435602049,20280,390
2,-2,0.00361006110830831,0.00253114724625162,20280,390
2,-1,0,0,20280,390
2,0,0.00448931170399595,0.00188021621444709,20280,390
2,1,0.00476297508338121,0.00281722391280822,20280,390
2,2,0.0358929972445652,0.00503499308860447,20280,390
2,3,0.0240319174820003,0.0040964228599752,20280,390
2,4,0.0235341433113212,0.00369436447792192,20280,390
2,5,0.0231322899771061,0.0040491622495086,20280,390
2,6,0.0199780686403389,0.00393796017775527,20280,390
2,7,-0.00276302653050763,0.00433452375788356,20280,390
2,8,0.0164631706444416,0.0057228982174853,20280,390
2,9,0.0228643658440847,0.00532510886927078,20280,390
2,10,0.0188331571424197,0.00459244848786999,20280,390
2,11,0.019542067742055,0.0047045929418868,20280,390
2,12,0.0218954838025242,0.00509619457479109,20280,390
2,13,0.0236604079610194,0.00561373222382362,20280,390
2,14,0.0482062235268044,0.00820907031638741,20280,390
2,15,0.0398350623029127,0.00718037368742368,20280,390
2,16,0.0393725842075083,0.00748625166810981,20280,390
2,17,0.0380019126388252,0.00764192605887341,20280,390
2,18,0.030859827335401,0.00743463987725636,20280,390
2,19,0.0158151780647407,0.00823677386009417,20280,390
2,20,0.0252235495348311,0.0090521620757648,20280,390
2,21,0.0328113297529777,0.00868556182144881,20280,390
2,22,0.02849744633944,0.00822044020662862,20280,390
2,23,0.0314072177220097,0.00818643250974239,20280,390
2,24,0.0359951283793648,0.00846812866062708,20280,390
2,25,0.039092679930432,0.00900169141289521,20280,390
2,26,0.0601607593451656,0.010628599870432,20280,390
2,27,0.0532827100175643,0.009942757716071,20280,390
2,28,0.0508859544853756,0.0100593627047549,20280,390
2,29,0.0477000609776829,0.0102946097698762,20280,390
3,-22,0.0580078284670707,0.00934982001780677,20332,391
3,-21,0.0443485574076483,0.00906837219570498,20332,391
3,-20,0.0425644599226394,0.00899038609904352,20332,391
3,-19,0.0491669050368352,0.00920841093252011,20332,391
3,-18,0.0436782139956529,0.00883562183542444,20332,391
3,-17,0.0071076549830645,0.00671521879038752,20332,391
3,-16,0.0237150553902754,0.00671926209163661,20332,391
3,-15,0.0271449742762169,0.00629281073444715,20332,391
3,-14,0.0139238010097973,0.00474818763596725,20332,391
3,-13,0.00872420653084981,0.00446938547127013,20332,391
3,-12,0.00769357555621281,0.00451293330219613,20332,391
3,-11,0.0102380191857136,0.00475884904048346,20332,391
3,-10,0.0401330737358006,0.00604357883678737,20332,391
3,-9,0.0249519871983167,0.00460558084902828,20332,391
3,-8,0.0177863344550869,0.00351947006904022,20332,391
3,-7,0.0140483445224622,0.0031596241183492,20332,391
3,-6,0.00917642280309265,0.00253017755382132,20332,391
3,-5,-0.0201968221147151,0.00307418144059657,20332,391
3,-4,0.00515054655081636,0.00345262258796551,20332,391
3,-3,0.0151989191611288,0.00285535552078463,20332,391
3,-2,0.0061611585720071,0.00222475537791666,20332,391
3,-1,0,0,20332,391
3,0,0.00189781211579794,0.00215992900820327,20332,391
3,1,0.00371311977627233,0.00282857016332707,20332,391
3,2,0.0296637652900537,0.0050089349457694,20332,391
3,3,0.0163396806988332,0.00386505426878979,20332,391
3,4,0.0141215230160653,0.00363726561155408,20332,391
3,5,0.0132625792856455,0.00421808212820408,20332,391
3,6,0.00898506974993946,0.00396116620714655,20332,391
3,7,-0.0170784915180665,0.00452478916944487,20332,391
3,8,0.00296316088292112,0.00565315187719652,20332,391
3,9,0.00883433320752891,0.00524442490887849,20332,391
3,10,0.00222012995344307,0.00455617646043554,20332,391
3,11,-0.000799506252460433,0.00478925043685688,20332,391
3,12,0.000792237165199159,0.00492012528120711,20332,391
3,13,0.00355814696381835,0.00559557709094492,20332,391
3,14,0.0237691434709219,0.00846703160042875,20332,391
3,15,0.0151412780640573,0.00707079081450519,20332,391
3,16,0.0117896161362081,0.00707377486966887,20332,391
3,17,0.00905583319705645,0.00751516305516541,20332,391
3,18,-0.000519753530699005,0.00687608873832685,20332,391
3,19,-0.0201826327075531,0.00790278167390783,20332,391
3,20,-0.0082418812151146,0.00877475908543331,20332,391
3,21,-0.000132776676205027,0.00834054087204659,20332,391
3,22,-0.00727347774758393,0.00831195642300754,20332,391
3,23,-0.00790046733473254,0.00775437379898472,20332,391
3,24,-0.00418161346001348,0.00806860192211922,20332,391
3,25,-0.0020364111348554,0.00838140776847166,20332,391
3,26,0.0162539156893202,0.0107758336025746,20332,391
3,27,0.00618372140511469,0.00974054745529623,20332,391
3,28,0.00402126578522988,0.0097740590133482,20332,391
3,29,-0.000699881008254209,0.0100002465930942,20332,391
4,-22,0.0428570796579603,0.0078614022227831,20332,391
