age_bin,ai_q,k,coef,se,n_obs,n_occ
1,4,21,-0.17672504451333423,0.1726932443059494,24366,393
1,4,22,-0.0631273400662517,0.09287648634915045,24366,393
1,4,23,-0.03261917487862296,0.05910083851416694,24366,393
1,4,24,-0.02302587564288105,0.03871786584387613,24366,393
1,4,25,-0.029187837721055168,0.044181091703465986,24366,393
1,4,26,-0.07788735074294935,0.0847847561783546,24366,393
1,4,27,-0.05392227287059199,0.06994510215185826,24366,393
1,4,28,-0.037316629355512235,0.059053152186668796,24366,393
1,4,29,-0.04118653498871487,0.05337102328610637,24366,393
1,4,30,-0.13647491821932473,0.10012168361056085,24366,393
1,4,31,-0.15704515883414974,0.12689887797439117,24366,393
1,4,32,-0.18591011243265027,0.18883763057654893,24366,393
1,4,33,-0.16323152878544736,0.18337404946800698,24366,393
1,4,34,-0.06437769885570542,0.10932860365454182,24366,393
1,4,35,-0.044019582339729565,0.06912178133845549,24366,393
1,4,36,-0.02563361433105731,0.05088929099291759,24366,393
1,4,37,-0.03828073604000443,0.0574191306444785,24366,393
1,4,38,-0.126640177674045,0.10913863594992333,24366,393
1,4,39,-0.0794073054967901,0.08099013133844941,24366,393
1,5,-22,-0.0927298343802385,0.03745021933043343,24366,393
1,5,-21,-0.07891879280662592,0.03660136583370846,24366,393
1,5,-20,-0.07523752189973332,0.036748297211532104,24366,393
1,5,-19,-0.08373268607465852,0.03835880763270033,24366,393
1,5,-18,-0.10425894406363356,0.039972354630217054,24366,393
1,5,-17,-0.09797113219260946,0.0374984866256543,24366,393
1,5,-16,-0.09038332444803482,0.04325697408891138,24366,393
1,5,-15,-0.1209779006243908,0.03692770398478321,24366,393
1,5,-14,-0.0800015708907928,0.026929627224918203,24366,393
1,5,-13,-0.04399680885431252,0.029119043079202957,24366,393
1,5,-12,-0.048724647167234535,0.02213869963134274,24366,393
1,5,-11,-0.04373031444042424,0.023005269094578635,24366,393
1,5,-10,-0.062086850633987625,0.027136768834987196,24366,393
1,5,-9,-0.03760856997377396,0.024296264083722492,24366,393
1,5,-8,-0.035679294139001866,0.019647335766400865,24366,393
1,5,-7,-0.03630438566439904,0.02160766409064457,24366,393
1,5,-6,-0.052209005061156104,0.02384113517580984,24366,393
1,5,-5,-0.04274443297554918,0.02862601786572413,24366,393
1,5,-4,-0.03308836427250688,0.03672488150662863,24366,393
1,5,-3,-0.06089327763200495,0.026392165551097718,24366,393
1,5,-2,-0.01653960640990873,0.01161400760278412,24366,393
1,5,-1,0.0,0.0,24366,393
1,5,0,0.026526861752881437,0.007253907594893704,24366,393
1,5,1,0.0159977451273161,0.010837459237955137,24366,393
1,5,2,0.009643167189861033,0.016976215217243653,24366,393
1,5,3,0.03569213208448953,0.016458844725366552,24366,393
1,5,4,0.04180078051715982,0.015824187188868025,24366,393
1,5,5,0.0247586793710796,0.01641288387122508,24366,393
1,5,6,0.007337217183982605,0.01720165858799909,24366,393
1,5,7,0.0005739398778007818,0.016384842569331502,24366,393
1,5,8,0.009872274456836756,0.02392293926495939,24366,393
1,5,9,-0.025033549154328268,0.02043658566458923,24366,393
1,5,10,0.02096166298100141,0.022368580422984865,24366,393
1,5,11,0.037256124914490374,0.021592913532274417,24366,393
1,5,12,0.037149413950579545,0.025080167043493973,24366,393
1,5,13,0.030893393780830013,0.026865117167240733,24366,393
1,5,14,0.016595826907290053,0.033107326943444475,24366,393
1,5,15,0.033714507564723675,0.031967192763032864,24366,393
1,5,16,0.031060314903937198,0.030749549608681464,24366,393
1,5,17,0.018662856916605238,0.028777112499566323,24366,393
