sector,age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,2,25,0.0505784844222909,0.0576802036861111,21700,350
1,1,2,26,0.0690332145027428,0.0414297505261327,21700,350
1,1,2,27,0.081034608833508,0.0430488599281328,21700,350
1,1,2,28,0.0690092210516028,0.0543631826808972,21700,350
1,1,2,29,0.0690485714499855,0.0554154310941763,21700,350
1,1,2,30,0.0432353622119115,0.036329611058627,21700,350
1,1,2,31,0.0195639800935267,0.0389539379159156,21700,350
1,1,2,32,0.0825688360065714,0.0698576572226785,21700,350
1,1,2,33,0.0372827711498004,0.100389872787712,21700,350
1,1,2,34,0.0379648479016377,0.0484616994512619,21700,350
1,1,2,35,0.0115188306951204,0.0400809817682093,21700,350
1,1,2,36,0.0345126449611798,0.0451023450576779,21700,350
1,1,2,37,0.0379494062553375,0.0563330529816929,21700,350
1,1,2,38,0.0575501179288612,0.0303285683792114,21700,350
1,1,2,39,0.0645578379816909,0.0397715189564618,21700,350
1,1,3,-22,-0.0464386074820176,0.0227143251759599,21700,350
1,1,3,-21,-0.0309238498446574,0.0293928382920037,21700,350
1,1,3,-20,-0.0252197166069497,0.0298535314345756,21700,350
1,1,3,-19,-0.0358716733493956,0.0288978239058008,21700,350
1,1,3,-18,-0.0514000746657725,0.0328035456035137,21700,350
1,1,3,-17,-0.0520318895292732,0.0323045553276249,21700,350
1,1,3,-16,-0.103346739887062,0.0480898477944451,21700,350
1,1,3,-15,-0.166485714293966,0.06022478833991,21700,350
1,1,3,-14,-0.0939137195638746,0.025928134426318,21700,350
1,1,3,-13,-0.0236968268797417,0.0150266028099431,21700,350
1,1,3,-12,-0.0174781179315372,0.0159670428918609,21700,350
1,1,3,-11,-0.00390120263966346,0.0241081561730023,21700,350
1,1,3,-10,-0.0538246724504142,0.0142768530068465,21700,350
1,1,3,-9,-0.0169798571497186,0.0274494107346231,21700,350
1,1,3,-8,-0.00368220580161241,0.0295125784452272,21700,350
1,1,3,-7,-0.0127209842021687,0.03228132449024,21700,350
1,1,3,-6,-0.0237047941237457,0.0316635599845669,21700,350
1,1,3,-5,-0.0329593395885985,0.0312006090684293,21700,350
1,1,3,-4,-0.0774216906552221,0.0364381464690286,21700,350
1,1,3,-3,-0.137559089982342,0.0557891330721471,21700,350
1,1,3,-2,-0.072225979631658,0.0246280354863635,21700,350
1,1,3,0,0.00294745199528314,0.00991659553500952,21700,350
1,1,3,1,0.0154211787142924,0.0213421173945434,21700,350
1,1,3,2,-0.00572461690016118,0.0119610135555099,21700,350
1,1,3,3,0.0131211674815567,0.02512680688444,21700,350
1,1,3,4,0.0202467932642698,0.0288502912144129,21700,350
1,1,3,5,0.0145493789211145,0.0307627686004749,21700,350
1,1,3,6,-0.00157154022612888,0.0300547655607667,21700,350
1,1,3,7,0.0103036714150206,0.0285167937134086,21700,350
1,1,3,8,-0.0405171407104825,0.0428849459250159,21700,350
1,1,3,9,-0.0931477010325739,0.0628280932629492,21700,350
1,1,3,10,-0.0257305332190833,0.0375830797694962,21700,350
1,1,3,11,0.0514988958874508,0.017147013152807,21700,350
1,1,3,12,0.0614517463470428,0.0173831087837834,21700,350
1,1,3,13,0.0767701222088451,0.0267801324121969,21700,350
1,1,3,14,0.037037527195595,0.0216615189208667,21700,350
1,1,3,15,0.0477820180122133,0.0289277158434838,21700,350
1,1,3,16,0.0580214662568041,0.0322991602729048,21700,350
1,1,3,17,0.0419047804395013,0.0301848812662085,21700,350
1,1,3,18,0.0469338544516559,0.0355211893253863,21700,350
1,1,3,19,0.0347884737193811,0.0347642045442244,21700,350
1,1,3,20,-0.0141296168964049,0.0415803621647916,21700,350
1,1,3,21,-0.0582675491061179,0.0562031849883959,21700,350
1,1,3,22,-0.00882742081866912,0.0410236616206453,21700,350
1,1,3,23,0.0600592247681847,0.0243318713025576,21700,350
1,1,3,24,0.0606780095494168,0.0256179900067715,21700,350
1,1,3,25,0.113801883101347,0.0456443418983654,21700,350
1,1,3,26,0.0806100975658803,0.0447351754636486,21700,350
1,1,3,27,0.101713744660934,0.0465093084384268,21700,350
1,1,3,28,0.111179289097862,0.0482476649425509,21700,350
1,1,3,29,0.0997654451406548,0.0487898438208303,21700,350
1,1,3,30,0.0373298928364303,0.039346094375655,21700,350
1,1,3,31,0.0400551761654678,0.0434172863892101,21700,350
1,1,3,32,-0.00240580244084955,0.0581924970094325,21700,350
1,1,3,33,-0.0700610976428385,0.0826899741543199,21700,350
1,1,3,34,0.00821474261118759,0.0602786323860213,21700,350
1,1,3,35,0.068314175633507,0.037901902144659,21700,350
1,1,3,36,0.0821394598254646,0.0367180508505466,21700,350
1,1,3,37,0.091183936602934,0.0361106781410457,21700,350
1,1,3,38,0.0469941956204122,0.0340529618768778,21700,350
1,1,3,39,0.0724967585218576,0.0383569555141734,21700,350
1,1,4,-22,-0.248316989244011,0.0934781432682075,21700,350
1,1,4,-21,-0.148358762640695,0.0402566246938429,21700,350
1,1,4,-20,-0.0817799333232929,0.0217664878041439,21700,350
1,1,4,-19,-0.0821620287989766,0.0186474073338079,21700,350
1,1,4,-18,-0.191738860477775,0.0532279703084565,21700,350
1,1,4,-17,-0.225785624384386,0.0538207156926269,21700,350
1,1,4,-16,-0.321538566640393,0.140963981375453,21700,350
1,1,4,-15,-0.333569572480087,0.13149469809069,21700,350
